	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer	dataset
59	1895.7685413754457	1894.4938382096027	5	0.0005	50	100	1.0	4520	1	100	TCGA
60	1894.9027740822557	1895.291580583582	5	0.0005	50	100	1.0	4520	1	100	TCGA
61	1894.4475275059472	1894.2558839117462	5	0.0005	50	100	1.0	4520	1	100	TCGA
62	1893.5482676834224	1892.678759397574	5	0.0005	50	100	1.0	4520	1	100	TCGA
63	1893.223638984824	1892.706239939934	5	0.0005	50	100	1.0	4520	1	100	TCGA
64	1892.4215469811695	1891.1503311233903	5	0.0005	50	100	1.0	4520	1	100	TCGA
65	1891.9505905864999	1891.340009373037	5	0.0005	50	100	1.0	4520	1	100	TCGA
66	1891.1216517526238	1890.5627373930197	5	0.0005	50	100	1.0	4520	1	100	TCGA
67	1891.2841018589895	1890.117679461762	5	0.0005	50	100	1.0	4520	1	100	TCGA
68	1890.3984784580712	1889.606420162335	5	0.0005	50	100	1.0	4520	1	100	TCGA
69	1890.0005529067096	1889.4646002227937	5	0.0005	50	100	1.0	4520	1	100	TCGA
70	1889.7530058400814	1888.506818148359	5	0.0005	50	100	1.0	4520	1	100	TCGA
71	1889.3530314722582	1888.8411030985003	5	0.0005	50	100	1.0	4520	1	100	TCGA
72	1888.9084068253205	1888.4481348392353	5	0.0005	50	100	1.0	4520	1	100	TCGA
73	1888.610352870542	1887.9313762415593	5	0.0005	50	100	1.0	4520	1	100	TCGA
74	1888.2824980902583	1887.2674174093122	5	0.0005	50	100	1.0	4520	1	100	TCGA
75	1888.0397936683346	1887.507053701123	5	0.0005	50	100	1.0	4520	1	100	TCGA
76	1887.6965382990393	1886.6862958591787	5	0.0005	50	100	1.0	4520	1	100	TCGA
77	1887.2515021229524	1886.408655827968	5	0.0005	50	100	1.0	4520	1	100	TCGA
78	1887.0889401244776	1886.5551960240657	5	0.0005	50	100	1.0	4520	1	100	TCGA
79	1886.8646599264705	1886.6185413149733	5	0.0005	50	100	1.0	4520	1	100	TCGA
80	1886.2888674927099	1884.8817868640076	5	0.0005	50	100	1.0	4520	1	100	TCGA
81	1886.3504345997435	1885.7450717945194	5	0.0005	50	100	1.0	4520	1	100	TCGA
82	1885.9173331641236	1885.5336674829225	5	0.0005	50	100	1.0	4520	1	100	TCGA
83	1885.7324551483232	1884.596927508637	5	0.0005	50	100	1.0	4520	1	100	TCGA
84	1885.539305155452	1884.081910406525	5	0.0005	50	100	1.0	4520	1	100	TCGA
85	1885.094787727098	1884.2076630712154	5	0.0005	50	100	1.0	4520	1	100	TCGA
86	1885.0609372302163	1883.674829837665	5	0.0005	50	100	1.0	4520	1	100	TCGA
87	1885.0483411381667	1883.602080838764	5	0.0005	50	100	1.0	4520	1	100	TCGA
88	1884.756357330312	1883.531483712508	5	0.0005	50	100	1.0	4520	1	100	TCGA
89	1884.6062829790137	1883.916676890311	5	0.0005	50	100	1.0	4520	1	100	TCGA
90	1884.309337767124	1883.4301745544126	5	0.0005	50	100	1.0	4520	1	100	TCGA
91	1884.25324079716	1882.9804325582993	5	0.0005	50	100	1.0	4520	1	100	TCGA
92	1884.0344877450616	1883.026819890468	5	0.0005	50	100	1.0	4520	1	100	TCGA
93	1883.8999273191805	1882.9369430158606	5	0.0005	50	100	1.0	4520	1	100	TCGA
94	1883.6696974640115	1882.8416073286353	5	0.0005	50	100	1.0	4520	1	100	TCGA
95	1883.3891492831492	1882.5224032761464	5	0.0005	50	100	1.0	4520	1	100	TCGA
96	1883.2880086948835	1882.252232843907	5	0.0005	50	100	1.0	4520	1	100	TCGA
97	1883.255484471032	1882.0920759804883	5	0.0005	50	100	1.0	4520	1	100	TCGA
98	1883.0105241123408	1882.1414831726995	5	0.0005	50	100	1.0	4520	1	100	TCGA
99	1882.8906844750434	1881.5617546963333	5	0.0005	50	100	1.0	4520	1	100	TCGA
