train_epoch	loss	val_loss	batch_size	dataset	depth	epochs	first_layer	kappa	learning_rate	num_components	seed
0	5163.593147457649	14793.68565044981	25	TARGET	1	50	100	0.0	0.0015	50	613
1	4701.870432844065	7234.445852568655	25	TARGET	1	50	100	0.0	0.0015	50	613
2	4557.102502893518	5590.864657315341	25	TARGET	1	50	100	0.0	0.0015	50	613
3	4503.4155404961075	4943.275309244792	25	TARGET	1	50	100	0.0	0.0015	50	613
4	4460.463926373106	4732.998083866004	25	TARGET	1	50	100	0.0	0.0015	50	613
5	4427.459356751105	4640.064556699811	25	TARGET	1	50	100	0.0	0.0015	50	613
6	4425.873791627208	4591.826608368845	25	TARGET	1	50	100	0.0	0.0015	50	613
7	4404.442566945497	4543.679347182765	25	TARGET	1	50	100	0.0	0.0015	50	613
8	4394.448900627367	4480.238525390625	25	TARGET	1	50	100	0.0	0.0015	50	613
9	4389.195682410038	4529.634380918561	25	TARGET	1	50	100	0.0	0.0015	50	613
10	4378.003499348958	4451.705714370265	25	TARGET	1	50	100	0.0	0.0015	50	613
11	4364.026044132734	4420.835508404356	25	TARGET	1	50	100	0.0	0.0015	50	613
12	4353.491858691077	4452.966730291193	25	TARGET	1	50	100	0.0	0.0015	50	613
13	4354.252235900673	4391.585582386364	25	TARGET	1	50	100	0.0	0.0015	50	613
14	4353.392893781565	4381.25898141572	25	TARGET	1	50	100	0.0	0.0015	50	613
15	4331.495198567708	4383.069409919508	25	TARGET	1	50	100	0.0	0.0015	50	613
16	4329.403728035564	4376.557876124527	25	TARGET	1	50	100	0.0	0.0015	50	613
17	4315.336940367214	4353.498106060606	25	TARGET	1	50	100	0.0	0.0015	50	613
18	4316.551761100589	4342.744621508049	25	TARGET	1	50	100	0.0	0.0015	50	613
19	4305.383805502946	4328.895663174716	25	TARGET	1	50	100	0.0	0.0015	50	613
20	4303.9217138836275	4350.662575461648	25	TARGET	1	50	100	0.0	0.0015	50	613
21	4295.562618371212	4324.504431522254	25	TARGET	1	50	100	0.0	0.0015	50	613
22	4294.2873781762955	4311.958895596591	25	TARGET	1	50	100	0.0	0.0015	50	613
23	4291.691994817971	4308.961655125473	25	TARGET	1	50	100	0.0	0.0015	50	613
24	4278.963632911144	4296.874141808712	25	TARGET	1	50	100	0.0	0.0015	50	613
25	4290.8072382352175	4329.304820667614	25	TARGET	1	50	100	0.0	0.0015	50	613
26	4272.29986880524	4302.54794773911	25	TARGET	1	50	100	0.0	0.0015	50	613
27	4267.594869594382	4325.080033735795	25	TARGET	1	50	100	0.0	0.0015	50	613
28	4273.817019478641	4294.190895774148	25	TARGET	1	50	100	0.0	0.0015	50	613
