learning_rate	batch_size	epochs	kappa	num_components	end_loss
Learn: 0.0025	Batch: 100	100	0.5	5	2323.421819302519
Learn: 0.002	Batch: 50	50	0.0	25	2227.978077935629
Learn: 0.001	Batch: 100	100	1.0	50	2245.7592439252608
Learn: 0.002	Batch: 50	100	0.5	75	2234.2036958991807
Learn: 0.0005	Batch: 50	100	0.5	100	2233.518656799549
Learn: 0.0015	Batch: 50	100	0.0	125	2229.1931632734522
