train_epoch	loss	val_loss	batch_size	dataset	epochs	learning_rate	noise	num_components	seed	sparsity
0	0.09188394190787466	0.07577932332501268	50	TARGET	100	0.0005	0.5	75	838	0.0
1	0.07280772487924557	0.05405803453741652	50	TARGET	100	0.0005	0.5	75	838	0.0
2	0.05881913608372814	0.045500225754398285	50	TARGET	100	0.0005	0.5	75	838	0.0
3	0.05263842646070201	0.043037229302254586	50	TARGET	100	0.0005	0.5	75	838	0.0
4	0.049598779830366674	0.04194502521193389	50	TARGET	100	0.0005	0.5	75	838	0.0
5	0.04821250027026793	0.04145593738014048	50	TARGET	100	0.0005	0.5	75	838	0.0
6	0.04577408384795141	0.03971657235965585	50	TARGET	100	0.0005	0.5	75	838	0.0
7	0.044053431336927885	0.038147367762796806	50	TARGET	100	0.0005	0.5	75	838	0.0
8	0.04279057099562302	0.03676295573964263	50	TARGET	100	0.0005	0.5	75	838	0.0
9	0.040897684817763694	0.036448193318916085	50	TARGET	100	0.0005	0.5	75	838	0.0
10	0.04067486484444102	0.035129634494131264	50	TARGET	100	0.0005	0.5	75	838	0.0
11	0.04024955158683186	0.035048457822113334	50	TARGET	100	0.0005	0.5	75	838	0.0
12	0.03896109845100428	0.0340626636012034	50	TARGET	100	0.0005	0.5	75	838	0.0
13	0.03867245611016598	0.03362063363646016	50	TARGET	100	0.0005	0.5	75	838	0.0
14	0.03768185317917705	0.03320595283399929	50	TARGET	100	0.0005	0.5	75	838	0.0
15	0.03750645710462673	0.03307948498563333	50	TARGET	100	0.0005	0.5	75	838	0.0
16	0.037034946496940224	0.032548778210625504	50	TARGET	100	0.0005	0.5	75	838	0.0
17	0.036358298313637766	0.032742313024672585	50	TARGET	100	0.0005	0.5	75	838	0.0
18	0.0357921383396945	0.032235503761154236	50	TARGET	100	0.0005	0.5	75	838	0.0
19	0.03597798199715839	0.0320968795003313	50	TARGET	100	0.0005	0.5	75	838	0.0
20	0.0357583329984636	0.03214459505045053	50	TARGET	100	0.0005	0.5	75	838	0.0
21	0.03524626156798116	0.03176874407764637	50	TARGET	100	0.0005	0.5	75	838	0.0
22	0.034990819252600974	0.03157505404317018	50	TARGET	100	0.0005	0.5	75	838	0.0
23	0.03494039649513835	0.031331122824639984	50	TARGET	100	0.0005	0.5	75	838	0.0
24	0.03479227120125735	0.03108939658285994	50	TARGET	100	0.0005	0.5	75	838	0.0
25	0.035064155731337636	0.031112178482792595	50	TARGET	100	0.0005	0.5	75	838	0.0
26	0.03464305143715556	0.030739566819234333	50	TARGET	100	0.0005	0.5	75	838	0.0
27	0.03429897638784113	0.030713512929099983	50	TARGET	100	0.0005	0.5	75	838	0.0
28	0.03392410871607286	0.030647947537628086	50	TARGET	100	0.0005	0.5	75	838	0.0
29	0.03371862126420243	0.0306126902613676	50	TARGET	100	0.0005	0.5	75	838	0.0
30	0.03410323822137081	0.03044497599881707	50	TARGET	100	0.0005	0.5	75	838	0.0
31	0.03330159382988708	0.030104281380772587	50	TARGET	100	0.0005	0.5	75	838	0.0
32	0.0335627497747691	0.030001376501538536	50	TARGET	100	0.0005	0.5	75	838	0.0
33	0.03327897341564448	0.030037774055293117	50	TARGET	100	0.0005	0.5	75	838	0.0
