model_type	full_feature	variable	raw_score	z_score
real	vae_2_three	Keratinocytes_HPCA_3	-10.901510206982493	-33.32253805172564
real	vae_1_two	Keratinocytes_HPCA_3	-10.564336873590946	-30.326301444314574
real	vae_1_three	Sebocytes_FANTOM_3	-9.071378767490387	-25.20341896672774
real	vae_2_three	Keratinocytes_ENCODE_1	-6.572572384029627	-23.50535780539237
real	vae_1_three	Sebocytes_FANTOM_1	-8.317614763975143	-21.20593376162843
real	vae_2_three	Sebocytes_FANTOM_1	-6.761969827115536	-19.13751970296652
real	vae_1_three	Keratinocytes_HPCA_3	-11.919360432773829	-19.00493729287283
real	vae_1_two	Neurons_ENCODE_1	-3.9004445374011993	-18.28711705804333
real	vae_1_three	Sebocytes_FANTOM_2	-6.763947784900665	-18.154882718904826
real	vae_1_two	Neurons_FANTOM_1	-17.956665765494108	-17.576752102948035
real	vae_1_two	Keratinocytes_ENCODE_1	-6.381651896983385	-17.373208043336994
real	vae_2_three	Hepatocytes_FANTOM_2	-20.662961656111293	-17.210877616756388
real	vae_1_two	Sebocytes_FANTOM_2	-5.4759715320542455	-16.498746429445205
real	vae_1_three	Keratinocytes_ENCODE_1	-7.222581125795841	-16.003955131656443
real	vae_1_two	Sebocytes_FANTOM_3	-7.3725382359698415	-15.566618071492323
real	vae_1_two	Keratinocytes_FANTOM_3	-14.988350696861744	-15.408453074745669
real	vae_1_two	Sebocytes_FANTOM_1	-6.60062959510833	-15.262942277968898
real	vae_0_two	Keratinocytes_FANTOM_3	-10.270971460733563	-15.259894741509122
real	vae_0_two	Epithelial-cells_ENCODE_3	-8.367820076295175	-15.102871337312328
real	vae_1_three	Keratinocytes_FANTOM_3	-17.642717385664582	-14.963649006151897
real	vae_2_three	Keratinocytes_HPCA_2	-10.825926655903459	-14.961276661368553
real	vae_2_three	Sebocytes_FANTOM_2	-5.586247026920319	-14.861990265617928
real	vae_1_three	Keratinocytes_FANTOM_2	-17.21051519550383	-14.716811407021517
real	vae_2_three	Hepatocytes_HPCA_3	-15.848182849469595	-14.47084920265599
real	vae_2_three	Keratinocytes_FANTOM_2	-14.45701851695776	-14.40508407636746
real	vae_1_two	Neurons_FANTOM_3	-24.194275065790862	-14.243937013767594
real	vae_1_three	Keratinocytes_HPCA_2	-12.166610356420279	-14.148691254870736
real	vae_2_three	Hepatocytes_FANTOM_1	-20.063502738135867	-14.077129597216956
real	vae_0_two	Keratinocytes_FANTOM_1	-12.789028043931467	-13.912252248718016
real	vae_0_two	Sebocytes_FANTOM_1	-4.744368493556976	-13.788160373208896
real	vae_1_three	Epithelial-cells_ENCODE_1	-2.0069804042577744	-13.693433196609478
real	vae_0_two	Sebocytes_FANTOM_3	-5.245812401175499	-13.574671005450098
real	vae_1_three	Keratinocytes_HPCA_1	-4.586932893842459	-13.522387388038622
real	vae_1_three	Keratinocytes_ENCODE_2	-4.939173474907875	-13.469104078098106
real	vae_1_two	Keratinocytes_FANTOM_2	-14.595245458185673	-13.362150167544115
real	vae_2_three	Hepatocytes_HPCA_1	-15.74560312682297	-13.198733719783958
real	vae_2_three	Keratinocytes_HPCA_1	-4.113537197932601	-13.118879426366561
real	vae_2_three	Hepatocytes_FANTOM_3	-19.576747450395487	-13.003949369279644
real	vae_1_two	Keratinocytes_HPCA_2	-10.40273241698742	-12.942300141309447
real	vae_0_two	Keratinocytes_HPCA_3	-7.160080495872535	-12.909455644946826
real	vae_2_three	Sebocytes_FANTOM_3	-7.567781917750835	-12.563905413058244
real	vae_0_two	Astrocytes_FANTOM_3	-12.09462852217257	-12.106998055800165
real	vae_2_three	Keratinocytes_FANTOM_1	-17.841412506997585	-11.887521076799564
real	vae_2_three	Keratinocytes_FANTOM_3	-14.879064284265041	-11.826858216265064
real	vae_1_three	Keratinocytes_FANTOM_1	-20.945503974333405	-11.819282606496362
real	vae_1_three	Epithelial-cells_FANTOM_2	-8.629791103303432	-11.737053760470548
real	vae_1_two	Keratinocytes_HPCA_1	-3.9358661472797394	-11.660244233891952
real	vae_1_two	Neurons_FANTOM_2	-25.795413289684802	-11.607476720017502
real	vae_0_two	Keratinocytes_HPCA_2	-7.503871116437949	-11.455895023585416
real	vae_0_two	Keratinocytes_FANTOM_2	-10.061546175274998	-11.42071012672205
real	vae_1_two	Epithelial-cells_ENCODE_2	-2.7829337818548083	-10.848499579318595
real	vae_2_three	Neurons_FANTOM_3	-12.241118752746843	-10.81562763847045
real	vae_0_three	Neurons_FANTOM_2	-15.640701970783994	-10.79639435965787
real	vae_2_three	Hepatocytes_HPCA_2	-16.791943603078835	-10.56097867672696
real	vae_1_three	Epithelial-cells_ENCODE_3	-11.534342025988735	-10.110155490053582
real	vae_2_three	Epithelial-cells_ENCODE_1	-1.8414587676525116	-9.6488721442742
real	vae_0_three	Chondrocytes_FANTOM_1	-11.40420228196308	-9.534146262727107
real	vae_1_three	Neutrophils_HPCA_3	-3.4205919057130814	-9.484024390645395
real	vae_2_three	Neurons_ENCODE_1	-1.9311266094446182	-9.266572108664889
real	vae_1_three	Monocytes_IRIS_1	-2.8698369190096855	-9.122107115855425
real	vae_2_three	Keratinocytes_ENCODE_3	-2.3751081004738808	-8.936223281828942
real	vae_0_two	Astrocytes_FANTOM_1	-14.609711679193424	-8.844074477489213
real	vae_1_two	Keratinocytes_FANTOM_1	-18.029353447258472	-8.835147143693227
real	vae_0_three	Neurons_FANTOM_1	-9.91560881328769	-8.744373998149536
real	vae_0_three	Neurons_ENCODE_2	-9.717837806791067	-8.516039293658057
real	vae_0_three	Neurons_ENCODE_1	-1.4565283507108688	-8.484650830745162
real	vae_1_three	Keratinocytes_ENCODE_3	-2.561882123351097	-8.451198862241315
real	vae_0_two	Epithelial-cells_FANTOM_2	-5.549194163642824	-8.372335744995992
real	vae_0_three	Neurons_FANTOM_3	-14.068570441333577	-8.307025539268752
real	vae_0_two	mv-Endothelial-cells_FANTOM_3	-7.12922665849328	-8.306657472807677
real	vae_2_three	Epithelial-cells_FANTOM_2	-5.194363106507808	-8.191779952484499
real	vae_0_two	Keratinocytes_HPCA_1	-2.7110712826251984	-8.074591570256825
real	vae_1_three	Monocytes_NOVERSHTERN_1	-12.158095499966294	-8.060207535416192
real	vae_1_three	Neutrophils_IRIS_2	-2.5817330814898014	-7.872035815152418
real	vae_0_two	Keratinocytes_ENCODE_1	-4.003356706001796	-7.824117783766777
real	vae_2_three	Neurons_FANTOM_1	-8.717302191071212	-7.690272329650902
real	vae_1_two	Epithelial-cells_HPCA_1	-1.7211884334683418	-7.673972299133792
real	vae_1_three	Epithelial-cells_FANTOM_1	-3.3538062125444412	-7.636071666014303
real	vae_0_three	MSC_HPCA_3	-4.832231376785785	-7.612563301458766
real	vae_1_two	Epithelial-cells_FANTOM_1	-1.6816994789987803	-7.547285383997259
real	vae_2_three	Epithelial-cells_FANTOM_1	-1.7260134778916836	-7.458521064467462
real	vae_1_two	Epithelial-cells_FANTOM_2	-5.331605005310848	-7.43470061290922
real	vae_1_two	Epithelial-cells_ENCODE_1	-1.7162278145551682	-7.427736322500587
real	vae_0_three	mv-Endothelial-cells_FANTOM_3	-6.9453302847687155	-7.405107351762354
real	vae_0_two	Sebocytes_FANTOM_2	-3.7111160904169083	-7.356105618762776
real	vae_1_three	Epithelial-cells_FANTOM_3	-5.131753981113434	-7.336564917606152
real	vae_1_two	Neutrophils_HPCA_2	-1.2482849434018135	-7.329100967502265
real	vae_0_two	Epithelial-cells_HPCA_1	-1.2153352499008179	-7.139474956612665
real	vae_0_two	Astrocytes_FANTOM_2	-8.497766230255365	-7.088691811630401
real	vae_2_three	Epithelial-cells_ENCODE_2	-2.8870294131338596	-7.052335195179622
real	vae_1_three	Neutrophils_HPCA_1	-2.6542952805757523	-7.043048613177315
real	vae_0_two	Epithelial-cells_FANTOM_3	-3.0000549033284187	-6.9296407360476975
real	vae_2_three	Keratinocytes_ENCODE_2	-4.1502130925655365	-6.918394135177562
real	vae_0_two	Endothelial-cells_FANTOM_3	-2.8324608877301216	-6.805520183140263
real	vae_2_three	Neurons_FANTOM_2	-12.895644747070037	-6.75434614216807
real	vae_1_three	Monocytes_FANTOM_3	-15.296240278054029	-6.7067025498667405
