cell_type	replicate	cell	vae_2	nmf_6	cell_class
BASO1	3	BASO1_3	11.587812878194732	196.7723109148989	Basophil
BASO1	4	BASO1_4	13.77774663821421	220.26503164490137	Basophil
BASO1	5	BASO1_5	4.523470704715081	159.28295735130266	Basophil
BASO1	6	BASO1_6	11.517815490114145	198.788344458719	Basophil
BASO1	7	BASO1_7	18.585412651143503	229.83677286373046	Basophil
BASO1	8	BASO1_8	14.394798587715417	232.46738511620293	Basophil
BCELLA1	1	BCELLA1_1	15.045348717138602	257.7506437612542	Naive Lymphoid
BCELLA1	2	BCELLA1_2	16.72557197997534	246.8688135215241	Naive Lymphoid
BCELLA1	3	BCELLA1_3	19.54881129980468	324.64292303377437	Naive Lymphoid
BCELLA1	4	BCELLA1_4	14.694517119742148	243.85258887498188	Naive Lymphoid
BCELLA1	5	BCELLA1_5	17.533111728874516	273.804248297845	Naive Lymphoid
BCELLA2	1	BCELLA2_1	14.429642273844475	254.0784410769824	Differentiated B Cell
BCELLA2	2	BCELLA2_2	15.164344755614662	265.48981698958835	Differentiated B Cell
BCELLA2	3	BCELLA2_3	15.503440399690014	274.5395942936713	Differentiated B Cell
BCELLA2	4	BCELLA2_4	15.714413960633587	254.12162794436608	Differentiated B Cell
BCELLA2	5	BCELLA2_5	15.95522134354448	245.6440716210706	Differentiated B Cell
BCELLA3	1	BCELLA3_1	17.673229659808648	295.7588139320682	Differentiated B Cell
BCELLA3	2	BCELLA3_2	12.34015593435272	250.36206824415234	Differentiated B Cell
BCELLA3	3	BCELLA3_3	15.232812945780678	256.48632965347355	Differentiated B Cell
BCELLA3	4	BCELLA3_4	16.600614713374725	255.4078056162408	Differentiated B Cell
BCELLA3	5	BCELLA3_5	14.862878880113335	246.3314775058507	Differentiated B Cell
BCELLA4	1	BCELLA4_1	15.482735388007617	261.49819485583555	Differentiated B Cell
BCELLA4	2	BCELLA4_2	11.017181799164545	276.7703813590882	Differentiated B Cell
BCELLA4	3	BCELLA4_3	15.76232229549068	256.19148834901324	Differentiated B Cell
BCELLA4	4	BCELLA4_4	15.159589761550235	265.03115487193537	Differentiated B Cell
BCELLA4	5	BCELLA4_5	16.05678659980969	255.4629669079485	Differentiated B Cell
CMP	4	CMP_4	15.135080559884731	229.39031804895433	Myeloid
CMP	5	CMP_5	16.130423140465172	240.4362468988315	Myeloid
CMP	6	CMP_6	6.865384649858152	159.51471250797678	Myeloid
CMP	7	CMP_7	10.164051610175273	176.34392233103324	Myeloid
DENDA1	1	DENDA1_1	17.249754991165403	253.24519919770108	Dendritic
DENDA1	2	DENDA1_2	9.571800141789868	172.23940596896676	Dendritic
DENDA1	3	DENDA1_3	6.070329000356834	140.93889781013684	Dendritic
DENDA1	4	DENDA1_4	17.57875762067651	236.01185935834025	Dendritic
DENDA1	5	DENDA1_5	3.4874122579670663	165.59161523071765	Dendritic
DENDA2	1	DENDA2_1	27.447063016797912	312.6612246597503	Dendritic
DENDA2	2	DENDA2_2	24.140331834061303	263.6812011214717	Dendritic
DENDA2	3	DENDA2_3	21.47683769074309	239.11414714677085	Dendritic
DENDA2	4	DENDA2_4	23.04139875770324	237.66330487434539	Dendritic
DENDA2	5	DENDA2_5	20.325647718662758	234.3746806042483	Dendritic
EOS2	1	EOS2_1	11.943989191663897	192.00891340662093	Eosinophil
EOS2	2	EOS2_2	16.51733849871717	252.69509675851972	Eosinophil
EOS2	3	EOS2_3	20.06784409726372	262.6453422418097	Eosinophil
