entrez_gene_id	gene_symbol	signature	in_external_dataset
2204	FCAR	Monocyte_FANTOM_2	Yes
137886	UBXN2B	Monocyte_FANTOM_2	Yes
671	BPI	Monocyte_FANTOM_2	Yes
2207	FCER1G	Monocyte_FANTOM_2	Yes
55968	NSFL1C	Monocyte_FANTOM_2	Yes
50856	CLEC4A	Monocyte_FANTOM_2	Yes
2219	FCN1	Monocyte_FANTOM_2	Yes
64174	DPEP2	Monocyte_FANTOM_2	Yes
79026	AHNAK	Monocyte_FANTOM_2	Yes
54453	RIN2	Monocyte_FANTOM_2	Yes
9398	CD101	Monocyte_FANTOM_2	Yes
695	BTK	Monocyte_FANTOM_2	Yes
29888	STRN4	Monocyte_FANTOM_2	No
8897	MTMR3	Monocyte_FANTOM_2	Yes
706	TSPO	Monocyte_FANTOM_2	Yes
3267	AGFG1	Monocyte_FANTOM_2	Yes
3779	KCNMB1	Monocyte_FANTOM_2	Yes
25796	PGLS	Monocyte_FANTOM_2	Yes
79042	TSEN34	Monocyte_FANTOM_2	Yes
199	AIF1	Monocyte_FANTOM_2	Yes
4296	MAP3K11	Monocyte_FANTOM_2	Yes
719	C3AR1	Monocyte_FANTOM_2	Yes
7375	USP4	Monocyte_FANTOM_2	Yes
23765	IL17RA	Monocyte_FANTOM_2	Yes
2268	FGR	Monocyte_FANTOM_2	Yes
10462	CLEC10A	Monocyte_FANTOM_2	Yes
79587	CARS2	Monocyte_FANTOM_2	Yes
9444	QKI	Monocyte_FANTOM_2	Yes
9958	USP15	Monocyte_FANTOM_2	Yes
64231	MS4A6A	Monocyte_FANTOM_2	Yes
9450	LY86	Monocyte_FANTOM_2	Yes
5355	PLP2	Monocyte_FANTOM_2	Yes
4332	MNDA	Monocyte_FANTOM_2	Yes
23276	KLHL18	Monocyte_FANTOM_2	Yes
3310	HSPA6	Monocyte_FANTOM_2	Yes
4335	MNT	Monocyte_FANTOM_2	Yes
55023	PHIP	Monocyte_FANTOM_2	Yes
353514	LILRA5	Monocyte_FANTOM_2	Yes
9470	EIF4E2	Monocyte_FANTOM_2	Yes
23294	ANKS1A	Monocyte_FANTOM_2	Yes
7940	LST1	Monocyte_FANTOM_2	Yes
23304	UBR2	Monocyte_FANTOM_2	Yes
23309	SIN3B	Monocyte_FANTOM_2	Yes
7439	BEST1	Monocyte_FANTOM_2	Yes
11024	LILRA1	Monocyte_FANTOM_2	Yes
11025	LILRB3	Monocyte_FANTOM_2	No
64783	RBM15	Monocyte_FANTOM_2	Yes
11027	LILRA2	Monocyte_FANTOM_2	Yes
23317	DNAJC13	Monocyte_FANTOM_2	Yes
5914	RARA	Monocyte_FANTOM_2	Yes
23325	KIAA1033	Monocyte_FANTOM_2	Yes
7454	WAS	Monocyte_FANTOM_2	Yes
79143	MBOAT7	Monocyte_FANTOM_2	Yes
29992	PILRA	Monocyte_FANTOM_2	Yes
301	ANXA1	Monocyte_FANTOM_2	Yes
2350	FOLR2	Monocyte_FANTOM_2	Yes
11054	OGFR	Monocyte_FANTOM_2	No
27440	CECR5	Monocyte_FANTOM_2	Yes
6452	SH3BP2	Monocyte_FANTOM_2	Yes
11060	WWP2	Monocyte_FANTOM_2	Yes
2358	FPR2	Monocyte_FANTOM_2	Yes
824	CAPN2	Monocyte_FANTOM_2	Yes
825	CAPN3	Monocyte_FANTOM_2	Yes
826	CAPNS1	Monocyte_FANTOM_2	Yes
23353	SUN1	Monocyte_FANTOM_2	Yes
8509	NDST2	Monocyte_FANTOM_2	Yes
831	CAST	Monocyte_FANTOM_2	Yes
80204	FBXO11	Monocyte_FANTOM_2	Yes
90957	DHX57	Monocyte_FANTOM_2	Yes
80208	SPG11	Monocyte_FANTOM_2	Yes
9555	H2AFY	Monocyte_FANTOM_2	Yes
9044	BTAF1	Monocyte_FANTOM_2	Yes
8021	NUP214	Monocyte_FANTOM_2	Yes
9046	DOK2	Monocyte_FANTOM_2	Yes
9051	PSTPIP1	Monocyte_FANTOM_2	Yes
23387	SIK3	Monocyte_FANTOM_2	No
23389	MED13L	Monocyte_FANTOM_2	Yes
8031	NCOA4	Monocyte_FANTOM_2	Yes
28511	NKIRAS2	Monocyte_FANTOM_2	Yes
26469	PTPN18	Monocyte_FANTOM_2	Yes
10087	COL4A3BP	Monocyte_FANTOM_2	Yes
80231	CXorf21	Monocyte_FANTOM_2	Yes
8554	PIAS1	Monocyte_FANTOM_2	Yes
57706	DENND1A	Monocyte_FANTOM_2	Yes
22895	RPH3A	Monocyte_FANTOM_2	No
55666	NPLOC4	Monocyte_FANTOM_2	Yes
10101	NUBP2	Monocyte_FANTOM_2	Yes
5500	PPP1CB	Monocyte_FANTOM_2	Yes
381	ARF5	Monocyte_FANTOM_2	Yes
