algorithm	feature_num	z_dim	seed	t_stat	t_p	neg_log_p	z	variable	model_type	value	z_score	feature	abs_z_score
dae	5	16	165158	6.648929159217135	2.5289597483306713e-10	9.597058082959665	16	Monocytes_FANTOM_2	real	8.89937	12.2116	5	12.2116
ica	3	16	908341	-6.590051093532686	3.514828148080147e-10	9.45409590426152	16	Monocytes_FANTOM_2	real	-0.015152	-16.8709	3	16.8709
nmf	6	16	908341	4.4772150168068805	1.242965623674681e-05	4.905540882343747	16	Monocytes_FANTOM_2	real	34.6922	19.9185	6	19.9185
pca	6	16	165158	5.452229734776908	1.3960457377613923e-07	6.855100352965011	16	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	5	16	908341	3.320290642589277	0.0010610691291616666	2.9742563206835397	16	Monocytes_FANTOM_2	real	3.49935	13.0083	5	13.0083
dae	59	90	978124	4.578397412577755	8.038954345069308e-06	5.094800437781365	90	Monocytes_FANTOM_2	real	3.5299699999999996	12.5358	59	12.5358
ica	85	90	486191	7.174941607496257	1.2368740738922008e-11	10.907674513626816	90	Monocytes_FANTOM_2	real	0.026514	11.9588	85	11.9588
nmf	88	90	451283	5.13966502579877	6.305699036454782e-07	6.200266761454611	90	Monocytes_FANTOM_2	real	14.8739	19.5395	88	19.5395
pca	6	90	908341	5.452229907859867	1.3960445481380754e-07	6.855100723043905	90	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	59	90	165158	6.405845243137653	9.729265185008624e-10	9.011919959130093	90	Monocytes_FANTOM_2	real	1.37283	16.3224	59	16.3224
dae	2	6	978124	-2.3577052088368387	0.019311835296667617	1.714176451164157	6	Monocytes_FANTOM_2	real	-98.0676	-5.42221	2	5.42221
ica	3	6	451283	4.449041060957616	1.4015144860783532e-05	4.853402409005101	6	Monocytes_FANTOM_2	real	0.00587964	12.3363	3	12.3363
nmf	5	6	165158	0.8800627588092128	0.3798361235952483	0.42040373488057786	6	Monocytes_FANTOM_2	real	14.2823	2.06618	5	2.06618
pca	3	6	908341	-1.1958505433951003	0.23310987272522515	0.6324393327458792	6	Monocytes_FANTOM_2	real	-0.921955	-8.58912	3	8.58912
vae	5	6	486191	0.9719722358490364	0.33218790818763155	0.4786161801415889	6	Monocytes_FANTOM_2	real	5.17384	9.85343	5	9.85343
dae	5	9	908341	4.284042114070711	2.7989087568597822e-05	4.553011259103756	9	Monocytes_FANTOM_2	real	7.43562	12.4528	5	12.4528
ica	4	9	978124	-5.432585991920365	1.5376184804929044e-07	6.813151409899347	9	Monocytes_FANTOM_2	real	-0.0113409	-18.7703	4	18.7703
nmf	6	9	908341	3.8277880846823487	0.0001708248872309323	3.7674488573021874	9	Monocytes_FANTOM_2	real	32.8823	18.604	6	18.604
pca	6	9	908341	5.452227689898421	1.3960597925711655e-07	6.8550959806902085	9	Monocytes_FANTOM_2	real	1.60206	19.9595	6	19.9595
vae	3	9	451283	-5.009256588809473	1.1609340913228844e-06	5.935192435375364	9	Monocytes_FANTOM_2	real	-12.4808	-15.0235	3	15.0235
dae	40	150	908341	1.2589497282240236	0.2094528265790587	0.6789137744318867	150	Monocytes_FANTOM_2	real	-0.506789	12.6743	40	12.6743
ica	77	150	978124	-7.319498551717339	5.273516161208086e-12	11.277899718713362	150	Monocytes_FANTOM_2	real	-0.0253625	-7.293239999999999	77	7.293239999999999
nmf	6	150	486191	4.653406669648903	5.792689627442128e-06	5.237119740394481	150	Monocytes_FANTOM_2	real	30.6654	31.6966	6	31.6966
pca	6	150	486191	5.452229907859849	1.3960445481382038e-07	6.855100723043865	150	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	139	150	486191	4.358641050406135	2.052245985970141e-05	4.687770585106634	150	Monocytes_FANTOM_2	real	1.0299200000000002	17.6325	139	17.6325
dae	2	12	486191	6.381592629094077	1.1109962756411668e-09	8.9542873969288	12	Monocytes_FANTOM_2	real	6.77608	9.41362	2	9.41362
ica	10	12	165158	5.984299723744981	9.327500960280702e-09	8.03023469757584	12	Monocytes_FANTOM_2	real	0.012967300000000001	21.8005	10	21.8005
nmf	6	12	451283	3.8347286135759453	0.00016638235990797798	3.778892720116964	12	Monocytes_FANTOM_2	real	32.5038	18.7556	6	18.7556
pca	6	12	486191	5.45222820156732	1.396056275767821e-07	6.855097074719431	12	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	2	12	908341	5.432312693579117	1.5396835635866892e-07	6.812568526377298	12	Monocytes_FANTOM_2	real	3.35724	12.5009	2	12.5009
dae	43	45	486191	2.620504484947454	0.009424608390448116	2.025736686469738	45	Monocytes_FANTOM_2	real	3.608	13.6651	43	13.6651
ica	44	45	486191	-7.8544432022730755	2.0764102883217934e-13	12.682686827919603	45	Monocytes_FANTOM_2	real	-0.0205398	-11.9924	44	11.9924
nmf	6	45	978124	5.347025573892008	2.3352358749198453e-07	6.631669246146091	45	Monocytes_FANTOM_2	real	39.2741	18.8516	6	18.8516
pca	6	45	451283	5.452229907862365	1.3960445481209121e-07	6.855100723049245	45	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	18	45	451283	3.378237224088647	0.0008701190848740812	3.0604213055831484	45	Monocytes_FANTOM_2	real	1.7096799999999999	17.041	18	17.041
dae	2	20	908341	7.65123248551258	7.19752062430432e-13	12.142817081988786	20	Monocytes_FANTOM_2	real	6.9377	12.8384	2	12.8384
ica	11	20	978124	-7.271504057153617	7.006159167047151e-12	11.154520000534587	20	Monocytes_FANTOM_2	real	-0.016277899999999998	-16.0776	11	16.0776
nmf	6	20	451283	4.7027088537523385	4.660255288241108e-06	5.3315902920572915	20	Monocytes_FANTOM_2	real	35.5704	20.1819	6	20.1819
pca	6	20	908341	5.452229923483712	1.3960444407532606e-07	6.85510075645017	20	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	4	20	451283	2.2865690196890758	0.023222863314005568	1.6340842340027824	20	Monocytes_FANTOM_2	real	2.11154	14.4841	4	14.4841
dae	124	125	165158	-6.159320333562218	3.6932826811016344e-09	8.432587450501142	125	Monocytes_FANTOM_2	real	-6.657439999999999	-13.469000000000001	124	13.469000000000001
ica	105	125	978124	-7.131117325947111	1.5985830871605848e-11	10.796264786131365	125	Monocytes_FANTOM_2	real	-0.0376411	-12.5736	105	12.5736
nmf	6	125	486191	4.638914119047501	6.173205656440537e-06	5.209489254546007	125	Monocytes_FANTOM_2	real	29.4188	26.4407	6	26.4407
pca	6	125	978124	5.4522299078598815	1.396044548137976e-07	6.855100723043936	125	Monocytes_FANTOM_2	real	1.60207	19.9593	6	19.9593
vae	35	125	486191	8.133358327440467	3.6695048253299046e-14	13.435392536874893	125	Monocytes_FANTOM_2	real	1.82445	15.9098	35	15.9098
dae	1	2	908341	-2.6515108868104673	0.008627435320977993	2.064118287886681	2	Monocytes_FANTOM_2	real	-89.5084	-4.990880000000001	1	4.990880000000001
ica	0	2	165158	4.7950437252791955	3.0868920825167734e-06	5.510478553150462	2	Monocytes_FANTOM_2	real	0.00125078	4.48944	0	4.48944
