variable	three	two	abs_diff
Skeletal-muscle_FANTOM_2	7.946984148724023	15.068042656019994	7.121058507295971
Monocytes_FANTOM_2	6.910606372607049	0.7098756989519485	6.200730673655101
Monocytes_IRIS_3	7.09281963528887	1.3425404361759687	5.750279199112901
Astrocytes_FANTOM_3	4.243826594080356	9.69699455869802	5.453167964617664
Monocytes_NOVERSHTERN_1	7.41343246866924	1.9914299822957986	5.422002486373441
Monocytes_IRIS_1	6.370141749246656	1.3237262263172784	5.046415522929378
Monocytes_FANTOM_3	6.300113632112044	1.308337343432162	4.991776288679882
Skeletal-muscle_FANTOM_3	6.924005059849516	11.744536958132166	4.82053189828265
Keratinocytes_FANTOM_3	10.586565271681478	15.334173908127395	4.747608636445918
Neurons_FANTOM_1	8.19771217330229	12.881224514273427	4.683512340971136
Monocytes_FANTOM_1	6.5740398771813995	2.023362824876917	4.550677052304483
Astrocytes_FANTOM_2	5.8180574078617875	10.28573444048918	4.467677032627393
Epithelial-cells_ENCODE_3	5.833506700781389	10.164968298530447	4.331461597749057
Skeletal-muscle_FANTOM_1	10.262518548544092	14.215885154281114	3.9533666057370223
Neutrophils_HPCA_2	8.764275641542598	4.878545917461533	3.885729724081065
Monocytes_BLUEPRINT_3	5.879906706798455	2.2657818007811383	3.614124906017317
Endothelial-cells_FANTOM_3	2.4121762866482515	5.901150151840255	3.488973865192004
Astrocytes_FANTOM_1	5.5585939851921715	8.948764043129373	3.390170057937201
Monocytes_BLUEPRINT_2	4.5024077294907885	1.1462805887568397	3.356127140733949
Epithelial-cells_ENCODE_2	5.219506486305947	8.453321359757235	3.233814873451288
Epithelial-cells_HPCA_1	4.2593911202292505	7.4067236278732285	3.147332507643978
Hepatocytes_FANTOM_2	9.482953922587654	6.412155220541277	3.0707987020463774
Monocytes_NOVERSHTERN_3	3.984935608960754	1.0301753042519617	2.9547603047087923
Keratinocytes_ENCODE_2	8.387385426348418	5.501336938663491	2.886048487684927
Neutrophils_HPCA_3	6.907019379377758	4.038745943206759	2.8682734361709983
Hepatocytes_FANTOM_3	8.61280055495835	5.7710569968865535	2.841743558071796
Neutrophils_IRIS_1	4.946924949704811	2.119165341819863	2.827759607884948
Neutrophils_FANTOM_2	3.8683704672691923	1.0461023811243912	2.822268086144801
Fibroblasts_HPCA_3	2.3890430433574106	5.184376069443133	2.7953330260857228
Myocytes_FANTOM_2	6.13063043158937	8.907778159845922	2.777147728256552
Mesangial-cells_FANTOM_1	3.3825452051502887	6.08106847509489	2.698523269944601
Hepatocytes_FANTOM_1	8.106053739740638	5.483260821790872	2.6227929179497655
Keratinocytes_ENCODE_3	6.719525958821621	4.138069697126037	2.5814562616955845
Erythrocytes_FANTOM_2	1.0952742854654294	3.553361732090678	2.4580874466252487
Keratinocytes_FANTOM_1	8.986655773815539	11.373699696205621	2.387043922390083
Hepatocytes_HPCA_1	7.547844913493074	5.182164709049401	2.365680204443673
Hepatocytes_HPCA_3	7.662243228510164	5.367678916751415	2.294564311758749
Fibroblasts_FANTOM_1	2.3459016765309966	4.6296730099814685	2.283771333450472
Monocytes_NOVERSHTERN_2	3.6873180990532926	1.4072552608530382	2.280062838200254
Epithelial-cells_ENCODE_1	8.832993638474731	6.571720137933733	2.261273500540998
Myocytes_FANTOM_1	3.365835830654928	5.596213270726966	2.2303774400720378
Keratinocytes_HPCA_3	19.414100859486712	21.6178785446307	2.2037776851439865
Basophils_NOVERSHTERN_1	4.02733528723463	1.8732151204827985	2.1541201667518313
mv-Endothelial-cells_FANTOM_3	2.8991378640677303	4.979968400625643	2.080830536557913
Epithelial-cells_HPCA_2	5.612200396595827	3.6375448223473885	1.9746555742484384
Plasma-cells_BLUEPRINT_2	2.3015044555852255	0.36775411111919254	1.9337503444660329
ly-Endothelial-cells_FANTOM_2	1.6152351092970243	3.4739047747855434	1.858669665488519
Monocytes_HPCA_2	2.8980225408154916	1.0821692135575722	1.8158533272579194
Neutrophils_BLUEPRINT_2	4.275244969475033	2.4632553588721176	1.8119896106029159
Neutrophils_FANTOM_1	3.8799576689965214	2.081617284031873	1.7983403849646482
Monocytes_HPCA_3	2.395200078935218	0.6244588938830766	1.7707411850521413
CD8+-Tcm_NOVERSHTERN_2	0.46745240141011085	2.2345743394651185	1.7671219380550076
Fibroblasts_FANTOM_3	1.7789545764994739	3.535652834584603	1.7566982580851291
CD8+-naive-T-cells_HPCA_1	2.067842071450669	0.3598894459088976	1.7079526255417714
Monocytes_IRIS_2	3.58217466370673	1.9061217784175448	1.6760528852891854
