variable	pval	odds	full_feature	tailed
mv-Endothelial-cells_ENCODE_2	0.0002146254844130282	0.08100129683980616	vae_1_two	neg
Tgd-cells_HPCA_3	0.00021972031840520473	0.08054169636493229	vae_1_two	neg
Myocytes_FANTOM_1	0.00024076163300765498	127.925	vae_1_two	pos
Neutrophils_FANTOM_1	0.000248772879620436	10.291068580542264	vae_0_three	pos
Tgd-cells_HPCA_3	0.0003099943446433331	0.08642368295400286	vae_2_three	neg
Monocytes_IRIS_2	0.0003576992870007849	28.63235294117647	vae_0_three	pos
Monocytes_BLUEPRINT_1	0.0003576992870007849	28.63235294117647	vae_0_three	pos
Neutrophils_BLUEPRINT_2	0.0004421082278237371	17.02	vae_1_three	neg
Neutrophils_BLUEPRINT_3	0.0004421082278237371	17.02	vae_1_three	neg
Hepatocytes_FANTOM_2	0.00045096218331249047	0.08910798473396693	vae_1_two	neg
mv-Endothelial-cells_ENCODE_1	0.00045096218331249047	0.08910798473396693	vae_1_two	neg
CD4+-memory-T-cells_FANTOM_1	0.00045206692642378924	0.14809248735891295	vae_1_two	neg
CD8+-Tem_HPCA_1	0.00046004020492080346	0.08801020408163265	vae_1_two	neg
Epithelial-cells_ENCODE_3	0.00046234309561789103	3.5207362534948743	vae_1_three	neg
Monocytes_FANTOM_2	0.0004659925323179904	0.08842725678436478	vae_2_three	neg
mv-Endothelial-cells_ENCODE_2	0.0004935742612679116	0.08691631992602866	vae_2_three	neg
Keratinocytes_HPCA_1	0.000498933225884155	7.677631578947368	vae_2_three	neg
Hepatocytes_HPCA_1	0.0006643239313967418	0.0937770264957937	vae_1_two	neg
Hepatocytes_FANTOM_3	0.000667233816552226	0.09256599378881987	vae_1_two	neg
CD8+-Tem_HPCA_2	0.000683786574799299	0.09138486312399356	vae_1_two	neg
Epithelial-cells_HPCA_1	0.0007105962879661232	14.180555555555555	vae_1_three	neg
Epithelial-cells_ENCODE_1	0.0007105962879661232	14.180555555555555	vae_1_three	neg
Tgd-cells_HPCA_2	0.0007146053420938674	0.090232540524163	vae_1_two	neg
Neurons_ENCODE_1	0.0009418171392806983	57.17391304347826	vae_1_three	pos
Epithelial-cells_FANTOM_2	0.000959068412839506	4.52542372881356	vae_1_three	neg
Myocytes_ENCODE_3	0.000960630707742692	0.15799556866076933	vae_1_two	neg
Melanocytes_FANTOM_3	0.0009677509692741138	0.15894407100437252	vae_2_three	neg
Tgd-cells_HPCA_1	0.0009799247757549844	0.09694312507611741	vae_1_two	neg
CD8+-Tem_HPCA_2	0.000993776122347351	0.09804626633105598	vae_2_three	neg
Monocytes_FANTOM_3	0.0009945513742259792	0.09742490122500844	vae_2_three	neg
Tgd-cells_HPCA_2	0.0009996337310247893	0.09681111374220538	vae_2_three	neg
Neurons_ENCODE_2	0.001023005370164541	0.09560572386633914	vae_2_three	neg
mv-Endothelial-cells_ENCODE_1	0.001023005370164541	0.09560572386633914	vae_2_three	neg
