algorithm	feature_num	z_dim	seed	t_stat	t_p	neg_log_p	z	variable	model_type	value	z_score	feature	abs_z_score
dae	2	16	486191	-4.137243757665989	0.0013775796833732559	2.8608832708439262	16	Neutrophils_HPCA_2	real	-1.9795599999999998	-20.4156	2	20.4156
ica	11	16	486191	-9.679543638227528	5.086033808647083e-07	6.29362075724327	16	Neutrophils_HPCA_2	real	-0.0012667	-12.9017	11	12.9017
nmf	6	16	451283	4.276817221453284	0.0010750443464085495	2.968573620396481	16	Neutrophils_HPCA_2	real	2.05743	7.4562800000000005	6	7.4562800000000005
pca	6	16	451283	8.755670455903607	1.4750782991695438e-06	5.831184926130061	16	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	3	16	486191	-8.105208553989385	3.288328404082128e-06	5.4830248161445905	16	Neutrophils_HPCA_2	real	-0.925322	-15.9436	3	15.9436
dae	38	90	486191	-2.8477618164707277	0.014683649963743243	1.833165976975645	90	Neutrophils_HPCA_2	real	-1.22312	-22.1564	38	22.1564
ica	32	90	165158	-9.142912910195328	9.345775408086949e-07	6.029384659883555	90	Neutrophils_HPCA_2	real	-0.00438692	-7.88248	32	7.88248
nmf	6	90	165158	5.8182492434672515	8.235326011273965e-05	4.084319203768686	90	Neutrophils_HPCA_2	real	3.17905	17.4213	6	17.4213
pca	6	90	451283	8.755670920221892	1.4750774786102336e-06	5.831185167720274	90	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	48	90	165158	-3.081741325050386	0.00950710442341135	2.021951735893101	90	Neutrophils_HPCA_2	real	-0.654961	-16.7367	48	16.7367
dae	3	6	978124	-3.184222453528809	0.007859351554618307	2.104613284478189	6	Neutrophils_HPCA_2	real	-1.6742099999999998	-17.5019	3	17.5019
ica	5	6	486191	1.9816881910163535	0.07089373380756264	1.1493921497684654	6	Neutrophils_HPCA_2	real	-6.60757e-05	-3.9728	5	3.9728
nmf	4	6	978124	0.48420000118762935	0.6369606529793224	0.19588739454336845	6	Neutrophils_HPCA_2	real	0.0	-2.7869900000000003	4	2.7869900000000003
pca	3	6	908341	-10.886072946184584	1.4205475020867295e-07	6.847544239203124	6	Neutrophils_HPCA_2	real	-0.059906100000000004	-3.36495	3	3.36495
vae	5	6	451283	-9.189164460498954	8.858774992914605e-07	6.052626328970702	6	Neutrophils_HPCA_2	real	-2.45073	-15.8839	5	15.8839
dae	6	9	978124	-7.847876898225729	4.574005967778503e-06	5.3397032730979666	9	Neutrophils_HPCA_2	real	-2.01019	-14.4851	6	14.4851
ica	7	9	451283	-9.040880207841125	1.052466689180548e-06	5.977791640797768	9	Neutrophils_HPCA_2	real	-0.000901475	-10.456	7	10.456
nmf	6	9	451283	3.341505316087821	0.005871719031402702	2.2312347340917853	9	Neutrophils_HPCA_2	real	1.77342	5.37502	6	5.37502
pca	6	9	165158	8.755661223300184	1.4750946154467272e-06	5.8311801222969635	9	Neutrophils_HPCA_2	real	0.121342	8.35797	6	8.35797
vae	6	9	165158	-5.338422342835467	0.00017690840565567732	3.7522515314591285	9	Neutrophils_HPCA_2	real	-1.7999599999999998	-15.283	6	15.283
dae	120	150	978124	-6.004952176436248	6.16968852361197e-05	4.209736760746519	150	Neutrophils_HPCA_2	real	-1.33492	-18.2811	120	18.2811
ica	113	150	165158	6.359574033944008	3.612575639269687e-05	4.442183050983205	150	Neutrophils_HPCA_2	real	0.00603141	12.7894	113	12.7894
nmf	92	150	165158	6.024228515509103	5.99010548384566e-05	4.2225655297561415	150	Neutrophils_HPCA_2	real	2.29854	18.5268	92	18.5268
pca	6	150	486191	8.755670920222522	1.4750774786091212e-06	5.8311851677206015	150	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	123	150	978124	-3.5402682338862688	0.004068818802860885	2.3905316501982874	150	Neutrophils_HPCA_2	real	-0.290281	-18.4037	123	18.4037
dae	5	12	451283	-4.172781181363716	0.001293019680825179	2.888394864749362	12	Neutrophils_HPCA_2	real	-2.99965	-17.8996	5	17.8996
ica	9	12	451283	-8.98481280693635	1.123954582002919e-06	5.949251237863075	12	Neutrophils_HPCA_2	real	-0.00100225	-9.767430000000001	9	9.767430000000001
nmf	6	12	486191	3.3763607611398676	0.005505075356280525	2.2592367318070674	12	Neutrophils_HPCA_2	real	1.8058599999999998	5.7112	6	5.7112
pca	6	12	165158	8.755669503068905	1.4750799830534653e-06	5.831184430359038	12	Neutrophils_HPCA_2	real	0.12134400000000001	8.35791	6	8.35791
vae	1	12	165158	-5.532869712335571	0.00012926593795243224	3.8885158982296546	12	Neutrophils_HPCA_2	real	-1.5175299999999998	-15.6459	1	15.6459
dae	27	45	486191	-2.762766985514939	0.017190794860128655	1.7647040421386044	45	Neutrophils_HPCA_2	real	-0.92995	-16.8657	27	16.8657
ica	42	45	165158	-7.827550499826361	4.696323274822231e-06	5.328242015755507	45	Neutrophils_HPCA_2	real	-0.00264308	-12.5784	42	12.5784
nmf	6	45	908341	4.9467603310127375	0.0003382179173789828	3.4708033890129513	45	Neutrophils_HPCA_2	real	2.99253	15.0735	6	15.0735
pca	6	45	451283	8.75567092022229	1.4750774786095316e-06	5.831185167720481	45	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	21	45	451283	-6.721735643592319	2.128504639471299e-05	4.671925398860306	45	Neutrophils_HPCA_2	real	-0.88344	-17.8863	21	17.8863
dae	13	20	165158	-6.416333270636245	3.3212822705047784e-05	4.4786942128348635	20	Neutrophils_HPCA_2	real	-2.67615	-9.39986	13	9.39986
ica	11	20	978124	-9.440551620770561	6.646746324874364e-07	6.177390895892561	20	Neutrophils_HPCA_2	real	-0.00148019	-12.6611	11	12.6611
nmf	6	20	165158	4.347773749882506	0.0009485482948386299	3.0229405523367654	20	Neutrophils_HPCA_2	real	2.27561	8.62017	6	8.62017
pca	6	20	165158	8.755670983848214	1.4750773661676396e-06	5.831185200825789	20	Neutrophils_HPCA_2	real	0.12134400000000001	8.35789	6	8.35789
vae	8	20	908341	-8.297841914269439	2.5810777111175566e-06	5.588198919516004	20	Neutrophils_HPCA_2	real	-0.7167560000000001	-15.0315	8	15.0315
dae	45	125	486191	-5.414648647415121	0.00015633470109262297	3.805944612381678	125	Neutrophils_HPCA_2	real	-1.89968	-19.5024	45	19.5024
ica	36	125	908341	-7.291942515587775	9.581433568193661e-06	5.018569507186822	125	Neutrophils_HPCA_2	real	-0.00578875	-13.2738	36	13.2738
nmf	92	125	908341	6.114689156315759	5.21831105499311e-05	4.2824700368799595	125	Neutrophils_HPCA_2	real	2.44714	14.8713	92	14.8713
