	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2965.6691681332914	2876.254946298399	75	0.0025	150	100	0.5	9785	1	100
1	2804.2462317064414	2796.3669190853548	75	0.0025	150	100	0.5	9785	1	100
2	2772.5848805342343	2784.7679693101695	75	0.0025	150	100	0.5	9785	1	100
3	2757.3346682436772	2770.4012523527126	75	0.0025	150	100	0.5	9785	1	100
4	2746.87881741736	2753.5961657318057	75	0.0025	150	100	0.5	9785	1	100
5	2738.111507476155	2748.186876344407	75	0.0025	150	100	0.5	9785	1	100
6	2731.6835314504374	2740.0136396652424	75	0.0025	150	100	0.5	9785	1	100
7	2726.492560545215	2736.275014377689	75	0.0025	150	100	0.5	9785	1	100
8	2721.3575448141864	2728.5741207203037	75	0.0025	150	100	0.5	9785	1	100
9	2717.94253651242	2729.567711445387	75	0.0025	150	100	0.5	9785	1	100
10	2715.674709526345	2724.300013350711	75	0.0025	150	100	0.5	9785	1	100
11	2712.286952484886	2718.2108371362633	75	0.0025	150	100	0.5	9785	1	100
12	2709.7962989235716	2719.30628351682	75	0.0025	150	100	0.5	9785	1	100
13	2706.697434030936	2711.8061266693057	75	0.0025	150	100	0.5	9785	1	100
14	2704.4097834382137	2709.4296118770912	75	0.0025	150	100	0.5	9785	1	100
15	2702.884507634264	2710.2363799406967	75	0.0025	150	100	0.5	9785	1	100
16	2701.3927800928154	2705.8913359487033	75	0.0025	150	100	0.5	9785	1	100
17	2700.0424048118707	2709.141462453693	75	0.0025	150	100	0.5	9785	1	100
18	2698.2951084365122	2704.8461923398663	75	0.0025	150	100	0.5	9785	1	100
19	2696.178965426803	2702.9389695118307	75	0.0025	150	100	0.5	9785	1	100
20	2695.1966703814705	2704.689602970393	75	0.0025	150	100	0.5	9785	1	100
21	2694.3590182169937	2702.67391075003	75	0.0025	150	100	0.5	9785	1	100
22	2693.6205331576843	2701.0497262637427	75	0.0025	150	100	0.5	9785	1	100
23	2692.569130649808	2698.50506019957	75	0.0025	150	100	0.5	9785	1	100
24	2691.2920665216157	2696.3055114162585	75	0.0025	150	100	0.5	9785	1	100
25	2690.4915787694713	2695.7371464395615	75	0.0025	150	100	0.5	9785	1	100
26	2689.5189814213472	2695.4119389900516	75	0.0025	150	100	0.5	9785	1	100
27	2688.9608152611	2694.0653017820864	75	0.0025	150	100	0.5	9785	1	100
28	2687.7500101671226	2698.035863464239	75	0.0025	150	100	0.5	9785	1	100
29	2686.9464692176875	2693.295629556047	75	0.0025	150	100	0.5	9785	1	100
30	2686.4040509188176	2696.1521621616575	75	0.0025	150	100	0.5	9785	1	100
31	2686.1074804397012	2691.199938568057	75	0.0025	150	100	0.5	9785	1	100
32	2684.9791858769954	2690.8694603885338	75	0.0025	150	100	0.5	9785	1	100
33	2684.984189035028	2689.712187612034	75	0.0025	150	100	0.5	9785	1	100
34	2684.3139358467015	2692.5861961116752	75	0.0025	150	100	0.5	9785	1	100
35	2683.4479903437236	2689.99204418992	75	0.0025	150	100	0.5	9785	1	100
36	2682.629332646672	2690.18498810573	75	0.0025	150	100	0.5	9785	1	100
37	2682.73373444534	2688.3917453393883	75	0.0025	150	100	0.5	9785	1	100
38	2682.7591977185807	2692.6401703289316	75	0.0025	150	100	0.5	9785	1	100
39	2682.757017804499	2690.4226951817936	75	0.0025	150	100	0.5	9785	1	100
40	2681.1614485639043	2686.852342536299	75	0.0025	150	100	0.5	9785	1	100
41	2681.096506768606	2690.060178096618	75	0.0025	150	100	0.5	9785	1	100
42	2680.8439036221102	2685.717773904308	75	0.0025	150	100	0.5	9785	1	100
43	2680.021469746793	2685.564560490858	75	0.0025	150	100	0.5	9785	1	100
44	2679.882540451661	2686.5006222551683	75	0.0025	150	100	0.5	9785	1	100
45	2680.1221483555405	2685.300572586789	75	0.0025	150	100	0.5	9785	1	100
46	2679.456640723559	2684.2179298182064	75	0.0025	150	100	0.5	9785	1	100
47	2679.6440455883403	2688.081954693475	75	0.0025	150	100	0.5	9785	1	100
48	2679.1791059250254	2682.846238087058	75	0.0025	150	100	0.5	9785	1	100
49	2678.9183168442664	2684.954333099307	75	0.0025	150	100	0.5	9785	1	100
50	2679.0968309234486	2685.0218288793617	75	0.0025	150	100	0.5	9785	1	100
51	2678.6371875529107	2684.796811514101	75	0.0025	150	100	0.5	9785	1	100
52	2677.6829469446343	2683.4245035962895	75	0.0025	150	100	0.5	9785	1	100
53	2677.9031319094934	2683.2303469130916	75	0.0025	150	100	0.5	9785	1	100
54	2676.46370749624	2685.2058114804913	75	0.0025	150	100	0.5	9785	1	100
55	2677.7069328727143	2684.267465157445	75	0.0025	150	100	0.5	9785	1	100
56	2677.3686253438145	2683.8378999611614	75	0.0025	150	100	0.5	9785	1	100
57	2676.6859655685207	2681.8202205388084	75	0.0025	150	100	0.5	9785	1	100
58	2676.3066074262324	2685.0584481058795	75	0.0025	150	100	0.5	9785	1	100
59	2677.5772110742373	2682.1135482642208	75	0.0025	150	100	0.5	9785	1	100
60	2676.7737693839304	2681.9203223963314	75	0.0025	150	100	0.5	9785	1	100
61	2676.1580035952193	2682.279332352414	75	0.0025	150	100	0.5	9785	1	100
62	2675.337912385755	2683.654503204171	75	0.0025	150	100	0.5	9785	1	100
63	2675.8269248126758	2681.755459320477	75	0.0025	150	100	0.5	9785	1	100
64	2674.826008397006	2678.7597198778085	75	0.0025	150	100	0.5	9785	1	100
65	2674.9535185350796	2680.6936791385338	75	0.0025	150	100	0.5	9785	1	100
