	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2940.4815398771148	2857.6881684691684	125	0.002	150	100	1.0	7723	1	100
1	2783.7224776769413	2769.710394602205	125	0.002	150	100	1.0	7723	1	100
2	2756.333047988196	2744.101395382708	125	0.002	150	100	1.0	7723	1	100
3	2742.0663691866885	2732.1364722753347	125	0.002	150	100	1.0	7723	1	100
4	2732.4248607622935	2727.839050176267	125	0.002	150	100	1.0	7723	1	100
5	2725.4158617435246	2720.8039644142864	125	0.002	150	100	1.0	7723	1	100
6	2719.9211370017697	2710.2647954820445	125	0.002	150	100	1.0	7723	1	100
7	2715.1970992680504	2707.1877049287464	125	0.002	150	100	1.0	7723	1	100
8	2711.6904952291297	2704.0949482963374	125	0.002	150	100	1.0	7723	1	100
9	2707.765165430497	2704.212623143971	125	0.002	150	100	1.0	7723	1	100
10	2704.8488764603308	2696.40389355282	125	0.002	150	100	1.0	7723	1	100
11	2701.874037546976	2699.540306543529	125	0.002	150	100	1.0	7723	1	100
12	2699.843478677884	2702.2414345385696	125	0.002	150	100	1.0	7723	1	100
13	2697.559953187663	2690.1229063657684	125	0.002	150	100	1.0	7723	1	100
14	2695.9857892415657	2686.998147705545	125	0.002	150	100	1.0	7723	1	100
15	2694.2816234601996	2689.74351136771	125	0.002	150	100	1.0	7723	1	100
16	2692.6297865101374	2685.624310991276	125	0.002	150	100	1.0	7723	1	100
17	2690.5445929478346	2681.458161859166	125	0.002	150	100	1.0	7723	1	100
18	2689.759436853454	2681.6295457770675	125	0.002	150	100	1.0	7723	1	100
19	2688.156114715022	2678.7181991664675	125	0.002	150	100	1.0	7723	1	100
20	2687.068381628549	2679.1044963887725	125	0.002	150	100	1.0	7723	1	100
21	2686.2304441102897	2682.033942548996	125	0.002	150	100	1.0	7723	1	100
22	2684.313531547959	2676.7437625104567	125	0.002	150	100	1.0	7723	1	100
23	2684.6457849444005	2679.1796002068895	125	0.002	150	100	1.0	7723	1	100
24	2682.9085930808374	2676.7128462782325	125	0.002	150	100	1.0	7723	1	100
25	2681.1351770822266	2677.9834073068537	125	0.002	150	100	1.0	7723	1	100
26	2681.2066042049146	2670.4168222693593	125	0.002	150	100	1.0	7723	1	100
27	2679.9060453347847	2673.2161797547205	125	0.002	150	100	1.0	7723	1	100
28	2679.7101144039907	2672.221369726936	125	0.002	150	100	1.0	7723	1	100
29	2678.537402769109	2671.395346763713	125	0.002	150	100	1.0	7723	1	100
30	2678.418138893684	2668.369538812291	125	0.002	150	100	1.0	7723	1	100
31	2677.6274415878056	2675.8782662561243	125	0.002	150	100	1.0	7723	1	100
32	2676.998716971376	2666.9617684183795	125	0.002	150	100	1.0	7723	1	100
33	2676.7244304388296	2667.5027158894	125	0.002	150	100	1.0	7723	1	100
34	2676.3267420119614	2665.666690162673	125	0.002	150	100	1.0	7723	1	100
35	2675.3757534045335	2665.5569650566144	125	0.002	150	100	1.0	7723	1	100
36	2673.815516393344	2664.815291979117	125	0.002	150	100	1.0	7723	1	100
37	2674.0357429085357	2667.971787053358	125	0.002	150	100	1.0	7723	1	100
38	2674.0709218270695	2667.678745481298	125	0.002	150	100	1.0	7723	1	100
39	2673.125497203419	2663.1282559863466	125	0.002	150	100	1.0	7723	1	100
40	2673.0415633787297	2665.1389566279277	125	0.002	150	100	1.0	7723	1	100
41	2672.2076350007137	2665.400775741665	125	0.002	150	100	1.0	7723	1	100
42	2672.255358099545	2663.143684460146	125	0.002	150	100	1.0	7723	1	100
43	2671.1919981217798	2666.014129813725	125	0.002	150	100	1.0	7723	1	100
44	2671.907330464268	2661.1321188231955	125	0.002	150	100	1.0	7723	1	100
45	2670.852164201727	2665.4321335743307	125	0.002	150	100	1.0	7723	1	100
46	2669.932126779454	2662.1522517888084	125	0.002	150	100	1.0	7723	1	100
47	2670.244641459534	2664.4303027530473	125	0.002	150	100	1.0	7723	1	100
48	2669.2050126352433	2660.397844186932	125	0.002	150	100	1.0	7723	1	100
49	2669.5738261745723	2660.1133867486255	125	0.002	150	100	1.0	7723	1	100
50	2668.8164984025166	2661.181181285851	125	0.002	150	100	1.0	7723	1	100
51	2668.7861493081377	2659.7841591479446	125	0.002	150	100	1.0	7723	1	100
52	2668.9927463545678	2661.708071298399	125	0.002	150	100	1.0	7723	1	100
53	2668.6518592554844	2659.941738617352	125	0.002	150	100	1.0	7723	1	100
54	2669.532666134933	2659.7963222992353	125	0.002	150	100	1.0	7723	1	100
