	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer	dataset
0	5066.96008432948	4614.531431571922	5	0.0005	50	100	0.5	5433	1	100	TCGA
1	4127.574889394133	3772.0531613143844	5	0.0005	50	100	0.5	5433	1	100	TCGA
2	3364.3085258953115	3032.2060804510834	5	0.0005	50	100	0.5	5433	1	100	TCGA
3	2842.6242269470645	2837.3669605350974	5	0.0005	50	100	0.5	5433	1	100	TCGA
4	2523.290657466697	2362.06422493326	5	0.0005	50	100	0.5	5433	1	100	TCGA
5	2348.741439081859	2297.8910715687816	5	0.0005	50	100	0.5	5433	1	100	TCGA
6	2248.1145872211255	2264.2861585760834	5	0.0005	50	100	0.5	5433	1	100	TCGA
7	2161.7918442152272	2170.684629200691	5	0.0005	50	100	0.5	5433	1	100	TCGA
8	2133.9394405895955	2121.358760354507	5	0.0005	50	100	0.5	5433	1	100	TCGA
9	2109.4798932114354	2089.036373272613	5	0.0005	50	100	0.5	5433	1	100	TCGA
10	2082.4438187158166	2053.6416739459014	5	0.0005	50	100	0.5	5433	1	100	TCGA
11	2067.1183364515605	2052.0754830058495	5	0.0005	50	100	0.5	5433	1	100	TCGA
12	2047.542723859976	2026.5010434251335	5	0.0005	50	100	0.5	5433	1	100	TCGA
13	2040.272667063149	2044.895299250157	5	0.0005	50	100	0.5	5433	1	100	TCGA
14	2031.4901730332713	2013.5931206324592	5	0.0005	50	100	0.5	5433	1	100	TCGA
15	2023.661337793612	2023.2084181895807	5	0.0005	50	100	0.5	5433	1	100	TCGA
16	2016.4381021081715	2008.0523098892902	5	0.0005	50	100	0.5	5433	1	100	TCGA
17	2008.5371625687158	1999.6119439973304	5	0.0005	50	100	0.5	5433	1	100	TCGA
18	2000.408587921037	1991.3256878876805	5	0.0005	50	100	0.5	5433	1	100	TCGA
19	1994.1844785860412	1980.4779549603486	5	0.0005	50	100	0.5	5433	1	100	TCGA
20	1989.4521592152225	1975.7970430767116	5	0.0005	50	100	0.5	5433	1	100	TCGA
21	1984.0464535651563	1971.805738899576	5	0.0005	50	100	0.5	5433	1	100	TCGA
22	1978.3674956529399	1972.1186762670775	5	0.0005	50	100	0.5	5433	1	100	TCGA
23	1974.0118142098293	1963.7787331432553	5	0.0005	50	100	0.5	5433	1	100	TCGA
24	1966.2436817746993	1962.0294704724795	5	0.0005	50	100	0.5	5433	1	100	TCGA
25	1961.4096279099579	1951.433429967219	5	0.0005	50	100	0.5	5433	1	100	TCGA
26	1958.19945576452	1949.2893219760913	5	0.0005	50	100	0.5	5433	1	100	TCGA
27	1953.990944532907	1946.181353545069	5	0.0005	50	100	0.5	5433	1	100	TCGA
28	1951.8059379883357	1945.1119728280073	5	0.0005	50	100	0.5	5433	1	100	TCGA
29	1947.823795012457	1941.374828856195	5	0.0005	50	100	0.5	5433	1	100	TCGA
30	1944.0960920222942	1937.941443668538	5	0.0005	50	100	0.5	5433	1	100	TCGA
31	1941.7116894471299	1935.6088106548366	5	0.0005	50	100	0.5	5433	1	100	TCGA
32	1937.0342096907177	1933.7353288660097	5	0.0005	50	100	0.5	5433	1	100	TCGA
33	1935.0348350711402	1928.8002451220948	5	0.0005	50	100	0.5	5433	1	100	TCGA
34	1933.7579564800192	1929.6196013024105	5	0.0005	50	100	0.5	5433	1	100	TCGA
35	1929.3216222044957	1922.9170780661118	5	0.0005	50	100	0.5	5433	1	100	TCGA
36	1926.8694922158409	1920.8064915642667	5	0.0005	50	100	0.5	5433	1	100	TCGA
37	1925.0756614660363	1917.8489830745525	5	0.0005	50	100	0.5	5433	1	100	TCGA
38	1923.081677083951	1916.582353908213	5	0.0005	50	100	0.5	5433	1	100	TCGA
39	1920.8477943438293	1913.8183943398633	5	0.0005	50	100	0.5	5433	1	100	TCGA
40	1918.6468661598149	1912.523565704499	5	0.0005	50	100	0.5	5433	1	100	TCGA
41	1917.096105811239	1912.8097567917714	5	0.0005	50	100	0.5	5433	1	100	TCGA
42	1915.109818140169	1910.1086707953832	5	0.0005	50	100	0.5	5433	1	100	TCGA
43	1913.8365181617298	1909.3956120936714	5	0.0005	50	100	0.5	5433	1	100	TCGA
44	1912.1160383576832	1905.5521491736024	5	0.0005	50	100	0.5	5433	1	100	TCGA
45	1911.090745563339	1906.0652131507145	5	0.0005	50	100	0.5	5433	1	100	TCGA
46	1909.171503066378	1903.6981747114478	5	0.0005	50	100	0.5	5433	1	100	TCGA
47	1907.9389504825367	1902.796664597401	5	0.0005	50	100	0.5	5433	1	100	TCGA
48	1906.0892267355975	1900.687159552646	5	0.0005	50	100	0.5	5433	1	100	TCGA
49	1905.2606261941335	1900.7444626697943	5	0.0005	50	100	0.5	5433	1	100	TCGA
50	1903.614728298926	1895.973238997723	5	0.0005	50	100	0.5	5433	1	100	TCGA
