train_epoch	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3021.665105823147	2875.349959947867	125	0.001	150	100	0.0	3187	1	100
1	2821.7359058263014	2805.8750373446464	125	0.001	150	100	0.0	3187	1	100
2	2783.896774371423	2781.849534685708	125	0.001	150	100	0.0	3187	1	100
3	2764.7910908928307	2783.367264056525	125	0.001	150	100	0.0	3187	1	100
4	2752.598731916009	2754.7529581627928	125	0.001	150	100	0.0	3187	1	100
5	2744.0596229377343	2752.4667049138084	125	0.001	150	100	0.0	3187	1	100
6	2737.428936974422	2746.007099684064	125	0.001	150	100	0.0	3187	1	100
7	2732.287063778568	2735.623192052313	125	0.001	150	100	0.0	3187	1	100
8	2727.9714292183603	2732.863577206321	125	0.001	150	100	0.0	3187	1	100
9	2723.936295170036	2732.463395711341	125	0.001	150	100	0.0	3187	1	100
10	2720.991751532745	2725.700340023004	125	0.001	150	100	0.0	3187	1	100
11	2717.6922191270137	2720.880601696941	125	0.001	150	100	0.0	3187	1	100
12	2714.8929025132707	2716.765695954828	125	0.001	150	100	0.0	3187	1	100
13	2711.9887759894477	2717.1418153606	125	0.001	150	100	0.0	3187	1	100
14	2710.362452603572	2713.2169499880497	125	0.001	150	100	0.0	3187	1	100
15	2707.2913980592416	2709.2172160686546	125	0.001	150	100	0.0	3187	1	100
16	2705.9284992694197	2706.95284071388	125	0.001	150	100	0.0	3187	1	100
17	2703.818181995022	2719.311699424145	125	0.001	150	100	0.0	3187	1	100
18	2701.820560816408	2703.822996646451	125	0.001	150	100	0.0	3187	1	100
19	2699.984459008444	2702.6982085773184	125	0.001	150	100	0.0	3187	1	100
20	2698.663321311576	2712.3172973866212	125	0.001	150	100	0.0	3187	1	100
21	2697.2067244985737	2700.230249350203	125	0.001	150	100	0.0	3187	1	100
22	2695.8344571462007	2699.769106454649	125	0.001	150	100	0.0	3187	1	100
23	2694.0809325782825	2697.115274520495	125	0.001	150	100	0.0	3187	1	100
24	2692.946144258813	2695.307111167543	125	0.001	150	100	0.0	3187	1	100
25	2691.63924434625	2697.124943983031	125	0.001	150	100	0.0	3187	1	100
26	2690.517957265301	2695.5995034095668	125	0.001	150	100	0.0	3187	1	100
27	2689.458212763017	2693.897389982672	125	0.001	150	100	0.0	3187	1	100
28	2688.2900816243578	2691.9555131901293	125	0.001	150	100	0.0	3187	1	100
29	2687.340087683133	2691.8332710922564	125	0.001	150	100	0.0	3187	1	100
30	2686.2330804814897	2690.816408117232	125	0.001	150	100	0.0	3187	1	100
31	2685.8119185028354	2690.506367728997	125	0.001	150	100	0.0	3187	1	100
32	2684.303941513316	2690.06260689905	125	0.001	150	100	0.0	3187	1	100
33	2683.853950269491	2690.6831880937802	125	0.001	150	100	0.0	3187	1	100
34	2682.6336532587907	2687.4501210900157	125	0.001	150	100	0.0	3187	1	100
35	2681.9651860604185	2687.199088510546	125	0.001	150	100	0.0	3187	1	100
36	2681.375846620449	2685.9867323807957	125	0.001	150	100	0.0	3187	1	100
37	2680.359882811463	2683.9707899513032	125	0.001	150	100	0.0	3187	1	100
38	2680.0382850004235	2683.086373031937	125	0.001	150	100	0.0	3187	1	100
39	2678.6387187682594	2683.3089317190493	125	0.001	150	100	0.0	3187	1	100
40	2678.718439773078	2682.239638261084	125	0.001	150	100	0.0	3187	1	100
41	2677.7433156615602	2681.523533662464	125	0.001	150	100	0.0	3187	1	100
42	2677.2280698796712	2690.950340023004	125	0.001	150	100	0.0	3187	1	100
43	2676.6025756848912	2681.5451459428773	125	0.001	150	100	0.0	3187	1	100
44	2675.804358417216	2678.3940490372547	125	0.001	150	100	0.0	3187	1	100
45	2674.899838280503	2681.5944852227235	125	0.001	150	100	0.0	3187	1	100
46	2674.467884886801	2680.052662019748	125	0.001	150	100	0.0	3187	1	100
47	2673.766855507136	2678.595378226577	125	0.001	150	100	0.0	3187	1	100
48	2673.8295879503826	2678.3432495817397	125	0.001	150	100	0.0	3187	1	100
49	2673.0464312517843	2676.418975188217	125	0.001	150	100	0.0	3187	1	100
