train_epoch	batch_size	dataset	depth	epochs	first_layer	kappa	learning_rate	loss	num_components	seed	val_loss
0	150	TCGA	1	100	100	1.0	0.002	3840.324436893287	25	2695	3933.8950759657664
1	150	TCGA	1	100	100	1.0	0.002	2349.480374843471	25	2695	2930.960921551115
2	150	TCGA	1	100	100	1.0	0.002	2100.669453745775	25	2695	2597.054561135757
3	150	TCGA	1	100	100	1.0	0.002	2040.6824746245263	25	2695	2285.182774222676
4	150	TCGA	1	100	100	1.0	0.002	2011.0602769414181	25	2695	2153.676437607962
5	150	TCGA	1	100	100	1.0	0.002	1991.3830282860852	25	2695	2064.727540289337
6	150	TCGA	1	100	100	1.0	0.002	1979.955363073816	25	2695	2030.995087129986
7	150	TCGA	1	100	100	1.0	0.002	1967.506310036412	25	2695	2021.4898810458544
8	150	TCGA	1	100	100	1.0	0.002	1958.5756897251974	25	2695	1951.1696200730212
9	150	TCGA	1	100	100	1.0	0.002	1952.581039495135	25	2695	1949.6455832629947
10	150	TCGA	1	100	100	1.0	0.002	1944.3265990597793	25	2695	1990.274758190366
11	150	TCGA	1	100	100	1.0	0.002	1940.2945953140916	25	2695	1953.7147977436011
12	150	TCGA	1	100	100	1.0	0.002	1934.862326420076	25	2695	1927.8118307602465
13	150	TCGA	1	100	100	1.0	0.002	1928.6395574876917	25	2695	1929.4555019972909
14	150	TCGA	1	100	100	1.0	0.002	1924.902540337841	25	2695	1927.2017006418807
15	150	TCGA	1	100	100	1.0	0.002	1920.8050861939853	25	2695	1927.4033074307085
16	150	TCGA	1	100	100	1.0	0.002	1915.4866063019726	25	2695	1910.5858313785725
17	150	TCGA	1	100	100	1.0	0.002	1913.4119230879912	25	2695	1908.8216430050643
18	150	TCGA	1	100	100	1.0	0.002	1908.3528285213367	25	2695	1908.9549345850344
19	150	TCGA	1	100	100	1.0	0.002	1907.9621741176386	25	2695	1900.384019094496
20	150	TCGA	1	100	100	1.0	0.002	1903.2878038636513	25	2695	1896.936737520611
21	150	TCGA	1	100	100	1.0	0.002	1901.2349037488045	25	2695	1904.124440562186
22	150	TCGA	1	100	100	1.0	0.002	1898.0789568603327	25	2695	1893.5220548543493
23	150	TCGA	1	100	100	1.0	0.002	1895.2915992434507	25	2695	1893.4450137651147
24	150	TCGA	1	100	100	1.0	0.002	1893.3118074461609	25	2695	1894.257352436008
25	150	TCGA	1	100	100	1.0	0.002	1891.0456241710285	25	2695	1885.803731180316
26	150	TCGA	1	100	100	1.0	0.002	1890.0754045311232	25	2695	1886.4483483089275
27	150	TCGA	1	100	100	1.0	0.002	1888.1115739415538	25	2695	1888.245220855253
28	150	TCGA	1	100	100	1.0	0.002	1884.7245880239366	25	2695	1881.3902962076006
29	150	TCGA	1	100	100	1.0	0.002	1883.0735991195127	25	2695	1880.0252489252905
30	150	TCGA	1	100	100	1.0	0.002	1882.5246543062487	25	2695	1880.268872438364
31	150	TCGA	1	100	100	1.0	0.002	1880.066430993798	25	2695	1881.182054069174
32	150	TCGA	1	100	100	1.0	0.002	1878.439274304732	25	2695	1874.8995195705088
33	150	TCGA	1	100	100	1.0	0.002	1877.3700897594904	25	2695	1874.000718313246
34	150	TCGA	1	100	100	1.0	0.002	1875.5032805698181	25	2695	1871.5583336604898
35	150	TCGA	1	100	100	1.0	0.002	1873.4183450165121	25	2695	1871.094555418695
36	150	TCGA	1	100	100	1.0	0.002	1873.1819021244348	25	2695	1870.527514893805
37	150	TCGA	1	100	100	1.0	0.002	1871.6198594759371	25	2695	1869.9319172768135
38	150	TCGA	1	100	100	1.0	0.002	1869.985444283616	25	2695	1868.3624009942291
39	150	TCGA	1	100	100	1.0	0.002	1869.700187968388	25	2695	1869.067851464353
40	150	TCGA	1	100	100	1.0	0.002	1868.5705252067362	25	2695	1865.8215614203832
41	150	TCGA	1	100	100	1.0	0.002	1867.3487446773584	25	2695	1867.5623834504556
42	150	TCGA	1	100	100	1.0	0.002	1866.7936678713006	25	2695	1866.7991188854428
43	150	TCGA	1	100	100	1.0	0.002	1866.06783219312	25	2695	1864.3860071843592
44	150	TCGA	1	100	100	1.0	0.002	1864.8827184027148	25	2695	1863.1972950690954
45	150	TCGA	1	100	100	1.0	0.002	1863.9015697160328	25	2695	1861.581247300958
