gene_id	median_absolute_deviation
8337	7.0675252387511245
56849	7.020048241505939
5999	6.969082026629978
6192	6.925912139577604
3880	6.849887000918275
9464	6.708127860422414
1281	6.660136842975195
11075	6.630455191000874
3234	6.540579820936656
7345	6.524994223140494
5947	6.509015691460061
5764	6.497972538567497
3235	6.423628787878788
1271	6.422548473829186
23017	6.386537303948566
10631	6.350878636363615
140597	6.345882863177257
7026	6.284986522038575
6616	6.275287757575735
56896	6.251311070707029
1282	6.246813656565661
3232	6.24487901790636
10763	6.225914195133132
27092	6.209839620752975
6750	6.180325843893433
9086	6.178854155647398
8653	6.177196914600538
7054	6.157009244719954
6664	6.141232225436202
7991	6.13119886225896
5121	6.1259812323232214
6422	6.108019065197464
1363	6.105139257575757
1804	6.098528181818167
340543	6.086496308539914
2596	6.066163719008243
7441	6.059582626262639
441061	6.040552286501401
84992	6.0260518016528355
3225	5.984031834710753
1000	5.971378105142326
7070	5.96407756749313
3223	5.960526176308535
1791	5.960476380165281
151354	5.947509886134058
1996	5.939844971533536
8128	5.928321656106498
3233	5.915992222222209
655	5.913900232782399
1993	5.913698681818152
547	5.89979049954087
8534	5.894902785583085
9865	5.881227328741987
6092	5.874979663911887
4852	5.871299402203868
81551	5.866127757575787
27295	5.863936789256215
10278	5.854681961891671
29114	5.850971647842063
5654	5.832390639118462
84553	5.832025520661177
8929	5.826311280991703
286343	5.816522203856712
133584	5.802887300275527
55742	5.794425606060632
7025	5.783743716253436
23504	5.778540997245204
4135	5.771480747015598
4440	5.762098512396708
6586	5.761663428833826
8284	5.7561517451790785
23194	5.75190901928377
4857	5.750026212121184
25789	5.744376461432499
6366	5.728754495867737
3910	5.72712104132231
3236	5.72229159595962
3764	5.7175835587694985
84457	5.7149208429751805
55714	5.712727029384799
116372	5.7088811937557375
222008	5.697853380165259
5178	5.686757006887078
9201	5.66221344077136
80319	5.656205551882456
4741	5.6514613994490235
140730	5.647562644628144
6000	5.647537520661138
1949	5.644495369605164
5596	5.635762226813597
2138	5.631562445821844
3224	5.622542784664859
8287	5.621925019283771
728358	5.621106602387522
11013	5.608030560146934
25759	5.599282816804414
3670	5.583310892102858
94235	5.571713805785108
1284	5.568169095500451
221395	5.5574961487603645
2898	5.555669414600565
3671	5.549064847107422
26022	5.539880917355363
1909	5.535464433425145
3226	5.530413948576692
7404	5.524999676767655
6909	5.5208788902663
23266	5.520541553719004
3543	5.519762912764018
92737	5.519188840220417
6623	5.5145621111111
2562	5.507589297520684
56475	5.502942808080828
1991	5.498768062442626
64094	5.480088966942164
57586	5.474942786042217
9378	5.474607228650116
6926	5.471798576675835
388021	5.465184738292033
1278	5.452974797979804
56776	5.445329565656524
7082	5.444963353535345
8404	5.429677651056026
9892	5.424002001377389
