gene_id	median_absolute_deviation
3043	17694.04350654921
3040	5978.0405159993625
6280	5101.594898705069
5644	4352.61744238315
2512	3746.375117141392
1674	3552.986188132285
58	3500.137938722529
3858	3209.1684176514395
10398	3058.3601516004537
5967	2848.338025643116
60	2820.270208870322
3860	2559.5226551008554
1158	2495.7604665509393
1208	2290.3048773816445
1357	2196.6481723914176
2688	2159.922622036478
5617	2129.194420469107
3848	2077.61465607201
4633	1955.698991459431
5225	1911.091412058033
5406	1642.3638079336872
3851	1639.2187635526193
8513	1636.305840374586
2878	1611.2378679161911
4629	1592.647551457661
4878	1590.6883403031668
6876	1570.416730623197
2335	1557.0341336902386
6222	1539.3978878132095
6279	1365.961881290483
59	1359.1297455217375
347	1333.4160568113343
3106	1325.3315688738703
3852	1277.167360758069
5443	1271.262017786796
2167	1242.1585638112485
6176	1227.415206300208
4256	1226.0009670008374
3861	1224.1117058062316
3039	1201.3492711672184
7169	1194.4892366221432
10136	1167.813884496377
4151	1146.8944629936361
3045	1140.7502292021077
23521	1125.6890552092743
9168	1122.5194423902908
6707	1117.432231002347
2316	1089.2434358376224
6206	1056.7975701719733
1915	1045.2902231874687
3315	1035.6892473448813
5968	1030.774276461796
7114	1027.3129207873073
440387	1017.7290615813699
2495	1013.5254051077517
72	983.3727740333885
6205	914.8817364286441
5620	899.924259622933
213	897.1461377599164
2597	883.2827263980495
6288	861.6924835963313
5619	847.8254571957243
10628	843.2370943470796
71	840.6903419904921
6277	831.2574126080251
7178	830.4963073238181
1504	817.7281433012947
5319	809.6762798101244
633	807.4318727221815
3853	806.6676397277504
7134	792.8820306384862
3849	784.4883683591936
3490	766.8159359427825
10410	757.5847663090825
7431	750.6645708039231
1360	723.8694625980754
7125	715.7108573764021
567	712.1674120828868
6282	710.9396055801864
3956	702.54016440352
6175	697.797200936421
3107	694.2101646627304
10581	692.0386582272652
4502	679.6859738047076
972	674.7102922299632
6217	666.3688814802666
6122	656.9744387603288
6232	654.5999358044563
1843	648.9018475682828
4625	646.403539186913
6187	640.0711449807701
388533	636.327767882565
1056	632.6775135013941
2670	628.150367997792
6143	619.6548411553891
49860	614.5903991978324
6678	602.8836425929106
2813	602.8087409585786
7538	598.2157088202067
6125	589.1560039802133
8404	588.9093581286613
6132	587.3291686244713
6230	584.6946669803004
4589	578.5244608354201
3487	570.14767051822
7038	562.2545939626827
3105	556.2287708285987
51806	553.1165027564798
6181	552.022455741082
388	550.1166633171933
4501	548.8356647751774
1292	548.7034312699778
5730	526.7693045490256
6194	525.7452358046174
6134	523.0970029844569
3133	511.69933716291445
1264	511.4605532051433
1465	505.62008666135137
1291	500.687803428243
1278	495.88400288170607
