cancertype	n =
BRCA	1218
KIRC	606
LUAD	576
THCA	572
UCEC	567
HNSC	566
LUSC	553
PRAD	550
LGG	530
COAD	495
SKCM	474
STAD	450
BLCA	427
LIHC	423
KIRP	323
CESC	310
OV	308
SARC	265
ESCA	196
PCPG	187
PAAD	183
LAML	173
GBM	172
READ	171
TGCT	156
THYM	122
KICH	91
MESO	87
UVM	80
ACC	79
UCS	57
DLBC	48
CHOL	45
