Gene ID,Symbol,SAGD Group,Species,FPKM(F),FPKM(M),Chromosome,log2(M/F ratio),Padj
ENSG00000012817,KDM5D,SAGD_00038,Human,0.0218216762267444,4.67258492525192,Y,7.7225,1.6763e-197
ENSG00000012817,KDM5D,SAGD_00049,Human,0.021561885004669,9.88598228969117,Y,8.7785,0.0
ENSG00000012817,KDM5D,SAGD_00035,Human,0.0328107103351224,7.42370940121928,Y,7.8021,0.0
ENSG00000229807,XIST,SAGD_00075,Human,13.9307957447693,0.00971426440586801,X,-10.407,9.5876e-132
ENSG00000114374,USP9Y,SAGD_00014,Human,0.0701337084141217,10.9075713524715,Y,7.4038,3.7001e-78
ENSG00000074803,SLC12A1,SAGD_00107,Human,2.98075092725638,0.301451138880135,15,-5.2636,1.5288e-34
ENSG00000129824,RPS4Y1,SAGD_00002,Human,0.0144356774253672,18.1779976605592,Y,10.249,2.7477e-114
ENSG00000129824,RPS4Y1,SAGD_00108,Human,0.00961496011489554,102.734832039409,Y,12.509,2.8603e-23
ENSG00000114374,USP9Y,SAGD_00038,Human,0.0162185187507386,3.38411432036407,Y,8.036,1.0054e-176
ENSG00000067048,DDX3Y,SAGD_00049,Human,0.0343135460780373,14.2094000146514,Y,8.6378,0.0
ENSG00000129824,RPS4Y1,SAGD_00041,Human,0.141392970694074,38.4306950288258,Y,8.2253,0.0
ENSG00000012817,KDM5D,SAGD_00068,Human,0.0260882964912364,13.2786782623244,Y,9.0739,0.0
ENSG00000129824,RPS4Y1,SAGD_00052,Human,0.156025386201534,109.852929907133,Y,9.4431,0.0
ENSG00000129824,RPS4Y1,SAGD_00065,Human,0.161718334671763,59.7566275880596,Y,8.6465,0.0
ENSG00000012817,KDM5D,SAGD_00057,Human,0.0288789253731347,11.27999761046,Y,8.6595,0.0
ENSG00000067646,ZFY,SAGD_00133,Human,0.00618588500970097,3.58994230434085,Y,9.3113,6.6784e-45
ENSG00000067048,DDX3Y,SAGD_00002,Human,0.00116782340932761,2.73751974971614,Y,10.846,3.0662e-57
ENSG00000129824,RPS4Y1,SAGD_00036,Human,0.32626389526887,51.5981035993977,Y,7.6716,9.125e-129
ENSG00000067048,DDX3Y,SAGD_00040,Human,0.0600885515443737,10.8930245024485,Y,7.9797,3.7871e-135
ENSG00000067048,DDX3Y,SAGD_00056,Human,0.0379904715649835,10.2961397526342,Y,8.0845,0.0
ENSG00000129824,RPS4Y1,SAGD_00035,Human,0.202635870834043,56.5642050135605,Y,8.1552,0.0
ENSG00000012817,KDM5D,SAGD_00064,Human,0.0242068683954567,18.5526544134087,Y,9.5605,0.0
ENSG00000067048,DDX3Y,SAGD_00041,Human,0.031317640607603,8.39829620336718,Y,8.1513,2.3772e-295
ENSG00000067048,DDX3Y,SAGD_00057,Human,0.0450476380507823,17.2634425634761,Y,8.6041,0.0
ENSG00000012817,KDM5D,SAGD_00044,Human,0.0443543871325248,7.68377126713562,Y,8.161,2.0182e-222
ENSG00000259488,AC023355.1,SAGD_00107,Human,1.24602803210394,0.162234289288312,15,-3.7838,3.3756e-16
ENSG00000165246,NLGN4Y,SAGD_00039,Human,0.00644622764816402,1.9875501134446,Y,8.4206,2.3802e-179
ENSG00000012817,KDM5D,SAGD_00058,Human,0.0350311724697687,14.6245679797257,Y,8.9782,0.0
ENSG00000114374,USP9Y,SAGD_00049,Human,0.00851051921755307,5.23756892472857,Y,9.2241,0.0
ENSG00000012817,KDM5D,SAGD_00055,Human,0.0208666909383421,6.01577445678177,Y,8.188,0.0
ENSG00000012817,KDM5D,SAGD_00042,Human,0.0164092025357031,12.4723832217881,Y,9.4615,0.0
ENSG00000012817,KDM5D,SAGD_00065,Human,0.0229177608957236,6.1294647042628,Y,8.091,1.5109e-301
ENSG00000129824,RPS4Y1,SAGD_00068,Human,0.158614462865371,89.8418357663345,Y,9.2418,0.0
ENSG00000129824,RPS4Y1,SAGD_00070,Human,0.179685458424887,35.5049081597637,Y,7.7012,1.0111e-175
