	model_type	index	variable	value	z_score
718	real	vae_0_two	Keratinocytes_FANTOM_2	-13.21840370260179	-52.06130362162213
1347	real	vae_1_three	Neutrophils_IRIS_1	-2.721579074859619	-42.5442834315354
2086	real	vae_2	Chondrocytes_HPCA_2	-1.3385053724050522	-33.23242883629162
2323	real	vae_2	Neutrophils_HPCA_2	-3.1452177464962006	-25.503706689160854
229	real	vae_0_three	Keratinocytes_FANTOM_2	-5.534262427361682	-24.158082702545077
721	real	vae_0_two	Keratinocytes_HPCA_2	-9.824761059135199	-23.605260294985484
2364	real	vae_2	Skeletal-muscle_FANTOM_1	-17.67260883259587	-23.592104379922567
1826	real	vae_1_two	Neurons_FANTOM_3	-25.61737897573039	-23.106820360977995
1969	real	vae_2	Astrocytes_FANTOM_2	-11.281426258385181	-19.75507158854697
1346	real	vae_1_three	Neutrophils_HPCA_3	-6.120552450418472	-17.82123553339272
13	real	vae_0_three	Astrocytes_FANTOM_2	-5.526542341336608	-17.41537325637089
1341	real	vae_1_three	Neutrophils_FANTOM_1	-4.657619068748318	-17.3035995048391
1827	real	vae_1_two	Neutrophils_BLUEPRINT_1	-1.1716025806963444	-16.60788434655009
1345	real	vae_1_three	Neutrophils_HPCA_2	-4.579254865646362	-16.51472524626802
1645	real	vae_1_two	Epithelial-cells_HPCA_2	-1.0992275848984718	-16.368634080619678
719	real	vae_0_two	Keratinocytes_FANTOM_3	-13.528302675113082	-16.224745249514253
714	real	vae_0_two	Keratinocytes_ENCODE_1	-5.451246626675129	-15.977927459371985
358	real	vae_0_three	Neurons_FANTOM_2	-8.508022223366424	-15.962699110246099
2366	real	vae_2	Skeletal-muscle_FANTOM_3	-16.689404726726934	-15.502627834154197
1825	real	vae_1_two	Neurons_FANTOM_2	-27.514880429487675	-15.283940485255712
2316	real	vae_2	Neutrophils_BLUEPRINT_1	-2.296561226248741	-15.070033204956793
1305	real	vae_1_three	Monocytes_NOVERSHTERN_1	-14.581361033720896	-15.062974968106529
1821	real	vae_1_two	Neurons_ENCODE_1	-4.292802095413208	-15.0414462565583
1199	real	vae_1_three	Hepatocytes_FANTOM_3	-21.310052964137867	-14.880971951445353
1228	real	vae_1_three	MPP_FANTOM_2	-10.850699958391488	-14.244859863499036
1688	real	vae_1_two	Hepatocytes_FANTOM_3	-8.484290039166808	-13.851311289457033
1197	real	vae_1_three	Hepatocytes_FANTOM_1	-22.502137990901247	-13.628831254454337
717	real	vae_0_two	Keratinocytes_FANTOM_1	-16.676028952002525	-13.183201895655767
715	real	vae_0_two	Keratinocytes_ENCODE_2	-3.3794709965586662	-13.044958762403146
1824	real	vae_1_two	Neurons_FANTOM_1	-19.42052166722715	-12.915742126659202
2365	real	vae_2	Skeletal-muscle_FANTOM_2	-16.23618658958003	-12.814944534998485
2324	real	vae_2	Neutrophils_HPCA_3	-4.113584294915199	-12.540026748116327
1716	real	vae_1_two	MPP_FANTOM_1	-4.610401263460517	-12.462108306730808
1344	real	vae_1_three	Neutrophils_HPCA_1	-4.831966996192932	-12.273555524180056
1695	real	vae_1_two	Keratinocytes_FANTOM_1	-12.229116789298132	-12.205540683081463
1697	real	vae_1_two	Keratinocytes_FANTOM_3	-10.196918562985957	-11.978062533253333
