algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
pca	908341	real	0.44	568	22.8632	tcga	30	gph
pca	978124	real	0.42	569	22.8499	tcga	30	gph
vae	165158	real	0.5	710	23.0195	tcga	30	gph
vae	451283	real	0.46	666	18.5029	tcga	30	gph
vae	486191	real	0.46	747	20.6004	tcga	30	gph
vae	908341	real	0.42	713	17.6751	tcga	30	gph
vae	978124	real	0.46	679	19.7093	tcga	30	gph
dae	165158	real	0.9	35	19.6542	tcga	200	gph
dae	451283	real	0.84	81	23.979	tcga	200	gph
dae	486191	real	0.78	857	22.0374	tcga	200	gph
dae	908341	real	0.9	578	25.8211	tcga	200	gph
dae	978124	real	0.86	849	25.3437	tcga	200	gph
ica	165158	real	0.98	1760	25.7027	tcga	200	gph
ica	451283	real	1.0	1521	27.1134	tcga	200	gph
ica	486191	real	0.96	1942	26.9736	tcga	200	gph
ica	908341	real	0.96	1633	27.0318	tcga	200	gph
ica	978124	real	1.0	1624	27.3877	tcga	200	gph
nmf	165158	real	0.86	2455	40.6854	tcga	200	gph
nmf	451283	real	0.88	2456	40.7889	tcga	200	gph
nmf	486191	real	0.82	2457	41.9973	tcga	200	gph
nmf	908341	real	0.84	2458	39.8272	tcga	200	gph
nmf	978124	real	0.9	2459	42.0177	tcga	200	gph
pca	165158	real	0.88	3115	22.8742	tcga	200	gph
pca	451283	real	0.9	3116	22.8742	tcga	200	gph
pca	486191	real	0.94	3117	22.8742	tcga	200	gph
pca	908341	real	0.94	3118	22.8742	tcga	200	gph
pca	978124	real	0.94	3119	22.8742	tcga	200	gph
vae	165158	real	0.8	4245	27.5822	tcga	200	gph
vae	451283	real	0.74	4466	27.2646	tcga	200	gph
vae	486191	real	0.78	4047	21.9171	tcga	200	gph
vae	908341	real	0.76	4648	25.4738	tcga	200	gph
vae	978124	real	0.78	4914	30.4368	tcga	200	gph
dae	165158	real	0.08	15	16.9152	tcga	10	gph
dae	451283	real	0.2	21	16.3548	tcga	10	gph
dae	486191	real	0.2	17	19.4126	tcga	10	gph
dae	908341	real	0.18	28	17.3643	tcga	10	gph
dae	978124	real	0.12	4	16.2373	tcga	10	gph
ica	165158	real	0.28	85	25.7773	tcga	10	gph
ica	451283	real	0.28	71	25.8026	tcga	10	gph
ica	486191	real	0.28	87	25.8369	tcga	10	gph
ica	908341	real	0.28	53	25.494	tcga	10	gph
ica	978124	real	0.28	89	25.7957	tcga	10	gph
nmf	165158	real	0.2	100	29.549	tcga	10	gph
nmf	451283	real	0.2	101	29.5493	tcga	10	gph
nmf	486191	real	0.2	102	29.5487	tcga	10	gph
nmf	908341	real	0.2	103	29.549	tcga	10	gph
nmf	978124	real	0.2	104	29.5491	tcga	10	gph
pca	165158	real	0.2	150	19.6918	tcga	10	gph
pca	451283	real	0.2	151	19.6918	tcga	10	gph
pca	486191	real	0.2	152	19.6918	tcga	10	gph
pca	908341	real	0.2	153	19.6918	tcga	10	gph
pca	978124	real	0.2	154	19.6918	tcga	10	gph
vae	165158	real	0.24	235	18.1232	tcga	10	gph
vae	451283	real	0.26	206	16.0686	tcga	10	gph
vae	486191	real	0.24	222	17.6282	tcga	10	gph
vae	908341	real	0.28	228	17.5155	tcga	10	gph
vae	978124	real	0.24	204	17.2573	tcga	10	gph
dae	165158	real	0.16	5	18.9625	tcga	14	gph
dae	451283	real	0.22	61	17.692	tcga	14	gph
dae	486191	real	0.1	52	19.1925	tcga	14	gph
dae	908341	real	0.2	13	27.9085	tcga	14	gph
dae	978124	real	0.18	64	19.5185	tcga	14	gph
