algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.46830265848670755	711	46.3626	target	150	gpxcell
ica	real	0.5296523517382413	891	52.0179	target	150	gpxcell
nmf	real	0.2065439672801636	1555	63.8255	target	150	gpxcell
pca	real	0.5378323108384458	2250	23.322	target	150	gpxcell
vae	real	0.3946830265848671	3666	37.8032	target	150	gpxcell
dae	real	0.3169734151329243	79	30.1443	target	80	gpxcell
ica	real	0.35787321063394684	682	53.5924	target	80	gpxcell
nmf	real	0.17586912065439672	960	51.2278	target	80	gpxcell
pca	real	0.3803680981595092	1200	23.322	target	80	gpxcell
vae	real	0.3496932515337423	1889	46.475	target	80	gpxcell
dae	real	0.081799591002045	16	30.9067	target	14	gpxcell
ica	real	0.07975460122699386	97	25.6046	target	14	gpxcell
nmf	real	0.034764826175869123	154	22.2612	target	14	gpxcell
pca	real	0.05112474437627812	210	23.322	target	14	gpxcell
vae	real	0.10020449897750511	288	39.8204	target	14	gpxcell
dae	real	0.17791411042944785	95	28.5464	target	35	gpxcell
ica	real	0.17177914110429449	310	36.1814	target	35	gpxcell
nmf	real	0.08997955010224949	511	44.8532	target	35	gpxcell
pca	real	0.12065439672801637	525	23.322	target	35	gpxcell
vae	real	0.19427402862985685	754	38.0619	target	35	gpxcell
dae	real	0.02044989775051125	3	28.1515	target	3	gpxcell
ica	real	0.012269938650306749	28	26.311	target	3	gpxcell
nmf	real	0.0081799591002045	41	19.3451	target	3	gpxcell
pca	real	0.012269938650306749	45	23.322	target	3	gpxcell
vae	real	0.02044989775051125	70	36.2569	target	3	gpxcell
dae	real	0.41922290388548056	207	44.0437	target	125	gpxcell
ica	real	0.5112474437627812	752	55.4116	target	125	gpxcell
nmf	real	0.19222903885480572	1306	53.9652	target	125	gpxcell
pca	real	0.5071574642126789	1875	23.322	target	125	gpxcell
vae	real	0.3558282208588957	2752	52.2363	target	125	gpxcell
dae	real	0.04294478527607362	2	31.5058	target	7	gpxcell
ica	real	0.032719836400818	38	25.8411	target	7	gpxcell
nmf	real	0.018404907975460124	73	17.6931	target	7	gpxcell
pca	real	0.028629856850715747	105	23.322	target	7	gpxcell
vae	real	0.06339468302658487	165	33.8848	target	7	gpxcell
dae	real	0.08588957055214724	76	35.3471	target	16	gpxcell
ica	real	0.0736196319018405	155	25.1989	target	16	gpxcell
nmf	real	0.03680981595092025	236	24.6812	target	16	gpxcell
pca	real	0.05930470347648262	240	23.322	target	16	gpxcell
vae	real	0.09611451942740286	396	30.5024	target	16	gpxcell
dae	real	0.03885480572597137	18	32.8307	target	9	gpxcell
ica	real	0.044989775051124746	74	22.4783	target	9	gpxcell
nmf	real	0.026584867075664622	102	21.2496	target	9	gpxcell
pca	real	0.034764826175869123	135	23.322	target	9	gpxcell
vae	real	0.065439672801636	207	37.7563	target	9	gpxcell
dae	real	0.1738241308793456	35	29.3361	target	40	gpxcell
ica	real	0.2249488752556237	395	43.9305	target	40	gpxcell
nmf	real	0.10429447852760736	562	47.2144	target	40	gpxcell
pca	real	0.13701431492842536	600	23.322	target	40	gpxcell
vae	real	0.21881390593047034	974	37.7811	target	40	gpxcell
dae	real	0.14314928425357873	1	29.8788	target	30	gpxcell
ica	real	0.1554192229038855	288	38.1066	target	30	gpxcell
nmf	real	0.07770961145194274	436	51.4917	target	30	gpxcell
pca	real	0.10020449897750511	450	23.322	target	30	gpxcell
vae	real	0.17791411042944785	690	51.9533	target	30	gpxcell
dae	real	0.09611451942740286	56	27.7308	target	18	gpxcell
ica	real	0.07157464212678936	135	45.28	target	18	gpxcell
nmf	real	0.044989775051124746	255	30.3767	target	18	gpxcell
pca	real	0.065439672801636	270	23.322	target	18	gpxcell
vae	real	0.12678936605316973	438	32.7459	target	18	gpxcell
dae	real	0.1329243353783231	57	29.2672	target	25	gpxcell
ica	real	0.08997955010224949	244	32.9256	target	25	gpxcell
nmf	real	0.06748466257668712	353	36.5264	target	25	gpxcell
