algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
dae	165158	real	0.002967359050445104	5	18.3144	tcga	3	gpc2cpreactome
dae	451283	real	0.005934718100890208	1	19.2461	tcga	3	gpc2cpreactome
dae	486191	real	0.005934718100890208	7	18.8695	tcga	3	gpc2cpreactome
dae	908341	real	0.00741839762611276	13	18.8243	tcga	3	gpc2cpreactome
dae	978124	real	0.002967359050445104	14	18.7384	tcga	3	gpc2cpreactome
ica	165158	real	0.008902077151335312	20	21.3631	tcga	3	gpc2cpreactome
ica	451283	real	0.008902077151335312	16	21.2997	tcga	3	gpc2cpreactome
ica	486191	real	0.008902077151335312	27	21.2933	tcga	3	gpc2cpreactome
ica	908341	real	0.008902077151335312	28	21.3255	tcga	3	gpc2cpreactome
ica	978124	real	0.008902077151335312	29	21.1805	tcga	3	gpc2cpreactome
nmf	165158	real	0.00741839762611276	40	47.4827	tcga	3	gpc2cpreactome
nmf	451283	real	0.00741839762611276	41	47.4828	tcga	3	gpc2cpreactome
nmf	486191	real	0.00741839762611276	42	47.4827	tcga	3	gpc2cpreactome
nmf	908341	real	0.00741839762611276	43	47.4826	tcga	3	gpc2cpreactome
nmf	978124	real	0.00741839762611276	44	47.4827	tcga	3	gpc2cpreactome
pca	165158	real	0.008902077151335312	55	21.8808	tcga	3	gpc2cpreactome
pca	451283	real	0.008902077151335312	56	21.8807	tcga	3	gpc2cpreactome
pca	486191	real	0.008902077151335312	57	21.8807	tcga	3	gpc2cpreactome
pca	908341	real	0.008902077151335312	58	21.8808	tcga	3	gpc2cpreactome
pca	978124	real	0.008902077151335312	59	21.8808	tcga	3	gpc2cpreactome
vae	165158	real	0.00741839762611276	60	23.0149	tcga	3	gpc2cpreactome
vae	451283	real	0.008902077151335312	61	27.9969	tcga	3	gpc2cpreactome
vae	486191	real	0.00741839762611276	67	24.4953	tcga	3	gpc2cpreactome
vae	908341	real	0.008902077151335312	68	23.7577	tcga	3	gpc2cpreactome
vae	978124	real	0.008902077151335312	69	24.2357	tcga	3	gpc2cpreactome
dae	165158	real	0.017804154302670624	20	24.7026	tcga	12	gpc2cpreactome
dae	451283	real	0.01483679525222552	41	22.5282	tcga	12	gpc2cpreactome
dae	486191	real	0.008902077151335312	52	18.958	tcga	12	gpc2cpreactome
dae	908341	real	0.008902077151335312	43	21.8637	tcga	12	gpc2cpreactome
dae	978124	real	0.010385756676557863	59	29.5639	tcga	12	gpc2cpreactome
ica	165158	real	0.032640949554896145	65	31.4596	tcga	12	gpc2cpreactome
ica	451283	real	0.03115727002967359	91	31.5131	tcga	12	gpc2cpreactome
ica	486191	real	0.032640949554896145	87	31.3891	tcga	12	gpc2cpreactome
ica	908341	real	0.032640949554896145	78	31.3944	tcga	12	gpc2cpreactome
ica	978124	real	0.032640949554896145	89	32.0237	tcga	12	gpc2cpreactome
nmf	165158	real	0.019287833827893175	130	40.8936	tcga	12	gpc2cpreactome
nmf	451283	real	0.019287833827893175	131	40.8928	tcga	12	gpc2cpreactome
nmf	486191	real	0.019287833827893175	132	40.8918	tcga	12	gpc2cpreactome
nmf	908341	real	0.019287833827893175	133	40.8922	tcga	12	gpc2cpreactome
nmf	978124	real	0.019287833827893175	134	40.8909	tcga	12	gpc2cpreactome
pca	165158	real	0.025222551928783383	230	22.1968	tcga	12	gpc2cpreactome
pca	451283	real	0.025222551928783383	231	22.225	tcga	12	gpc2cpreactome
pca	486191	real	0.025222551928783383	232	22.2148	tcga	12	gpc2cpreactome
pca	908341	real	0.025222551928783383	233	22.2102	tcga	12	gpc2cpreactome
pca	978124	real	0.025222551928783383	234	22.2032	tcga	12	gpc2cpreactome
vae	165158	real	0.03115727002967359	240	30.5768	tcga	12	gpc2cpreactome
vae	451283	real	0.032640949554896145	241	28.3075	tcga	12	gpc2cpreactome
vae	486191	real	0.032640949554896145	242	26.1117	tcga	12	gpc2cpreactome
vae	908341	real	0.03115727002967359	283	28.3382	tcga	12	gpc2cpreactome
vae	978124	real	0.02225519287833828	264	24.9688	tcga	12	gpc2cpreactome
dae	165158	real	0.03412462908011869	40	30.5142	tcga	35	gpc2cpreactome
dae	451283	real	0.032640949554896145	31	29.3787	tcga	35	gpc2cpreactome
dae	486191	real	0.03412462908011869	17	35.1025	tcga	35	gpc2cpreactome
dae	908341	real	0.028189910979228485	58	24.1102	tcga	35	gpc2cpreactome
dae	978124	real	0.04154302670623145	39	26.8131	tcga	35	gpc2cpreactome
ica	165158	real	0.06973293768545995	200	41.3966	tcga	35	gpc2cpreactome
ica	451283	real	0.07270029673590504	336	44.263999999999996	tcga	35	gpc2cpreactome
ica	486191	real	0.0712166172106825	222	44.0047	tcga	35	gpc2cpreactome
ica	908341	real	0.06973293768545995	283	46.2766	tcga	35	gpc2cpreactome
ica	978124	real	0.06824925816023739	294	45.0585	tcga	35	gpc2cpreactome
nmf	165158	real	0.03857566765578635	430	74.3359	tcga	35	gpc2cpreactome
nmf	451283	real	0.04154302670623145	431	73.9107	tcga	35	gpc2cpreactome
nmf	486191	real	0.040059347181008904	432	73.1549	tcga	35	gpc2cpreactome
nmf	908341	real	0.03857566765578635	433	74.4135	tcga	35	gpc2cpreactome
nmf	978124	real	0.040059347181008904	434	74.2274	tcga	35	gpc2cpreactome
pca	165158	real	0.06379821958456973	610	23.7972	tcga	35	gpc2cpreactome
pca	451283	real	0.06528189910979229	611	23.7951	tcga	35	gpc2cpreactome
pca	486191	real	0.06528189910979229	612	23.7929	tcga	35	gpc2cpreactome
pca	908341	real	0.06528189910979229	613	23.7975	tcga	35	gpc2cpreactome
pca	978124	real	0.06379821958456973	614	23.7999	tcga	35	gpc2cpreactome
vae	165158	real	0.06231454005934718	835	30.1707	tcga	35	gpc2cpreactome
vae	451283	real	0.06083086053412463	751	28.5267	tcga	35	gpc2cpreactome
vae	486191	real	0.06973293768545995	802	28.9219	tcga	35	gpc2cpreactome
vae	908341	real	0.057863501483679525	863	22.9942	tcga	35	gpc2cpreactome
vae	978124	real	0.06083086053412463	739	32.260999999999996	tcga	35	gpc2cpreactome
dae	165158	real	0.02225519287833828	65	25.0137	tcga	18	gpc2cpreactome
dae	451283	real	0.026706231454005934	6	28.1812	tcga	18	gpc2cpreactome
dae	486191	real	0.02373887240356083	57	26.5434	tcga	18	gpc2cpreactome
dae	908341	real	0.020771513353115726	3	25.9785	tcga	18	gpc2cpreactome
dae	978124	real	0.026706231454005934	4	32.9841	tcga	18	gpc2cpreactome
ica	165158	real	0.040059347181008904	135	30.5177	tcga	18	gpc2cpreactome
ica	451283	real	0.040059347181008904	176	30.9424	tcga	18	gpc2cpreactome
ica	486191	real	0.040059347181008904	157	30.4371	tcga	18	gpc2cpreactome
ica	908341	real	0.040059347181008904	168	30.9721	tcga	18	gpc2cpreactome
ica	978124	real	0.040059347181008904	149	31.1794	tcga	18	gpc2cpreactome
nmf	165158	real	0.025222551928783383	190	33.431	tcga	18	gpc2cpreactome
nmf	451283	real	0.025222551928783383	191	33.436	tcga	18	gpc2cpreactome
nmf	486191	real	0.025222551928783383	192	33.4631	tcga	18	gpc2cpreactome
nmf	908341	real	0.025222551928783383	193	33.4075	tcga	18	gpc2cpreactome
nmf	978124	real	0.025222551928783383	194	33.4332	tcga	18	gpc2cpreactome
pca	165158	real	0.032640949554896145	355	24.5618	tcga	18	gpc2cpreactome
pca	451283	real	0.032640949554896145	356	23.9579	tcga	18	gpc2cpreactome
pca	486191	real	0.032640949554896145	357	23.4559	tcga	18	gpc2cpreactome
pca	908341	real	0.032640949554896145	358	23.8844	tcga	18	gpc2cpreactome
pca	978124	real	0.032640949554896145	359	23.9612	tcga	18	gpc2cpreactome
vae	165158	real	0.03857566765578635	390	31.6913	tcga	18	gpc2cpreactome
vae	451283	real	0.03560830860534125	416	30.0969	tcga	18	gpc2cpreactome
vae	486191	real	0.04599406528189911	442	27.8896	tcga	18	gpc2cpreactome
vae	908341	real	0.04302670623145401	418	27.9877	tcga	18	gpc2cpreactome
vae	978124	real	0.040059347181008904	449	26.1114	tcga	18	gpc2cpreactome
dae	165158	real	0.010385756676557863	20	26.5706	tcga	8	gpc2cpreactome
dae	451283	real	0.013353115727002967	31	23.142	tcga	8	gpc2cpreactome
dae	486191	real	0.010385756676557863	32	27.9727	tcga	8	gpc2cpreactome
dae	908341	real	0.008902077151335312	3	18.887	tcga	8	gpc2cpreactome
dae	978124	real	0.01483679525222552	39	25.5602	tcga	8	gpc2cpreactome
ica	165158	real	0.020771513353115726	55	25.7359	tcga	8	gpc2cpreactome
ica	451283	real	0.020771513353115726	61	26.8021	tcga	8	gpc2cpreactome
ica	486191	real	0.020771513353115726	47	25.0744	tcga	8	gpc2cpreactome
ica	908341	real	0.019287833827893175	43	30.026	tcga	8	gpc2cpreactome
ica	978124	real	0.019287833827893175	74	24.1095	tcga	8	gpc2cpreactome
nmf	165158	real	0.013353115727002967	90	40.9616	tcga	8	gpc2cpreactome
nmf	451283	real	0.013353115727002967	91	40.9618	tcga	8	gpc2cpreactome
nmf	486191	real	0.013353115727002967	92	40.9613	tcga	8	gpc2cpreactome
nmf	908341	real	0.013353115727002967	93	40.9619	tcga	8	gpc2cpreactome
nmf	978124	real	0.013353115727002967	94	40.9609	tcga	8	gpc2cpreactome
pca	165158	real	0.019287833827893175	130	21.8807	tcga	8	gpc2cpreactome
pca	451283	real	0.019287833827893175	131	21.8807	tcga	8	gpc2cpreactome
pca	486191	real	0.019287833827893175	132	21.8807	tcga	8	gpc2cpreactome
pca	908341	real	0.019287833827893175	133	21.8807	tcga	8	gpc2cpreactome
pca	978124	real	0.019287833827893175	134	21.8807	tcga	8	gpc2cpreactome
vae	165158	real	0.02225519287833828	190	28.3929	tcga	8	gpc2cpreactome
vae	451283	real	0.02225519287833828	171	34.2628	tcga	8	gpc2cpreactome
vae	486191	real	0.020771513353115726	177	24.6965	tcga	8	gpc2cpreactome
vae	908341	real	0.02373887240356083	163	30.0888	tcga	8	gpc2cpreactome
vae	978124	real	0.02225519287833828	194	25.4438	tcga	8	gpc2cpreactome
dae	165158	real	0.026706231454005934	10	26.043000000000003	tcga	20	gpc2cpreactome
dae	451283	real	0.017804154302670624	1	29.0317	tcga	20	gpc2cpreactome
dae	486191	real	0.020771513353115726	42	26.0667	tcga	20	gpc2cpreactome
dae	908341	real	0.016320474777448073	78	23.169	tcga	20	gpc2cpreactome
dae	978124	real	0.02373887240356083	44	19.5478	tcga	20	gpc2cpreactome
ica	165158	real	0.04599406528189911	125	40.8801	tcga	20	gpc2cpreactome
ica	451283	real	0.04599406528189911	131	41.0676	tcga	20	gpc2cpreactome
ica	486191	real	0.04896142433234421	177	39.3524	tcga	20	gpc2cpreactome
ica	908341	real	0.04747774480712166	123	40.1926	tcga	20	gpc2cpreactome
ica	978124	real	0.04896142433234421	179	39.6604	tcga	20	gpc2cpreactome
nmf	165158	real	0.026706231454005934	280	35.126999999999995	tcga	20	gpc2cpreactome
nmf	451283	real	0.025222551928783383	281	34.8534	tcga	20	gpc2cpreactome
nmf	486191	real	0.025222551928783383	282	35.0442	tcga	20	gpc2cpreactome
nmf	908341	real	0.025222551928783383	283	34.7479	tcga	20	gpc2cpreactome
nmf	978124	real	0.025222551928783383	284	34.5334	tcga	20	gpc2cpreactome
pca	165158	real	0.03412462908011869	385	24.1256	tcga	20	gpc2cpreactome
pca	451283	real	0.03412462908011869	386	23.4032	tcga	20	gpc2cpreactome
pca	486191	real	0.03412462908011869	387	23.9568	tcga	20	gpc2cpreactome
pca	908341	real	0.03412462908011869	388	23.5529	tcga	20	gpc2cpreactome
pca	978124	real	0.03412462908011869	389	23.6824	tcga	20	gpc2cpreactome
vae	165158	real	0.04451038575667656	475	32.1061	tcga	20	gpc2cpreactome
vae	451283	real	0.04747774480712166	436	24.1458	tcga	20	gpc2cpreactome
vae	486191	real	0.04451038575667656	462	26.6102	tcga	20	gpc2cpreactome
vae	908341	real	0.04154302670623145	473	30.9686	tcga	20	gpc2cpreactome
vae	978124	real	0.03857566765578635	459	32.2429	tcga	20	gpc2cpreactome
dae	165158	real	0.008902077151335312	0	24.2319	tcga	9	gpc2cpreactome
dae	451283	real	0.013353115727002967	21	23.2601	tcga	9	gpc2cpreactome
dae	486191	real	0.008902077151335312	27	19.0048	tcga	9	gpc2cpreactome
dae	908341	real	0.011869436201780416	33	30.5267	tcga	9	gpc2cpreactome
dae	978124	real	0.013353115727002967	44	23.0338	tcga	9	gpc2cpreactome
ica	165158	real	0.02225519287833828	65	25.5455	tcga	9	gpc2cpreactome
ica	451283	real	0.02225519287833828	66	45.7095	tcga	9	gpc2cpreactome
ica	486191	real	0.02225519287833828	57	45.6204	tcga	9	gpc2cpreactome
ica	908341	real	0.02373887240356083	48	26.8839	tcga	9	gpc2cpreactome
ica	978124	real	0.02225519287833828	49	25.6859	tcga	9	gpc2cpreactome
nmf	165158	real	0.013353115727002967	100	34.4585	tcga	9	gpc2cpreactome
nmf	451283	real	0.013353115727002967	101	34.4578	tcga	9	gpc2cpreactome
nmf	486191	real	0.013353115727002967	102	34.4583	tcga	9	gpc2cpreactome
nmf	908341	real	0.013353115727002967	103	34.4579	tcga	9	gpc2cpreactome
nmf	978124	real	0.013353115727002967	104	34.4583	tcga	9	gpc2cpreactome
pca	165158	real	0.020771513353115726	145	21.8807	tcga	9	gpc2cpreactome
pca	451283	real	0.020771513353115726	146	21.8807	tcga	9	gpc2cpreactome
pca	486191	real	0.020771513353115726	147	21.8807	tcga	9	gpc2cpreactome
pca	908341	real	0.020771513353115726	148	21.8807	tcga	9	gpc2cpreactome
pca	978124	real	0.020771513353115726	149	21.8807	tcga	9	gpc2cpreactome
vae	165158	real	0.02373887240356083	190	19.3773	tcga	9	gpc2cpreactome
vae	451283	real	0.02373887240356083	191	26.2084	tcga	9	gpc2cpreactome
vae	486191	real	0.02373887240356083	207	23.4905	tcga	9	gpc2cpreactome
vae	908341	real	0.025222551928783383	193	22.2395	tcga	9	gpc2cpreactome
vae	978124	real	0.02373887240356083	214	41.2917	tcga	9	gpc2cpreactome
dae	165158	real	0.025222551928783383	45	45.1121	tcga	25	gpc2cpreactome
dae	451283	real	0.032640949554896145	86	24.0891	tcga	25	gpc2cpreactome
dae	486191	real	0.02373887240356083	17	21.7952	tcga	25	gpc2cpreactome
dae	908341	real	0.026706231454005934	38	23.7269	tcga	25	gpc2cpreactome
dae	978124	real	0.026706231454005934	99	28.5429	tcga	25	gpc2cpreactome
ica	165158	real	0.05489614243323442	175	32.9852	tcga	25	gpc2cpreactome
