model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.12065439672801637	47.2633	tcga	7	gpxcell
real	0.22699386503067484	64.3619	tcga	25	gpxcell
real	0.03885480572597137	42.1303	tcga	2	gpxcell
real	0.5071574642126789	54.3832	tcga	70	gpxcell
real	0.08384458077709611	45.8618	tcga	6	gpxcell
real	0.16155419222903886	52.1886	tcga	14	gpxcell
real	0.8179959100204499	inf	tcga	200	gpxcell
real	0.6748466257668712	64.3631	tcga	125	gpxcell
real	0.12474437627811862	46.4451	tcga	8	gpxcell
real	0.3374233128834356	65.6563	tcga	40	gpxcell
real	0.12269938650306748	52.9968	tcga	9	gpxcell
real	0.1656441717791411	59.2437	tcga	16	gpxcell
real	0.7402862985685071	416.915	tcga	150	gpxcell
real	0.28016359918200406	62.1085	tcga	30	gpxcell
real	0.4233128834355828	57.8991	tcga	60	gpxcell
real	0.04294478527607362	45.4589	tcga	3	gpxcell
real	0.3169734151329243	58.1917	tcga	35	gpxcell
real	0.20040899795501022	57.1089	tcga	20	gpxcell
real	0.17791411042944785	84.0653	tcga	18	gpxcell
real	0.065439672801636	52.5777	tcga	5	gpxcell
real	0.40286298568507156	50.4369	tcga	45	gpxcell
real	0.130879345603272	61.0278	tcga	10	gpxcell
real	0.1492842535787321	45.9869	tcga	12	gpxcell
real	0.3987730061349693	64.3148	tcga	50	gpxcell
real	0.5378323108384458	57.6887	tcga	80	gpxcell
real	0.5685071574642127	55.8814	tcga	90	gpxcell
real	0.6053169734151329	81.9967	tcga	100	gpxcell
real	0.049079754601226995	47.3074	tcga	4	gpxcell
