algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.28	14	18.719	tcga	8	gph
ica	real	0.28	65	34.8593	tcga	8	gph
nmf	real	0.16	84	30.6674	tcga	8	gph
pca	real	0.18	120	19.6918	tcga	8	gph
vae	real	0.44	168	22.5394	tcga	8	gph
dae	real	0.44	81	27.9276	tcga	18	gph
ica	real	0.4	134	25.4906	tcga	18	gph
nmf	real	0.34	261	28.4225	tcga	18	gph
pca	real	0.32	271	19.6918	tcga	18	gph
vae	real	0.6	415	21.732	tcga	18	gph
dae	real	0.9	198	27.2551	tcga	100	gph
ica	real	0.94	649	35.7466	tcga	100	gph
nmf	real	0.8	1457	39.62	tcga	100	gph
pca	real	0.84	1619	22.8742	tcga	100	gph
vae	real	0.86	2100	32.1241	tcga	100	gph
dae	real	0.32	55	18.5055	tcga	12	gph
ica	real	0.26	71	31.2866	tcga	12	gph
nmf	real	0.26	122	30.3398	tcga	12	gph
pca	real	0.24	184	19.6918	tcga	12	gph
vae	real	0.5	297	22.3663	tcga	12	gph
dae	real	0.48	8	25.9262	tcga	35	gph
ica	real	0.62	316	29.1989	tcga	35	gph
nmf	real	0.46	432	38.8983	tcga	35	gph
pca	real	0.5	644	22.9033	tcga	35	gph
vae	real	0.72	723	43.1917	tcga	35	gph
dae	real	0.1	12	17.2913	tcga	3	gph
ica	real	0.08	25	34.6416	tcga	3	gph
nmf	real	0.1	31	18.8417	tcga	3	gph
pca	real	0.08	49	19.6918	tcga	3	gph
vae	real	0.1	65	25.9735	tcga	3	gph
dae	real	0.08	3	18.4987	tcga	2	gph
ica	real	0.08	11	20.9702	tcga	2	gph
nmf	real	0.08	24	24.0482	tcga	2	gph
pca	real	0.06	34	19.6918	tcga	2	gph
vae	real	0.08	46	29.6394	tcga	2	gph
dae	real	0.18	23	16.7423	tcga	5	gph
ica	real	0.2	43	26.8049	tcga	5	gph
nmf	real	0.14	57	29.0307	tcga	5	gph
pca	real	0.14	79	19.6918	tcga	5	gph
vae	real	0.28	119	23.9071	tcga	5	gph
dae	real	0.48	11	26.8494	tcga	30	gph
ica	real	0.64	274	29.8467	tcga	30	gph
nmf	real	0.48	382	37.1463	tcga	30	gph
pca	real	0.48	566	23.0853	tcga	30	gph
vae	real	0.72	710	23.0195	tcga	30	gph
dae	real	1.0	578	25.8211	tcga	200	gph
ica	real	1.0	1624	27.3877	tcga	200	gph
nmf	real	0.92	2459	42.0177	tcga	200	gph
pca	real	0.94	3117	22.8742	tcga	200	gph
vae	real	1.0	4914	30.4368	tcga	200	gph
