algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	signal	geneset_name
nmf	85250	real	0.5079365079365079	2321	74.3837	tcga	90	signal	gpc6
nmf	139484	real	0.49206349206349204	2152	66.8833	tcga	90	signal	gpc6
nmf	184896	real	0.5026455026455027	2103	58.2004	tcga	90	signal	gpc6
nmf	332369	real	0.4497354497354497	2324	71.1873	tcga	90	signal	gpc6
nmf	359448	real	0.48148148148148145	2325	97.9019	tcga	90	signal	gpc6
nmf	372884	real	0.5343915343915344	2106	65.8235	tcga	90	signal	gpc6
nmf	488159	real	0.48677248677248675	1817	71.7074	tcga	90	signal	gpc6
nmf	515192	real	0.49206349206349204	2388	55.1677	tcga	90	signal	gpc6
nmf	890823	real	0.455026455026455	1819	61.0834	tcga	90	signal	gpc6
pca	21601	real	0.5026455026455027	2700	31.6713	tcga	90	signal	gpc6
pca	85250	real	0.5026455026455027	2701	31.6713	tcga	90	signal	gpc6
pca	139484	real	0.5079365079365079	3492	37.0098	tcga	90	signal	gpc6
pca	184896	real	0.5079365079365079	3493	69.5894	tcga	90	signal	gpc6
pca	332369	real	0.48677248677248675	3574	33.8704	tcga	90	signal	gpc6
pca	359448	real	0.5079365079365079	3495	65.15	tcga	90	signal	gpc6
pca	372884	real	0.5132275132275133	3496	89.4112	tcga	90	signal	gpc6
pca	488159	real	0.5079365079365079	2707	31.6713	tcga	90	signal	gpc6
pca	515192	real	0.48677248677248675	2708	31.6713	tcga	90	signal	gpc6
pca	890823	real	0.5026455026455027	2709	31.6713	tcga	90	signal	gpc6
vae	21601	real	0.48677248677248675	4250	37.8431	tcga	90	signal	gpc6
vae	85250	real	0.455026455026455	4251	47.1787	tcga	90	signal	gpc6
vae	139484	real	0.455026455026455	4252	29.1006	tcga	90	signal	gpc6
vae	184896	real	0.48148148148148145	3973	27.02	tcga	90	signal	gpc6
vae	332369	real	0.47619047619047616	4294	28.9591	tcga	90	signal	gpc6
vae	359448	real	0.4708994708994709	4285	39.537	tcga	90	signal	gpc6
vae	372884	real	0.42328042328042326	3836	89.4958	tcga	90	signal	gpc6
vae	488159	real	0.43386243386243384	4477	34.047	tcga	90	signal	gpc6
vae	515192	real	0.4708994708994709	3718	51.953	tcga	90	signal	gpc6
vae	890823	real	0.4708994708994709	4199	29.4281	tcga	90	signal	gpc6
dae	96046	real	0.037037037037037035	10	23.0069	tcga	6	signal	gpc6
dae	220247	real	0.042328042328042326	16	27.494	tcga	6	signal	gpc6
dae	471836	real	0.021164021164021163	27	35.5117	tcga	6	signal	gpc6
dae	687266	real	0.021164021164021163	8	33.2328	tcga	6	signal	gpc6
dae	845138	real	0.037037037037037035	19	27.2063	tcga	6	signal	gpc6
ica	96046	real	0.06349206349206349	45	33.8225	tcga	6	signal	gpc6
ica	220247	real	0.06349206349206349	31	34.0323	tcga	6	signal	gpc6
ica	471836	real	0.06349206349206349	37	34.0582	tcga	6	signal	gpc6
ica	687266	real	0.06349206349206349	48	33.9792	tcga	6	signal	gpc6
ica	845138	real	0.06349206349206349	49	33.9362	tcga	6	signal	gpc6
nmf	96046	real	0.0582010582010582	70	39.7386	tcga	6	signal	gpc6
nmf	220247	real	0.0582010582010582	71	39.7397	tcga	6	signal	gpc6
nmf	471836	real	0.0582010582010582	72	39.74	tcga	6	signal	gpc6
nmf	687266	real	0.0582010582010582	73	39.7396	tcga	6	signal	gpc6
nmf	845138	real	0.0582010582010582	74	39.7388	tcga	6	signal	gpc6
pca	96046	real	0.0582010582010582	90	31.6713	tcga	6	signal	gpc6
pca	220247	real	0.0582010582010582	91	31.6713	tcga	6	signal	gpc6
pca	471836	real	0.0582010582010582	92	31.6713	tcga	6	signal	gpc6
pca	687266	real	0.0582010582010582	93	31.6713	tcga	6	signal	gpc6
pca	845138	real	0.0582010582010582	94	31.6713	tcga	6	signal	gpc6
vae	96046	real	0.042328042328042326	135	40.2718	tcga	6	signal	gpc6
vae	220247	real	0.042328042328042326	126	19.4971	tcga	6	signal	gpc6
vae	471836	real	0.047619047619047616	142	37.6814	tcga	6	signal	gpc6
vae	687266	real	0.0582010582010582	138	27.9812	tcga	6	signal	gpc6
vae	845138	real	0.0582010582010582	139	22.0987	tcga	6	signal	gpc6
dae	1334	real	0.047619047619047616	20	28.3994	tcga	14	signal	gpc6
dae	122593	real	0.06349206349206349	11	45.4116	tcga	14	signal	gpc6
dae	361715	real	0.037037037037037035	22	36.7118	tcga	14	signal	gpc6
dae	369373	real	0.037037037037037035	73	39.2131	tcga	14	signal	gpc6
dae	412277	real	0.06349206349206349	114	43.5736	tcga	14	signal	gpc6
