algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.011869436201780416	1	19.2461	tcga	3	gpc2cpreactome
ica	real	0.010385756676557863	20	21.3631	tcga	3	gpc2cpreactome
nmf	real	0.00741839762611276	41	47.4828	tcga	3	gpc2cpreactome
pca	real	0.008902077151335312	59	21.8808	tcga	3	gpc2cpreactome
vae	real	0.011869436201780416	61	27.9969	tcga	3	gpc2cpreactome
dae	real	0.032640949554896145	59	29.5639	tcga	12	gpc2cpreactome
ica	real	0.03560830860534125	89	32.0237	tcga	12	gpc2cpreactome
nmf	real	0.019287833827893175	130	40.8936	tcga	12	gpc2cpreactome
pca	real	0.025222551928783383	231	22.225	tcga	12	gpc2cpreactome
vae	real	0.07566765578635015	240	30.5768	tcga	12	gpc2cpreactome
dae	real	0.09347181008902077	17	35.1025	tcga	35	gpc2cpreactome
ica	real	0.1142433234421365	283	46.2766	tcga	35	gpc2cpreactome
nmf	real	0.04896142433234421	433	74.4135	tcga	35	gpc2cpreactome
pca	real	0.07270029673590504	614	23.7999	tcga	35	gpc2cpreactome
vae	real	0.1572700296735905	739	32.260999999999996	tcga	35	gpc2cpreactome
dae	real	0.05934718100890208	4	32.9841	tcga	18	gpc2cpreactome
ica	real	0.04154302670623145	149	31.1794	tcga	18	gpc2cpreactome
nmf	real	0.025222551928783383	192	33.4631	tcga	18	gpc2cpreactome
pca	real	0.032640949554896145	355	24.5618	tcga	18	gpc2cpreactome
vae	real	0.1083086053412463	390	31.6913	tcga	18	gpc2cpreactome
dae	real	0.026706231454005934	32	27.9727	tcga	8	gpc2cpreactome
ica	real	0.032640949554896145	43	30.026	tcga	8	gpc2cpreactome
nmf	real	0.013353115727002967	93	40.9619	tcga	8	gpc2cpreactome
pca	real	0.019287833827893175	130	21.8807	tcga	8	gpc2cpreactome
vae	real	0.06528189910979229	171	34.2628	tcga	8	gpc2cpreactome
dae	real	0.05637982195845697	1	29.0317	tcga	20	gpc2cpreactome
ica	real	0.06528189910979229	131	41.0676	tcga	20	gpc2cpreactome
nmf	real	0.026706231454005934	280	35.126999999999995	tcga	20	gpc2cpreactome
pca	real	0.03412462908011869	385	24.1256	tcga	20	gpc2cpreactome
vae	real	0.1083086053412463	459	32.2429	tcga	20	gpc2cpreactome
dae	real	0.025222551928783383	33	30.5267	tcga	9	gpc2cpreactome
ica	real	0.028189910979228485	66	45.7095	tcga	9	gpc2cpreactome
nmf	real	0.013353115727002967	100	34.4585	tcga	9	gpc2cpreactome
pca	real	0.020771513353115726	146	21.8807	tcga	9	gpc2cpreactome
vae	real	0.06528189910979229	214	41.2917	tcga	9	gpc2cpreactome
dae	real	0.07418397626112759	45	45.1121	tcga	25	gpc2cpreactome
ica	real	0.08456973293768547	231	45.7063	tcga	25	gpc2cpreactome
nmf	real	0.03115727002967359	331	63.4455	tcga	25	gpc2cpreactome
pca	real	0.04747774480712166	461	23.8724	tcga	25	gpc2cpreactome
vae	real	0.1172106824925816	545	34.8037	tcga	25	gpc2cpreactome
dae	real	0.16765578635014836	105	54.1591	tcga	50	gpc2cpreactome
ica	real	0.1543026706231454	417	34.56	tcga	50	gpc2cpreactome
nmf	real	0.0830860534124629	582	71.2466	tcga	50	gpc2cpreactome
pca	real	0.10534124629080119	838	23.7972	tcga	50	gpc2cpreactome
vae	real	0.17062314540059348	1027	39.4747	tcga	50	gpc2cpreactome
