algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.22764227642276422	74	16.1262	tcga	45	gpc3tft
ica	real	0.1772357723577236	273	23.0027	tcga	45	gpc3tft
nmf	real	0.13333333333333333	625	33.748000000000005	tcga	45	gpc3tft
pca	real	0.14308943089430895	683	18.019000000000002	tcga	45	gpc3tft
vae	real	0.26666666666666666	1044	20.8275	tcga	45	gpc3tft
dae	real	0.21138211382113822	61	18.0909	tcga	40	gpc3tft
ica	real	0.10894308943089431	253	20.4882	tcga	40	gpc3tft
nmf	real	0.12845528455284552	575	30.6134	tcga	40	gpc3tft
pca	real	0.12195121951219512	608	18.019000000000002	tcga	40	gpc3tft
vae	real	0.25040650406504067	947	20.699	tcga	40	gpc3tft
dae	real	0.055284552845528454	1	18.9629	tcga	14	gpc3tft
ica	real	0.05203252032520325	112	20.2193	tcga	14	gpc3tft
nmf	real	0.02926829268292683	173	24.0404	tcga	14	gpc3tft
pca	real	0.04552845528455285	218	18.019000000000002	tcga	14	gpc3tft
vae	real	0.1024390243902439	301	26.3943	tcga	14	gpc3tft
dae	real	0.3040650406504065	159	18.1312	tcga	80	gpc3tft
ica	real	0.2959349593495935	445	20.729	tcga	80	gpc3tft
nmf	real	0.2764227642276423	925	43.5315	tcga	80	gpc3tft
pca	real	0.2634146341463415	1209	18.019000000000002	tcga	80	gpc3tft
vae	real	0.3886178861788618	1758	24.7252	tcga	80	gpc3tft
dae	real	0.08617886178861789	105	18.5045	tcga	25	gpc3tft
ica	real	0.09268292682926829	166	21.6869	tcga	25	gpc3tft
nmf	real	0.05365853658536585	365	23.958000000000002	tcga	25	gpc3tft
pca	real	0.07642276422764227	380	18.019000000000002	tcga	25	gpc3tft
vae	real	0.1902439024390244	505	22.9559	tcga	25	gpc3tft
dae	real	0.013008130081300813	8	10.4402	tcga	4	gpc3tft
ica	real	0.01788617886178862	36	21.2104	tcga	4	gpc3tft
nmf	real	0.00975609756097561	43	17.9134	tcga	4	gpc3tft
pca	real	0.013008130081300813	66	18.019000000000002	tcga	4	gpc3tft
vae	real	0.014634146341463415	94	17.6268	tcga	4	gpc3tft
dae	real	0.07967479674796749	86	15.3983	tcga	18	gpc3tft
ica	real	0.055284552845528454	134	22.081999999999997	tcga	18	gpc3tft
nmf	real	0.04227642276422764	182	23.4023	tcga	18	gpc3tft
pca	real	0.056910569105691054	277	18.019000000000002	tcga	18	gpc3tft
vae	real	0.13495934959349593	366	16.6315	tcga	18	gpc3tft
dae	real	0.1073170731707317	12	18.8327	tcga	35	gpc3tft
ica	real	0.14796747967479676	313	21.4971	tcga	35	gpc3tft
nmf	real	0.0959349593495935	469	23.6882	tcga	35	gpc3tft
pca	real	0.1024390243902439	531	18.019000000000002	tcga	35	gpc3tft
vae	real	0.25691056910569104	820	27.2522	tcga	35	gpc3tft
dae	real	0.03414634146341464	32	16.3781	tcga	8	gpc3tft
ica	real	0.04715447154471545	68	23.9546	tcga	8	gpc3tft
nmf	real	0.022764227642276424	114	21.4437	tcga	8	gpc3tft
pca	real	0.026016260162601626	125	18.019000000000002	tcga	8	gpc3tft
vae	real	0.06991869918699187	165	17.8284	tcga	8	gpc3tft
dae	real	0.24390243902439024	210	24.7703	tcga	60	gpc3tft
ica	real	0.21138211382113822	556	31.3891	tcga	60	gpc3tft
nmf	real	0.19349593495934958	726	42.9036	tcga	60	gpc3tft
pca	real	0.1902439024390244	909	18.019000000000002	tcga	60	gpc3tft
vae	real	0.3463414634146341	1464	19.1158	tcga	60	gpc3tft
dae	real	0.032520325203252036	33	15.902999999999999	tcga	9	gpc3tft
ica	real	0.04715447154471545	51	21.5746	tcga	9	gpc3tft
nmf	real	0.026016260162601626	121	20.8379	tcga	9	gpc3tft
pca	real	0.02926829268292683	140	18.019000000000002	tcga	9	gpc3tft
vae	real	0.07642276422764227	193	18.4175	tcga	9	gpc3tft
dae	real	0.024390243902439025	21	16.3151	tcga	5	gpc3tft
ica	real	0.016260162601626018	44	14.7186	tcga	5	gpc3tft
nmf	real	0.013008130081300813	52	18.2445	tcga	5	gpc3tft
pca	real	0.016260162601626018	82	18.019000000000002	tcga	5	gpc3tft
vae	real	0.02926829268292683	100	15.874	tcga	5	gpc3tft
dae	real	0.5024390243902439	351	24.9679	tcga	150	gpc3tft
ica	real	0.5073170731707317	1096	19.5154	tcga	150	gpc3tft
nmf	real	0.46504065040650405	2198	104.325	tcga	150	gpc3tft
pca	real	0.46016260162601624	2257	18.019000000000002	tcga	150	gpc3tft
vae	real	0.4666666666666667	3689	22.2522	tcga	150	gpc3tft
dae	real	0.31382113821138213	173	21.7513	tcga	70	gpc3tft
ica	real	0.25853658536585367	451	34.1983	tcga	70	gpc3tft
nmf	real	0.23739837398373984	826	44.2679	tcga	70	gpc3tft
pca	real	0.23089430894308943	1056	18.019000000000002	tcga	70	gpc3tft
vae	real	0.35284552845528455	1482	19.8989	tcga	70	gpc3tft
dae	real	0.11707317073170732	15	17.2076	tcga	30	gpc3tft
ica	real	0.11219512195121951	214	24.0051	tcga	30	gpc3tft
nmf	real	0.07317073170731707	415	24.4649	tcga	30	gpc3tft
pca	real	0.09268292682926829	458	18.019000000000002	tcga	30	gpc3tft
vae	real	0.21951219512195122	644	16.404	tcga	30	gpc3tft
dae	real	0.40487804878048783	186	20.2285	tcga	100	gpc3tft
ica	real	0.4097560975609756	957	24.6495	tcga	100	gpc3tft
nmf	real	0.32195121951219513	1121	46.8652	tcga	100	gpc3tft
pca	real	0.3203252032520325	1508	18.019000000000002	tcga	100	gpc3tft
vae	real	0.4097560975609756	2291	23.8669	tcga	100	gpc3tft
dae	real	0.008130081300813009	7	10.2911	tcga	2	gpc3tft
ica	real	0.0065040650406504065	19	17.230999999999998	tcga	2	gpc3tft
nmf	real	0.0065040650406504065	24	18.2995	tcga	2	gpc3tft
pca	real	0.0065040650406504065	39	18.019000000000002	tcga	2	gpc3tft
vae	real	0.01788617886178862	42	13.9647	tcga	2	gpc3tft
dae	real	0.3544715447154472	13	18.3713	tcga	90	gpc3tft
ica	real	0.33170731707317075	613	21.0139	tcga	90	gpc3tft
nmf	real	0.2910569105691057	1025	45.8762	tcga	90	gpc3tft
pca	real	0.2959349593495935	1359	18.019000000000002	tcga	90	gpc3tft
vae	real	0.3983739837398374	1920	19.3698	tcga	90	gpc3tft
dae	real	0.027642276422764227	5	15.9592	tcga	6	gpc3tft
ica	real	0.01951219512195122	35	14.3624	tcga	6	gpc3tft
nmf	real	0.014634146341463415	89	16.1646	tcga	6	gpc3tft
pca	real	0.01951219512195122	97	18.019000000000002	tcga	6	gpc3tft
vae	real	0.03902439024390244	131	18.801	tcga	6	gpc3tft
dae	real	0.027642276422764227	25	16.5088	tcga	7	gpc3tft
ica	real	0.03414634146341464	45	19.7918	tcga	7	gpc3tft
nmf	real	0.01951219512195122	103	21.2351	tcga	7	gpc3tft
pca	real	0.022764227642276424	111	18.019000000000002	tcga	7	gpc3tft
