model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.17245266005410279	150.452	tcga	80	gpc5bp
real	0.004959422903516681	40.2812	tcga	2	gpc5bp
real	0.04350766456266907	37.264	tcga	16	gpc5bp
real	0.09445446348061316	70.1459	tcga	40	gpc5bp
real	0.019612263300270515	41.8619	tcga	7	gpc5bp
real	0.19116321009918846	150.161	tcga	90	gpc5bp
real	0.025924256086564474	40.2933	tcga	9	gpc5bp
real	0.24819657348963028	480.70599999999996	tcga	125	gpc5bp
real	0.3640667267808837	inf	tcga	200	gpc5bp
real	0.0263751127141569	36.0491	tcga	10	gpc5bp
real	0.07912533814247069	90.6114	tcga	35	gpc5bp
real	0.021866546438232642	40.8148	tcga	8	gpc5bp
real	0.011045987376014428	60.3721	tcga	5	gpc5bp
real	0.10414788097385032	95.5935	tcga	45	gpc5bp
real	0.00969341749323715	58.2585	tcga	4	gpc5bp
real	0.043733092876465283	40.3495	tcga	18	gpc5bp
real	0.006988277727682597	37.3125	tcga	3	gpc5bp
real	0.11925157799819658	82.1888	tcga	50	gpc5bp
real	0.031109107303877368	49.5744	tcga	12	gpc5bp
real	0.03719567177637511	36.1645	tcga	14	gpc5bp
real	0.06762849413886383	74.3415	tcga	30	gpc5bp
real	0.29486023444544635	inf	tcga	150	gpc5bp
real	0.056807935076645624	86.2949	tcga	25	gpc5bp
real	0.1284941388638413	129.226	tcga	60	gpc5bp
real	0.21753832281334537	200.32	tcga	100	gpc5bp
real	0.1512623985572588	152.713	tcga	70	gpc5bp
real	0.048467087466185756	47.9113	tcga	20	gpc5bp
real	0.013976555455365193	49.5631	tcga	6	gpc5bp
