algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
dae	165158	real	0.06991869918699187	140	10.9905	tcga	45	gpc3tft
dae	451283	real	0.07154471544715447	136	15.3982	tcga	45	gpc3tft
dae	486191	real	0.07154471544715447	42	12.0115	tcga	45	gpc3tft
dae	908341	real	0.07479674796747968	198	15.8004	tcga	45	gpc3tft
dae	978124	real	0.07479674796747968	74	16.1262	tcga	45	gpc3tft
ica	165158	real	0.12845528455284552	370	22.991	tcga	45	gpc3tft
ica	451283	real	0.11544715447154472	346	19.7826	tcga	45	gpc3tft
ica	486191	real	0.12682926829268293	252	22.8335	tcga	45	gpc3tft
ica	908341	real	0.13333333333333333	273	23.0027	tcga	45	gpc3tft
ica	978124	real	0.12845528455284552	319	22.7142	tcga	45	gpc3tft
nmf	165158	real	0.08943089430894309	625	33.748000000000005	tcga	45	gpc3tft
nmf	451283	real	0.09268292682926829	566	29.1442	tcga	45	gpc3tft
nmf	486191	real	0.0975609756097561	572	30.0963	tcga	45	gpc3tft
nmf	908341	real	0.1008130081300813	573	28.9069	tcga	45	gpc3tft
nmf	978124	real	0.0959349593495935	574	28.8454	tcga	45	gpc3tft
pca	165158	real	0.11869918699186992	680	18.019000000000002	tcga	45	gpc3tft
pca	451283	real	0.12357723577235773	681	18.019000000000002	tcga	45	gpc3tft
pca	486191	real	0.12357723577235773	682	18.019000000000002	tcga	45	gpc3tft
pca	908341	real	0.12357723577235773	683	18.019000000000002	tcga	45	gpc3tft
pca	978124	real	0.12357723577235773	684	18.019000000000002	tcga	45	gpc3tft
vae	165158	real	0.0910569105691057	1065	18.2605	tcga	45	gpc3tft
vae	451283	real	0.0975609756097561	1021	14.6685	tcga	45	gpc3tft
vae	486191	real	0.09268292682926829	1107	18.2078	tcga	45	gpc3tft
vae	908341	real	0.0959349593495935	928	20.0413	tcga	45	gpc3tft
vae	978124	real	0.0959349593495935	1044	20.8275	tcga	45	gpc3tft
dae	165158	real	0.06829268292682927	30	14.567	tcga	40	gpc3tft
dae	451283	real	0.07154471544715447	61	18.0909	tcga	40	gpc3tft
dae	486191	real	0.06341463414634146	167	15.3554	tcga	40	gpc3tft
dae	908341	real	0.07479674796747968	28	15.4528	tcga	40	gpc3tft
dae	978124	real	0.07967479674796749	164	12.8901	tcga	40	gpc3tft
ica	165158	real	0.0991869918699187	320	20.4657	tcga	40	gpc3tft
ica	451283	real	0.1008130081300813	261	20.436	tcga	40	gpc3tft
ica	486191	real	0.0991869918699187	287	20.4325	tcga	40	gpc3tft
ica	908341	real	0.1008130081300813	253	20.4882	tcga	40	gpc3tft
ica	978124	real	0.1008130081300813	349	20.4508	tcga	40	gpc3tft
nmf	165158	real	0.08292682926829269	575	30.6134	tcga	40	gpc3tft
nmf	451283	real	0.0910569105691057	521	29.4957	tcga	40	gpc3tft
nmf	486191	real	0.0910569105691057	522	28.3158	tcga	40	gpc3tft
nmf	908341	real	0.08617886178861789	523	28.5033	tcga	40	gpc3tft
nmf	978124	real	0.0959349593495935	524	29.0326	tcga	40	gpc3tft
pca	165158	real	0.11219512195121951	605	18.019000000000002	tcga	40	gpc3tft
pca	451283	real	0.11056910569105691	606	18.019000000000002	tcga	40	gpc3tft
pca	486191	real	0.11219512195121951	607	18.019000000000002	tcga	40	gpc3tft
pca	908341	real	0.11219512195121951	608	18.019000000000002	tcga	40	gpc3tft
pca	978124	real	0.11056910569105691	609	18.019000000000002	tcga	40	gpc3tft
vae	165158	real	0.0975609756097561	900	16.1688	tcga	40	gpc3tft
vae	451283	real	0.08943089430894309	891	15.2878	tcga	40	gpc3tft
vae	486191	real	0.09268292682926829	947	20.699	tcga	40	gpc3tft
vae	908341	real	0.0959349593495935	923	17.5713	tcga	40	gpc3tft
vae	978124	real	0.07479674796747968	829	13.4022	tcga	40	gpc3tft
dae	165158	real	0.01951219512195122	10	11.2205	tcga	14	gpc3tft
dae	451283	real	0.01788617886178862	1	18.9629	tcga	14	gpc3tft
dae	486191	real	0.008130081300813009	7	9.225539999999999	tcga	14	gpc3tft
dae	908341	real	0.027642276422764227	13	12.6096	tcga	14	gpc3tft
dae	978124	real	0.022764227642276424	49	16.748	tcga	14	gpc3tft
ica	165158	real	0.04552845528455285	135	20.2182	tcga	14	gpc3tft
ica	451283	real	0.04390243902439024	101	20.1367	tcga	14	gpc3tft
ica	486191	real	0.04552845528455285	112	20.2193	tcga	14	gpc3tft
ica	908341	real	0.04227642276422764	138	19.9891	tcga	14	gpc3tft
ica	978124	real	0.04552845528455285	134	20.2125	tcga	14	gpc3tft
nmf	165158	real	0.02926829268292683	170	24.0404	tcga	14	gpc3tft
nmf	451283	real	0.02926829268292683	171	24.0296	tcga	14	gpc3tft
nmf	486191	real	0.02926829268292683	172	24.0402	tcga	14	gpc3tft
nmf	908341	real	0.02926829268292683	173	24.0404	tcga	14	gpc3tft
nmf	978124	real	0.02926829268292683	174	24.0403	tcga	14	gpc3tft
