model_type	geneset_coverage	abs_top_z_score	dataset	z_dim	geneset_name
real	0.05568445475638051	37.9741	tcga	3	gpc4cm
real	0.12761020881670534	40.8171	tcga	7	gpc4cm
real	0.0951276102088167	39.611999999999995	tcga	6	gpc4cm
real	0.5893271461716937	80.3399	tcga	80	gpc4cm
real	0.7587006960556845	916.044	tcga	125	gpc4cm
real	0.1716937354988399	44.0072	tcga	14	gpc4cm
real	0.5290023201856149	82.2201	tcga	60	gpc4cm
real	0.13225058004640372	41.0	tcga	8	gpc4cm
real	0.42691415313225056	51.0596	tcga	45	gpc4cm
real	0.19953596287703015	45.8414	tcga	20	gpc4cm
real	0.6566125290023201	84.4996	tcga	90	gpc4cm
real	0.31322505800464034	54.2832	tcga	30	gpc4cm
real	0.03944315545243619	33.8286	tcga	2	gpc4cm
real	0.2691415313225058	52.3879	tcga	25	gpc4cm
real	0.3433874709976798	60.2739	tcga	35	gpc4cm
real	0.3990719257540603	62.5264	tcga	40	gpc4cm
real	0.19953596287703015	43.8075	tcga	18	gpc4cm
real	0.08352668213457076	33.8286	tcga	5	gpc4cm
real	0.13225058004640372	40.6057	tcga	9	gpc4cm
real	0.8051044083526682	1734.06	tcga	150	gpc4cm
real	0.4593967517401392	71.5667	tcga	50	gpc4cm
real	0.7192575406032483	82.4347	tcga	100	gpc4cm
real	0.15777262180974477	41.2678	tcga	12	gpc4cm
real	0.5730858468677494	72.1654	tcga	70	gpc4cm
real	0.07888631090487239	42.1119	tcga	4	gpc4cm
real	0.8700696055684455	inf	tcga	200	gpc4cm
real	0.14849187935034802	56.7157	tcga	10	gpc4cm
real	0.18097447795823665	50.0975	tcga	16	gpc4cm
