algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.059963931469792606	233	40.7501	tcga	80	gpc5bp
ica	real	0.05027051397655546	785	53.9999	tcga	80	gpc5bp
nmf	real	0.03899909828674482	922	150.452	tcga	80	gpc5bp
pca	real	0.03854824165915239	1201	28.4284	tcga	80	gpc5bp
vae	real	0.062218214607754736	1654	50.416000000000004	tcga	80	gpc5bp
dae	real	0.001127141568981064	1	36.7602	tcga	2	gpc5bp
ica	real	0.0009017132551848512	14	26.7379	tcga	2	gpc5bp
nmf	real	0.0009017132551848512	24	27.3916	tcga	2	gpc5bp
pca	real	0.0009017132551848512	34	28.4284	tcga	2	gpc5bp
vae	real	0.0018034265103697023	40	40.2812	tcga	2	gpc5bp
dae	real	0.010595130748422003	76	36.7607	tcga	16	gpc5bp
ica	real	0.009017132551848512	103	37.264	tcga	16	gpc5bp
nmf	real	0.005410279531109108	173	36.1919	tcga	16	gpc5bp
pca	real	0.006537421100090171	244	28.4284	tcga	16	gpc5bp
vae	real	0.02412082957619477	329	33.806	tcga	16	gpc5bp
dae	real	0.03990081154192967	196	37.2711	tcga	40	gpc5bp
ica	real	0.018710550045085664	373	33.141999999999996	tcga	40	gpc5bp
nmf	real	0.014427412082957619	483	70.1459	tcga	40	gpc5bp
pca	real	0.016681695220919748	601	28.4284	tcga	40	gpc5bp
vae	real	0.04192966636609558	818	36.4365	tcga	40	gpc5bp
dae	real	0.004283137962128043	26	41.8619	tcga	7	gpc5bp
ica	real	0.005410279531109108	67	31.7925	tcga	7	gpc5bp
nmf	real	0.002254283137962128	99	29.3349	tcga	7	gpc5bp
pca	real	0.0031559963931469793	109	28.4284	tcga	7	gpc5bp
vae	real	0.009017132551848512	154	34.6577	tcga	7	gpc5bp
dae	real	0.06672678088367899	226	39.8845	tcga	90	gpc5bp
ica	real	0.06199278629395852	760	57.3391	tcga	90	gpc5bp
nmf	real	0.04238052299368801	1021	150.161	tcga	90	gpc5bp
pca	real	0.044634806131650134	1353	28.4284	tcga	90	gpc5bp
vae	real	0.06492335437330929	2131	35.3587	tcga	90	gpc5bp
dae	real	0.005184851217312894	22	40.2933	tcga	9	gpc5bp
ica	real	0.006537421100090171	46	37.2221	tcga	9	gpc5bp
nmf	real	0.0029305680793507666	121	30.0116	tcga	9	gpc5bp
pca	real	0.003832281334535618	139	28.4284	tcga	9	gpc5bp
vae	real	0.01284941388638413	193	28.7947	tcga	9	gpc5bp
dae	real	0.09242560865644725	589	42.1511	tcga	125	gpc5bp
ica	real	0.08385933273219116	643	59.3516	tcga	125	gpc5bp
nmf	real	0.06289449954914338	1336	480.70599999999996	tcga	125	gpc5bp
pca	real	0.06492335437330929	1877	28.4284	tcga	125	gpc5bp
vae	real	0.07371505861136159	2786	44.7174	tcga	125	gpc5bp
dae	real	0.1354824165915239	857	59.9766	tcga	200	gpc5bp
ica	real	0.13683498647430117	1453	46.5215	tcga	200	gpc5bp
nmf	real	0.1036970243462579	2265	inf	tcga	200	gpc5bp
pca	real	0.10527502254283137	3002	28.4284	tcga	200	gpc5bp
vae	real	0.10234445446348062	4142	47.6863	tcga	200	gpc5bp
dae	real	0.0063119927862939585	40	36.0491	tcga	10	gpc5bp
ica	real	0.005861136158701533	85	33.28	tcga	10	gpc5bp
nmf	real	0.0029305680793507666	101	33.0896	tcga	10	gpc5bp
pca	real	0.004283137962128043	153	28.4284	tcga	10	gpc5bp
vae	real	0.013074842200180343	204	32.0203	tcga	10	gpc5bp
dae	real	0.017357980162308388	17	90.6114	tcga	35	gpc5bp
ica	real	0.023219116321009918	200	39.8869	tcga	35	gpc5bp
nmf	real	0.012623985572587917	433	67.404	tcga	35	gpc5bp
pca	real	0.013976555455365193	526	28.4284	tcga	35	gpc5bp
vae	real	0.04170423805229937	753	36.0188	tcga	35	gpc5bp
dae	real	0.005861136158701533	18	39.5478	tcga	8	gpc5bp
ica	real	0.006086564472497746	44	40.8148	tcga	8	gpc5bp
nmf	real	0.0024797114517583407	84	29.3307	tcga	8	gpc5bp
pca	real	0.003381424706943192	123	28.4284	tcga	8	gpc5bp
vae	real	0.009467989179440937	170	30.8414	tcga	8	gpc5bp
dae	real	0.0029305680793507666	19	37.4797	tcga	5	gpc5bp
ica	real	0.002254283137962128	37	28.3828	tcga	5	gpc5bp
nmf	real	0.0018034265103697023	54	60.3721	tcga	5	gpc5bp
pca	real	0.002254283137962128	79	28.4284	tcga	5	gpc5bp
vae	real	0.004508566275924256	122	34.9197	tcga	5	gpc5bp
dae	real	0.03674481514878269	156	36.6427	tcga	45	gpc5bp
ica	real	0.028629395852119027	443	44.5714	tcga	45	gpc5bp
nmf	real	0.018034265103697024	617	95.5935	tcga	45	gpc5bp
pca	real	0.018935978358881875	679	28.4284	tcga	45	gpc5bp
vae	real	0.04733994589720469	1110	37.0433	tcga	45	gpc5bp
dae	real	0.0018034265103697023	8	36.9636	tcga	4	gpc5bp
ica	real	0.003381424706943192	20	27.9126	tcga	4	gpc5bp
nmf	real	0.001352569882777277	42	58.2585	tcga	4	gpc5bp
pca	real	0.0018034265103697023	64	28.4284	tcga	4	gpc5bp
vae	real	0.003381424706943192	93	28.5781	tcga	4	gpc5bp
dae	real	0.012623985572587917	71	37.159	tcga	18	gpc5bp
ica	real	0.007439134355275023	102	33.8934	tcga	18	gpc5bp
nmf	real	0.005410279531109108	261	38.2888	tcga	18	gpc5bp
pca	real	0.006762849413886384	270	28.4284	tcga	18	gpc5bp
vae	real	0.024346257889990983	416	40.3495	tcga	18	gpc5bp
dae	real	0.0020288548241659153	13	37.3125	tcga	3	gpc5bp
ica	real	0.001352569882777277	25	26.0601	tcga	3	gpc5bp
nmf	real	0.001352569882777277	31	36.6095	tcga	3	gpc5bp
pca	real	0.001352569882777277	49	28.4284	tcga	3	gpc5bp
vae	real	0.0024797114517583407	72	22.2714	tcga	3	gpc5bp
dae	real	0.04102795311091073	161	36.7987	tcga	50	gpc5bp
ica	real	0.03381424706943192	467	36.9719	tcga	50	gpc5bp
nmf	real	0.02412082957619477	665	82.1888	tcga	50	gpc5bp
pca	real	0.022317403065825067	750	28.4284	tcga	50	gpc5bp
vae	real	0.05072137060414788	1246	40.5849	tcga	50	gpc5bp
dae	real	0.006988277727682597	43	36.8349	tcga	12	gpc5bp
ica	real	0.006086564472497746	116	49.5744	tcga	12	gpc5bp
nmf	real	0.0036068530207394047	121	32.9484	tcga	12	gpc5bp
pca	real	0.005184851217312894	184	28.4284	tcga	12	gpc5bp
vae	real	0.016681695220919748	290	34.77	tcga	12	gpc5bp
