algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.032719836400818	19	47.2633	tcga	7	gpxcell
ica	real	0.049079754601226995	43	37.0125	tcga	7	gpxcell
nmf	real	0.026584867075664622	80	20.2478	tcga	7	gpxcell
pca	real	0.024539877300613498	125	24.2368	tcga	7	gpxcell
vae	real	0.05521472392638037	168	39.4895	tcga	7	gpxcell
dae	real	0.06748466257668712	48	54.5392	tcga	25	gpxcell
ica	real	0.09202453987730061	229	64.3619	tcga	25	gpxcell
nmf	real	0.06134969325153374	296	34.0011	tcga	25	gpxcell
pca	real	0.07770961145194274	395	24.2366	tcga	25	gpxcell
vae	real	0.1492842535787321	606	45.8782	tcga	25	gpxcell
dae	real	0.014314928425357873	4	28.2307	tcga	2	gpxcell
ica	real	0.0081799591002045	19	22.8537	tcga	2	gpxcell
nmf	real	0.0081799591002045	20	12.3341	tcga	2	gpxcell
pca	real	0.0081799591002045	39	15.0566	tcga	2	gpxcell
vae	real	0.014314928425357873	47	42.1303	tcga	2	gpxcell
dae	real	0.261758691206544	121	54.3832	tcga	70	gpxcell
ica	real	0.2883435582822086	615	30.7942	tcga	70	gpxcell
nmf	real	0.18609406952965235	941	44.6651	tcga	70	gpxcell
pca	real	0.18813905930470348	1072	24.2366	tcga	70	gpxcell
vae	real	0.24335378323108384	1554	43.0975	tcga	70	gpxcell
dae	real	0.026584867075664622	5	44.0422	tcga	6	gpxcell
ica	real	0.024539877300613498	42	45.8618	tcga	6	gpxcell
nmf	real	0.018404907975460124	72	20.3947	tcga	6	gpxcell
pca	real	0.02044989775051125	113	24.2389	tcga	6	gpxcell
vae	real	0.04294478527607362	142	37.5066	tcga	6	gpxcell
dae	real	0.04703476482617587	1	52.1886	tcga	14	gpxcell
ica	real	0.053169734151329244	103	50.471000000000004	tcga	14	gpxcell
nmf	real	0.03680981595092025	188	28.3195	tcga	14	gpxcell
pca	real	0.049079754601226995	234	24.2366	tcga	14	gpxcell
vae	real	0.08997955010224949	338	48.9563	tcga	14	gpxcell
dae	real	0.43149284253578735	479	54.1608	tcga	200	gpxcell
ica	real	0.5685071574642127	1001	43.6007	tcga	200	gpxcell
nmf	real	0.40286298568507156	2638	inf	tcga	200	gpxcell
pca	real	0.45807770961145194	3021	24.2366	tcga	200	gpxcell
vae	real	0.39263803680981596	4102	54.6663	tcga	200	gpxcell
dae	real	0.34355828220858897	240	49.4232	tcga	125	gpxcell
ica	real	0.45194274028629855	1078	36.4621	tcga	125	gpxcell
nmf	real	0.2903885480572597	1657	59.5011	tcga	125	gpxcell
pca	real	0.3374233128834356	2400	28.8359	tcga	125	gpxcell
vae	real	0.3047034764826176	2697	64.3631	tcga	125	gpxcell
dae	real	0.04294478527607362	31	46.4451	tcga	8	gpxcell
ica	real	0.04294478527607362	44	36.8727	tcga	8	gpxcell
nmf	real	0.026584867075664622	94	20.3044	tcga	8	gpxcell
pca	real	0.028629856850715747	140	24.2371	tcga	8	gpxcell
vae	real	0.06748466257668712	175	40.3864	tcga	8	gpxcell
dae	real	0.16768916155419222	87	65.6563	tcga	40	gpxcell
ica	real	0.12883435582822086	332	30.2322	tcga	40	gpxcell
nmf	real	0.10633946830265849	446	46.0129	tcga	40	gpxcell
pca	real	0.12065439672801637	622	24.2366	tcga	40	gpxcell
vae	real	0.19631901840490798	835	39.3518	tcga	40	gpxcell
dae	real	0.034764826175869123	21	46.8136	tcga	9	gpxcell
ica	real	0.04294478527607362	73	52.9968	tcga	9	gpxcell
nmf	real	0.028629856850715747	100	20.4206	tcga	9	gpxcell
pca	real	0.032719836400818	159	24.2366	tcga	9	gpxcell
vae	real	0.06952965235173825	191	48.9349	tcga	9	gpxcell
dae	real	0.05725971370143149	36	59.2437	tcga	16	gpxcell
ica	real	0.06134969325153374	115	51.1721	tcga	16	gpxcell
nmf	real	0.03885480572597137	207	27.7401	tcga	16	gpxcell
pca	real	0.05725971370143149	260	24.2366	tcga	16	gpxcell
vae	real	0.10633946830265849	368	43.3302	tcga	16	gpxcell
dae	real	0.3721881390593047	363	60.3285	tcga	150	gpxcell
ica	real	0.5010224948875256	1012	38.8874	tcga	150	gpxcell
nmf	real	0.3394683026584867	2137	416.915	tcga	150	gpxcell
pca	real	0.40286298568507156	2271	24.2366	tcga	150	gpxcell
vae	real	0.32515337423312884	3390	48.6414	tcga	150	gpxcell
dae	real	0.09406952965235174	26	56.2334	tcga	30	gpxcell
ica	real	0.1165644171779141	218	62.1085	tcga	30	gpxcell
nmf	real	0.07975460122699386	346	35.1842	tcga	30	gpxcell
pca	real	0.09406952965235174	473	24.2366	tcga	30	gpxcell
vae	real	0.15132924335378323	724	45.7676	tcga	30	gpxcell
dae	real	0.21063394683026584	107	57.8991	tcga	60	gpxcell
ica	real	0.20449897750511248	548	29.589000000000002	tcga	60	gpxcell
nmf	real	0.1554192229038855	842	50.2491	tcga	60	gpxcell
pca	real	0.1554192229038855	923	24.2366	tcga	60	gpxcell
vae	real	0.24335378323108384	1280	38.7527	tcga	60	gpxcell
dae	real	0.016359918200409	13	38.851	tcga	3	gpxcell
ica	real	0.012269938650306749	25	16.1246	tcga	3	gpxcell
nmf	real	0.012269938650306749	44	17.8784	tcga	3	gpxcell
pca	real	0.010224948875255624	54	15.0566	tcga	3	gpxcell
vae	real	0.012269938650306749	61	45.4589	tcga	3	gpxcell
dae	real	0.09815950920245399	33	58.1917	tcga	35	gpxcell
ica	real	0.14314928425357873	332	48.0182	tcga	35	gpxcell
nmf	real	0.08997955010224949	397	41.7081	tcga	35	gpxcell
pca	real	0.10020449897750511	547	24.2366	tcga	35	gpxcell
vae	real	0.17995910020449898	811	49.0659	tcga	35	gpxcell
dae	real	0.065439672801636	20	57.1089	tcga	20	gpxcell
ica	real	0.10020449897750511	104	55.1667	tcga	20	gpxcell
nmf	real	0.05930470347648262	249	34.8895	tcga	20	gpxcell
pca	real	0.06952965235173825	320	24.2366	tcga	20	gpxcell
vae	real	0.11860940695296524	481	47.7624	tcga	20	gpxcell
dae	real	0.07157464212678936	17	84.0653	tcga	18	gpxcell
ica	real	0.065439672801636	107	51.9162	tcga	18	gpxcell
nmf	real	0.05521472392638037	227	28.633000000000003	tcga	18	gpxcell
pca	real	0.06134969325153374	292	24.2366	tcga	18	gpxcell
vae	real	0.09406952965235174	437	40.0894	tcga	18	gpxcell
dae	real	0.024539877300613498	10	44.1559	tcga	5	gpxcell
ica	real	0.02044989775051125	39	29.0608	tcga	5	gpxcell
nmf	real	0.016359918200409	62	19.586	tcga	5	gpxcell
pca	real	0.018404907975460124	98	24.2411	tcga	5	gpxcell
vae	real	0.028629856850715747	113	52.5777	tcga	5	gpxcell
