algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.016241299303944315	12	28.1166	tcga	3	gpc4cm
ica	real	0.013921113689095127	19	29.9597	tcga	3	gpc4cm
nmf	real	0.01160092807424594	41	37.9741	tcga	3	gpc4cm
pca	real	0.013921113689095127	50	33.8286	tcga	3	gpc4cm
vae	real	0.02088167053364269	63	24.8796	tcga	3	gpc4cm
dae	real	0.04176334106728538	19	37.6811	tcga	7	gpc4cm
ica	real	0.037122969837587005	55	37.4325	tcga	7	gpc4cm
nmf	real	0.027842227378190254	83	40.8171	tcga	7	gpc4cm
pca	real	0.030162412993039442	113	33.8286	tcga	7	gpc4cm
vae	real	0.07424593967517401	174	37.701	tcga	7	gpc4cm
dae	real	0.030162412993039442	16	28.5298	tcga	6	gpc4cm
ica	real	0.025522041763341066	42	39.611999999999995	tcga	6	gpc4cm
nmf	real	0.02320185614849188	72	39.2854	tcga	6	gpc4cm
pca	real	0.027842227378190254	95	33.8286	tcga	6	gpc4cm
vae	real	0.05568445475638051	147	34.3879	tcga	6	gpc4cm
dae	real	0.2737819025522042	53	36.9549	tcga	80	gpc4cm
ica	real	0.3062645011600928	776	27.9095	tcga	80	gpc4cm
nmf	real	0.2459396751740139	1092	80.3399	tcga	80	gpc4cm
pca	real	0.2505800464037123	1209	33.8286	tcga	80	gpc4cm
vae	real	0.2737819025522042	1813	41.6369	tcga	80	gpc4cm
dae	real	0.4176334106728538	54	38.5165	tcga	125	gpc4cm
ica	real	0.45707656612529	638	44.7374	tcga	125	gpc4cm
nmf	real	0.31786542923433875	1653	916.044	tcga	125	gpc4cm
pca	real	0.39443155452436196	1882	33.8286	tcga	125	gpc4cm
vae	real	0.308584686774942	2781	39.2832	tcga	125	gpc4cm
dae	real	0.06728538283062645	25	28.9061	tcga	14	gpc4cm
ica	real	0.05568445475638051	78	33.7328	tcga	14	gpc4cm
nmf	real	0.048723897911832945	153	44.0072	tcga	14	gpc4cm
pca	real	0.04640371229698376	216	33.8286	tcga	14	gpc4cm
vae	real	0.11600928074245939	328	41.8843	tcga	14	gpc4cm
dae	real	0.21577726218097448	269	42.6032	tcga	60	gpc4cm
ica	real	0.23665893271461716	543	26.9734	tcga	60	gpc4cm
