algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.3433874709976798	46	37.5585	target	100	gpc4cm
ica	real	0.45707656612529	510	41.2811	target	100	gpc4cm
nmf	real	0.15081206496519722	1104	41.6639	target	100	gpc4cm
pca	real	0.5034802784222738	1500	30.0821	target	100	gpc4cm
vae	real	0.31554524361948955	2246	40.9758	target	100	gpc4cm
dae	real	0.08352668213457076	16	41.9193	target	14	gpc4cm
ica	real	0.08584686774941995	110	20.7515	target	14	gpc4cm
nmf	real	0.03944315545243619	177	34.934	target	14	gpc4cm
pca	real	0.05568445475638051	210	30.0821	target	14	gpc4cm
vae	real	0.1136890951276102	281	31.0394	target	14	gpc4cm
dae	real	0.14385150812064965	90	34.125	target	30	gpc4cm
ica	real	0.1740139211136891	219	25.189	target	30	gpc4cm
nmf	real	0.09280742459396751	336	68.0116	target	30	gpc4cm
pca	real	0.12064965197215777	450	30.0821	target	30	gpc4cm
vae	real	0.16473317865429235	690	44.8151	target	30	gpc4cm
dae	real	0.3039443155452436	225	38.1292	target	90	gpc4cm
ica	real	0.41531322505800466	836	39.9571	target	90	gpc4cm
nmf	real	0.13921113689095127	1000	46.7329	target	90	gpc4cm
pca	real	0.45707656612529	1350	30.0821	target	90	gpc4cm
vae	real	0.3503480278422274	2211	33.371	target	90	gpc4cm
dae	real	0.016241299303944315	0	27.2364	target	3	gpc4cm
ica	real	0.013921113689095127	20	20.3285	target	3	gpc4cm
nmf	real	0.01160092807424594	41	43.388999999999996	target	3	gpc4cm
pca	real	0.013921113689095127	45	30.0821	target	3	gpc4cm
vae	real	0.02320185614849188	72	35.3308	target	3	gpc4cm
dae	real	0.09048723897911833	76	31.4157	target	16	gpc4cm
ica	real	0.0765661252900232	126	17.2297	target	16	gpc4cm
nmf	real	0.04408352668213457	238	35.4772	target	16	gpc4cm
pca	real	0.060324825986078884	240	30.0821	target	16	gpc4cm
vae	real	0.10440835266821345	342	32.5034	target	16	gpc4cm
dae	real	0.02088167053364269	4	24.1619	target	2	gpc4cm
ica	real	0.009280742459396751	13	31.2761	target	2	gpc4cm
nmf	real	0.009280742459396751	29	35.0737	target	2	gpc4cm
pca	real	0.009280742459396751	30	30.0821	target	2	gpc4cm
vae	real	0.013921113689095127	46	34.0348	target	2	gpc4cm
dae	real	0.037122969837587005	17	33.2997	target	5	gpc4cm
ica	real	0.02320185614849188	49	20.9074	target	5	gpc4cm
nmf	real	0.016241299303944315	58	45.2655	target	5	gpc4cm
pca	real	0.02320185614849188	75	30.0821	target	5	gpc4cm
vae	real	0.03248259860788863	106	36.2229	target	5	gpc4cm
dae	real	0.20417633410672853	198	36.0724	target	45	gpc4cm
ica	real	0.25754060324825984	361	30.8311	target	45	gpc4cm
nmf	real	0.11136890951276102	570	45.7053	target	45	gpc4cm
pca	real	0.1925754060324826	675	30.0821	target	45	gpc4cm
vae	real	0.22273781902552203	944	39.5613	target	45	gpc4cm
dae	real	0.05336426914153132	15	28.8787	target	7	gpc4cm
ica	real	0.03480278422273782	40	31.3564	target	7	gpc4cm
nmf	real	0.030162412993039442	76	48.1523	target	7	gpc4cm
pca	real	0.03248259860788863	105	30.0821	target	7	gpc4cm
vae	real	0.06264501160092807	147	31.0654	target	7	gpc4cm
dae	real	0.025522041763341066	4	30.4824	target	4	gpc4cm
ica	real	0.018561484918793503	25	28.8377	target	4	gpc4cm
nmf	real	0.016241299303944315	47	44.4886	target	4	gpc4cm
pca	real	0.018561484918793503	60	30.0821	target	4	gpc4cm
vae	real	0.037122969837587005	82	40.2601	target	4	gpc4cm
dae	real	0.05336426914153132	12	37.0308	target	10	gpc4cm
ica	real	0.04408352668213457	92	22.5375	target	10	gpc4cm
nmf	real	0.03480278422273782	138	53.118	target	10	gpc4cm
pca	real	0.04408352668213457	150	30.0821	target	10	gpc4cm
vae	real	0.07888631090487239	219	33.2795	target	10	gpc4cm
dae	real	0.1345707656612529	57	42.3728	target	25	gpc4cm
ica	real	0.09976798143851508	131	15.7737	target	25	gpc4cm
nmf	real	0.06264501160092807	285	66.3077	target	25	gpc4cm
pca	real	0.09280742459396751	375	30.0821	target	25	gpc4cm
vae	real	0.13921113689095127	600	63.3065	target	25	gpc4cm
dae	real	0.531322505800464	134	37.5575	target	200	gpc4cm
ica	real	0.6078886310904872	1649	22.9398	target	200	gpc4cm
nmf	real	0.16241299303944315	2100	49.9507	target	200	gpc4cm
pca	real	0.605568445475638	3000	30.0821	target	200	gpc4cm
vae	real	0.41531322505800466	4918	33.6575	target	200	gpc4cm
dae	real	0.2552204176334107	313	40.7544	target	70	gpc4cm
ica	real	0.3503480278422274	449	33.3426	target	70	gpc4cm
nmf	real	0.1368909512761021	821	51.2354	target	70	gpc4cm
pca	real	0.35498839907192575	1050	30.0821	target	70	gpc4cm
vae	real	0.28074245939675174	1501	30.9885	target	70	gpc4cm
dae	real	0.05104408352668213	18	38.9975	target	9	gpc4cm
ica	real	0.04176334106728538	79	20.7352	target	9	gpc4cm
nmf	real	0.030162412993039442	127	56.4477	target	9	gpc4cm
pca	real	0.03944315545243619	135	30.0821	target	9	gpc4cm
vae	real	0.06728538283062645	215	31.8972	target	9	gpc4cm
dae	real	0.09744779582366589	86	32.9873	target	18	gpc4cm
ica	real	0.0951276102088167	138	17.1936	target	18	gpc4cm
nmf	real	0.04640371229698376	216	40.9347	target	18	gpc4cm
pca	real	0.06496519721577726	270	30.0821	target	18	gpc4cm
vae	real	0.11136890951276102	408	27.5952	target	18	gpc4cm
dae	real	0.09744779582366589	12	39.8926	target	20	gpc4cm
ica	real	0.09976798143851508	155	20.1884	target	20	gpc4cm
nmf	real	0.048723897911832945	238	61.3304	target	20	gpc4cm
pca	real	0.07192575406032482	300	30.0821	target	20	gpc4cm
vae	real	0.1368909512761021	448	33.4698	target	20	gpc4cm
dae	real	0.04408352668213457	23	33.9472	target	6	gpc4cm
ica	real	0.03944315545243619	35	26.6698	target	6	gpc4cm
nmf	real	0.02088167053364269	68	46.958999999999996	target	6	gpc4cm
pca	real	0.027842227378190254	90	30.0821	target	6	gpc4cm
vae	real	0.03480278422273782	144	28.5423	target	6	gpc4cm
dae	real	0.18561484918793503	152	45.3692	target	40	gpc4cm
ica	real	0.2459396751740139	254	20.4377	target	40	gpc4cm
nmf	real	0.10672853828306264	435	52.6105	target	40	gpc4cm
