algorithm	seed	model_type	geneset_coverage	level_3	abs_top_z_score	dataset	z_dim	geneset_name
dae	165158	real	0.05112474437627812	25	29.1544	gtex	16	gpxcell
dae	451283	real	0.03680981595092025	51	33.6182	gtex	16	gpxcell
dae	486191	real	0.04294478527607362	7	36.19	gtex	16	gpxcell
dae	908341	real	0.03067484662576687	43	35.0094	gtex	16	gpxcell
dae	978124	real	0.044989775051124746	69	46.9427	gtex	16	gpxcell
ica	165158	real	0.053169734151329244	155	37.0981	gtex	16	gpxcell
ica	451283	real	0.053169734151329244	106	37.0984	gtex	16	gpxcell
ica	486191	real	0.05112474437627812	102	33.8465	gtex	16	gpxcell
ica	908341	real	0.053169734151329244	118	37.0629	gtex	16	gpxcell
ica	978124	real	0.053169734151329244	149	37.0335	gtex	16	gpxcell
nmf	165158	real	0.0408997955010225	175	33.5771	gtex	16	gpxcell
nmf	451283	real	0.0408997955010225	176	33.5773	gtex	16	gpxcell
nmf	486191	real	0.0408997955010225	177	33.5775	gtex	16	gpxcell
nmf	908341	real	0.0408997955010225	178	33.5772	gtex	16	gpxcell
nmf	978124	real	0.0408997955010225	179	33.5773	gtex	16	gpxcell
pca	165158	real	0.05521472392638037	275	32.1206	gtex	16	gpxcell
pca	451283	real	0.05521472392638037	276	32.1206	gtex	16	gpxcell
pca	486191	real	0.05521472392638037	277	32.1206	gtex	16	gpxcell
pca	908341	real	0.05521472392638037	278	32.1206	gtex	16	gpxcell
pca	978124	real	0.05521472392638037	279	32.1206	gtex	16	gpxcell
vae	165158	real	0.04703476482617587	330	35.2959	gtex	16	gpxcell
vae	451283	real	0.049079754601226995	366	23.064	gtex	16	gpxcell
vae	486191	real	0.03885480572597137	332	36.494	gtex	16	gpxcell
vae	908341	real	0.049079754601226995	368	34.6088	gtex	16	gpxcell
vae	978124	real	0.04703476482617587	364	31.7513	gtex	16	gpxcell
dae	165158	real	0.13701431492842536	200	30.3963	gtex	90	gpxcell
dae	451283	real	0.12269938650306748	431	38.9099	gtex	90	gpxcell
dae	486191	real	0.13496932515337423	422	34.549	gtex	90	gpxcell
dae	908341	real	0.12474437627811862	363	33.6348	gtex	90	gpxcell
dae	978124	real	0.11860940695296524	264	26.2882	gtex	90	gpxcell
ica	165158	real	0.25153374233128833	695	27.0876	gtex	90	gpxcell
ica	451283	real	0.24948875255623723	791	28.8778	gtex	90	gpxcell
ica	486191	real	0.25357873210633947	767	29.8849	gtex	90	gpxcell
ica	908341	real	0.24539877300613497	863	29.1339	gtex	90	gpxcell
ica	978124	real	0.2556237218813906	859	29.4505	gtex	90	gpxcell
nmf	165158	real	0.13701431492842536	1080	55.2433	gtex	90	gpxcell
nmf	451283	real	0.13701431492842536	1081	53.7692	gtex	90	gpxcell
nmf	486191	real	0.147239263803681	1082	54.9584	gtex	90	gpxcell
nmf	908341	real	0.14314928425357873	1083	55.0603	gtex	90	gpxcell
nmf	978124	real	0.13701431492842536	1084	54.4542	gtex	90	gpxcell
pca	165158	real	0.2065439672801636	1460	38.3679	gtex	90	gpxcell
pca	451283	real	0.20040899795501022	1461	38.3679	gtex	90	gpxcell
pca	486191	real	0.20449897750511248	1462	38.3679	gtex	90	gpxcell
pca	908341	real	0.20040899795501022	1463	38.3679	gtex	90	gpxcell
pca	978124	real	0.20245398773006135	1464	38.3679	gtex	90	gpxcell
vae	165158	real	0.14519427402862986	2175	28.7459	gtex	90	gpxcell
vae	451283	real	0.17995910020449898	1876	38.2185	gtex	90	gpxcell
vae	486191	real	0.147239263803681	2127	30.1074	gtex	90	gpxcell
vae	908341	real	0.1492842535787321	2178	33.3917	gtex	90	gpxcell
vae	978124	real	0.15337423312883436	2129	31.0392	gtex	90	gpxcell
dae	165158	real	0.016359918200409	0	30.0449	gtex	6	gpxcell
dae	451283	real	0.016359918200409	26	36.019	gtex	6	gpxcell
dae	486191	real	0.012269938650306749	7	28.261999999999997	gtex	6	gpxcell
dae	908341	real	0.016359918200409	28	34.0844	gtex	6	gpxcell
dae	978124	real	0.012269938650306749	24	28.5193	gtex	6	gpxcell
ica	165158	real	0.022494887525562373	50	36.4558	gtex	6	gpxcell
ica	451283	real	0.022494887525562373	51	36.6426	gtex	6	gpxcell
ica	486191	real	0.018404907975460124	42	30.8069	gtex	6	gpxcell
ica	908341	real	0.02044989775051125	53	36.211	gtex	6	gpxcell
ica	978124	real	0.02044989775051125	54	36.6016	gtex	6	gpxcell
nmf	165158	real	0.018404907975460124	70	25.5337	gtex	6	gpxcell
nmf	451283	real	0.018404907975460124	71	25.5337	gtex	6	gpxcell
nmf	486191	real	0.018404907975460124	72	25.5337	gtex	6	gpxcell
nmf	908341	real	0.018404907975460124	73	25.5337	gtex	6	gpxcell
nmf	978124	real	0.018404907975460124	74	25.5337	gtex	6	gpxcell
pca	165158	real	0.024539877300613498	95	26.2351	gtex	6	gpxcell
pca	451283	real	0.024539877300613498	96	26.2351	gtex	6	gpxcell
pca	486191	real	0.024539877300613498	97	26.2351	gtex	6	gpxcell
pca	908341	real	0.024539877300613498	98	26.2351	gtex	6	gpxcell
pca	978124	real	0.024539877300613498	99	26.2351	gtex	6	gpxcell
vae	165158	real	0.022494887525562373	125	34.2009	gtex	6	gpxcell
vae	451283	real	0.022494887525562373	136	43.3239	gtex	6	gpxcell
vae	486191	real	0.022494887525562373	132	38.7658	gtex	6	gpxcell
vae	908341	real	0.02044989775051125	123	27.9223	gtex	6	gpxcell
vae	978124	real	0.022494887525562373	129	44.675	gtex	6	gpxcell
dae	165158	real	0.016359918200409	20	30.191	gtex	9	gpxcell
