type	FEMALE	MALE	ratio
COAD	28	21	1.3181818181818181
DLBC	3	2	1.3333333333333333
GBM	6	10	0.6363636363636364
HNSC	19	37	0.5263157894736842
KICH	5	5	1.0
KIRC	21	39	0.55
KIRP	11	22	0.5217391304347826
LAML	8	9	0.9
LGG	26	27	0.9642857142857143
LUAD	32	25	1.2692307692307692
PCPG	10	9	1.1
READ	9	8	1.1111111111111112
SARC	13	13	1.0
SKCM	18	29	0.6333333333333333
THYM	6	6	1.0
UVM	3	5	0.6666666666666666
