	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3400.283806350458	3350.9532648594536	50	0.0025	150	50	1.0	9448	1	100
1	2708.3769602102284	2989.725641145179	50	0.0025	150	50	1.0	9448	1	100
2	2654.26578744249	2826.529496849482	50	0.0025	150	50	1.0	9448	1	100
3	2622.607084917881	2753.5422301939384	50	0.0025	150	50	1.0	9448	1	100
4	2603.058304563672	2638.666312519629	50	0.0025	150	50	1.0	9448	1	100
5	2588.3774501537823	2582.717761169127	50	0.0025	150	50	1.0	9448	1	100
6	2577.631886814891	2588.017205166457	50	0.0025	150	50	1.0	9448	1	100
7	2569.170516243922	2563.2489829518686	50	0.0025	150	50	1.0	9448	1	100
8	2562.770912978569	2567.778607392431	50	0.0025	150	50	1.0	9448	1	100
9	2555.9470461464207	2547.9688321981	50	0.0025	150	50	1.0	9448	1	100
10	2550.8470369465235	2550.9051335780464	50	0.0025	150	50	1.0	9448	1	100
11	2545.8995583014025	2537.3033306179336	50	0.0025	150	50	1.0	9448	1	100
12	2542.6098408537764	2534.7535897259736	50	0.0025	150	50	1.0	9448	1	100
13	2537.646697940139	2534.942409802921	50	0.0025	150	50	1.0	9448	1	100
14	2535.5426087113865	2527.8341119660804	50	0.0025	150	50	1.0	9448	1	100
15	2531.9659103766553	2525.818863605135	50	0.0025	150	50	1.0	9448	1	100
16	2527.6867222326623	2523.614325288552	50	0.0025	150	50	1.0	9448	1	100
17	2525.8859900614952	2517.8731008558416	50	0.0025	150	50	1.0	9448	1	100
18	2523.341921220761	2516.937995642274	50	0.0025	150	50	1.0	9448	1	100
19	2521.3506727042986	2516.262053676586	50	0.0025	150	50	1.0	9448	1	100
20	2518.7174672466235	2516.7594172032036	50	0.0025	150	50	1.0	9448	1	100
21	2517.2574036005603	2510.94767170815	50	0.0025	150	50	1.0	9448	1	100
22	2514.839514695636	2510.7135923759424	50	0.0025	150	50	1.0	9448	1	100
23	2513.0803216116037	2523.033368748037	50	0.0025	150	50	1.0	9448	1	100
24	2511.950737141727	2507.062704881831	50	0.0025	150	50	1.0	9448	1	100
25	2510.5778044479102	2505.949796590374	50	0.0025	150	50	1.0	9448	1	100
26	2508.095175438979	2503.6826306827106	50	0.0025	150	50	1.0	9448	1	100
27	2507.323473002445	2502.539188864243	50	0.0025	150	50	1.0	9448	1	100
28	2506.4762116721836	2500.741859934438	50	0.0025	150	50	1.0	9448	1	100
29	2505.074227143271	2498.998515526853	50	0.0025	150	50	1.0	9448	1	100
30	2504.141850608283	2499.6572204283134	50	0.0025	150	50	1.0	9448	1	100
31	2502.6723748901245	2503.663311675565	50	0.0025	150	50	1.0	9448	1	100
32	2501.6560864674752	2501.9025633538786	50	0.0025	150	50	1.0	9448	1	100
33	2500.691697834405	2495.431979232098	50	0.0025	150	50	1.0	9448	1	100
34	2499.39465278892	2494.7553612790516	50	0.0025	150	50	1.0	9448	1	100
35	2498.985081751547	2496.239021032899	50	0.0025	150	50	1.0	9448	1	100
36	2497.6474619457827	2494.53569483158	50	0.0025	150	50	1.0	9448	1	100
37	2496.773114958596	2492.9843443290674	50	0.0025	150	50	1.0	9448	1	100
38	2495.9400604653406	2492.258151107098	50	0.0025	150	50	1.0	9448	1	100
39	2495.774468482505	2491.574872654287	50	0.0025	150	50	1.0	9448	1	100
40	2494.4319857301316	2491.473668390782	50	0.0025	150	50	1.0	9448	1	100
41	2493.5464531291423	2490.982986220163	50	0.0025	150	50	1.0	9448	1	100
42	2493.4159680177145	2489.008486033684	50	0.0025	150	50	1.0	9448	1	100
43	2492.3147893190944	2486.873540063599	50	0.0025	150	50	1.0	9448	1	100
44	2491.765469533735	2487.4672311754084	50	0.0025	150	50	1.0	9448	1	100
45	2490.723683499135	2485.4103316877354	50	0.0025	150	50	1.0	9448	1	100
46	2490.5432997119256	2484.5236043498744	50	0.0025	150	50	1.0	9448	1	100
47	2489.6824096993073	2485.039311547974	50	0.0025	150	50	1.0	9448	1	100
48	2489.262778618437	2485.456874214824	50	0.0025	150	50	1.0	9448	1	100
49	2488.747120563121	2484.195743119896	50	0.0025	150	50	1.0	9448	1	100
