	loss	val_loss	num_components	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	4331.5790109805785	3501.5166898947864	25	0.0005	50	100	0.0	4020	1	100
1	3100.921921380996	2829.3136127414414	25	0.0005	50	100	0.0	4020	1	100
2	2812.8131683278075	2914.380145355685	25	0.0005	50	100	0.0	4020	1	100
3	2736.9172693289393	2786.594473834014	25	0.0005	50	100	0.0	4020	1	100
4	2704.8609086249685	2737.600849707522	25	0.0005	50	100	0.0	4020	1	100
5	2678.232621378685	2748.8979344967024	25	0.0005	50	100	0.0	4020	1	100
6	2665.084505112047	2660.455939364793	25	0.0005	50	100	0.0	4020	1	100
7	2648.8242925181294	2639.991664867305	25	0.0005	50	100	0.0	4020	1	100
8	2636.528822736956	2647.7253798288316	25	0.0005	50	100	0.0	4020	1	100
9	2627.1546386555246	2620.214029130025	25	0.0005	50	100	0.0	4020	1	100
10	2614.368630733803	2609.169366117698	25	0.0005	50	100	0.0	4020	1	100
11	2609.927486882517	2620.8878854722834	25	0.0005	50	100	0.0	4020	1	100
12	2603.1458921588974	2596.7255160077734	25	0.0005	50	100	0.0	4020	1	100
13	2595.12041542112	2590.7394455186086	25	0.0005	50	100	0.0	4020	1	100
14	2590.244901878305	2588.792582296247	25	0.0005	50	100	0.0	4020	1	100
15	2583.023313453999	2592.228169656878	25	0.0005	50	100	0.0	4020	1	100
16	2577.2567945706655	2579.7298994974876	25	0.0005	50	100	0.0	4020	1	100
17	2573.54348493615	2568.8923082207916	25	0.0005	50	100	0.0	4020	1	100
18	2569.1409913880684	2570.179640880182	25	0.0005	50	100	0.0	4020	1	100
19	2563.426729798596	2560.813093789259	25	0.0005	50	100	0.0	4020	1	100
20	2560.315781305592	2561.107450092258	25	0.0005	50	100	0.0	4020	1	100
21	2555.9572178912704	2559.9453112731626	25	0.0005	50	100	0.0	4020	1	100
22	2553.439802672025	2554.1023194586214	25	0.0005	50	100	0.0	4020	1	100
23	2548.894394695845	2550.7574432219694	25	0.0005	50	100	0.0	4020	1	100
24	2547.040130652704	2554.289369209328	25	0.0005	50	100	0.0	4020	1	100
25	2544.1520166304485	2543.708975787139	25	0.0005	50	100	0.0	4020	1	100
26	2540.541664304924	2541.984330833857	25	0.0005	50	100	0.0	4020	1	100
27	2537.026042874789	2541.5126854978016	25	0.0005	50	100	0.0	4020	1	100
28	2534.826529352031	2537.4427619052294	25	0.0005	50	100	0.0	4020	1	100
29	2533.001679253666	2542.8355571804336	25	0.0005	50	100	0.0	4020	1	100
30	2530.3315908485442	2531.796429658056	25	0.0005	50	100	0.0	4020	1	100
31	2528.6693940799755	2531.480277363379	25	0.0005	50	100	0.0	4020	1	100
32	2526.6990127878566	2530.493112535333	25	0.0005	50	100	0.0	4020	1	100
33	2524.7013974850274	2525.3775186970006	25	0.0005	50	100	0.0	4020	1	100
34	2522.5672604288025	2526.860394501806	25	0.0005	50	100	0.0	4020	1	100
35	2521.4639862465906	2523.466793194488	25	0.0005	50	100	0.0	4020	1	100
36	2519.9498477002876	2525.280517578125	25	0.0005	50	100	0.0	4020	1	100
37	2517.7942388862193	2522.838712605999	25	0.0005	50	100	0.0	4020	1	100
38	2516.3852891143856	2519.945667055983	25	0.0005	50	100	0.0	4020	1	100
39	2514.884917684905	2517.7430156151854	25	0.0005	50	100	0.0	4020	1	100
40	2513.5397045579602	2515.2782000824436	25	0.0005	50	100	0.0	4020	1	100
41	2512.2147977232653	2519.125835476209	25	0.0005	50	100	0.0	4020	1	100
42	2511.3046065648896	2516.656016900911	25	0.0005	50	100	0.0	4020	1	100
43	2510.192727427116	2511.491166771357	25	0.0005	50	100	0.0	4020	1	100
44	2508.547812457489	2512.2613494719694	25	0.0005	50	100	0.0	4020	1	100
45	2508.309269408294	2510.084914317682	25	0.0005	50	100	0.0	4020	1	100
46	2506.6435582028635	2511.1747642018686	25	0.0005	50	100	0.0	4020	1	100
47	2505.788322229872	2507.8330078125	25	0.0005	50	100	0.0	4020	1	100
48	2505.2207608696126	2506.607984993326	25	0.0005	50	100	0.0	4020	1	100
49	2504.1321013610614	2510.323277765782	25	0.0005	50	100	0.0	4020	1	100
50	2503.511004804221	2505.645637857255	25	0.0005	50	100	0.0	4020	1	100
51	2502.9048868565305	2505.101260698021	25	0.0005	50	100	0.0	4020	1	100
52	2501.9138215749786	2505.18385383951	25	0.0005	50	100	0.0	4020	1	100
53	2501.602354138035	2504.539274742855	25	0.0005	50	100	0.0	4020	1	100
54	2500.556709733229	2503.7981607255024	25	0.0005	50	100	0.0	4020	1	100
55	2499.829674702987	2503.600534410333	25	0.0005	50	100	0.0	4020	1	100
56	2499.4517994354924	2503.277674996074	25	0.0005	50	100	0.0	4020	1	100
57	2498.589708640142	2500.5929930413786	25	0.0005	50	100	0.0	4020	1	100
58	2497.9954645272037	2502.411508224717	25	0.0005	50	100	0.0	4020	1	100
59	2497.6017696339313	2500.219099648634	25	0.0005	50	100	0.0	4020	1	100
60	2497.0881793208123	2501.118119896357	25	0.0005	50	100	0.0	4020	1	100
61	2496.589321159893	2499.5526705794596	25	0.0005	50	100	0.0	4020	1	100
62	2496.0125420263057	2501.2648668145416	25	0.0005	50	100	0.0	4020	1	100
63	2495.7035029969425	2499.4961624528896	25	0.0005	50	100	0.0	4020	1	100
64	2495.2502286621257	2497.504449738929	25	0.0005	50	100	0.0	4020	1	100
65	2494.964810858189	2497.501933495603	25	0.0005	50	100	0.0	4020	1	100
66	2494.637583120631	2497.976861848304	25	0.0005	50	100	0.0	4020	1	100
67	2494.130392076927	2496.3103174564226	25	0.0005	50	100	0.0	4020	1	100
68	2494.0496687873665	2496.6565039553234	25	0.0005	50	100	0.0	4020	1	100
69	2493.388282459939	2497.340419136699	25	0.0005	50	100	0.0	4020	1	100
70	2493.1593651842336	2495.970408684045	25	0.0005	50	100	0.0	4020	1	100
