dataset	k	algorithm	seconds
GTEX	200	VAE	1787.44686627388
GTEX	80	VAE	1212.4932656288147
TCGA	200	VAE	1069.016812801361
GTEX	50	VAE	940.8118715286255
GTEX	25	VAE	862.1663293838501
GTEX	10	VAE	858.690012216568
GTEX	4	VAE	844.8105330467224
TCGA	80	VAE	836.8283538818359
GTEX	16	VAE	835.7109866142273
GTEX	200	DAE	832.5563793182373
GTEX	2	VAE	812.9615173339844
TCGA	50	VAE	790.39009308815
TCGA	200	DAE	745.9164476394653
TCGA	25	VAE	730.8540127277374
TCGA	16	VAE	687.7643866539001
TCGA	2	VAE	682.8573977947235
TCGA	10	VAE	663.730304479599
TCGA	4	VAE	639.8804888725281
GTEX	80	DAE	570.0768218040466
GTEX	50	DAE	493.2073771953583
TCGA	80	DAE	488.8793897628784
GTEX	16	DAE	444.4139699935913
TCGA	50	DAE	440.7492165565491
GTEX	10	DAE	438.86933422088623
GTEX	25	DAE	434.1655766963959
GTEX	4	DAE	413.900429725647
GTEX	2	DAE	389.8168113231659
TCGA	25	DAE	383.62878227233887
TCGA	16	DAE	367.9339876174927
TCGA	10	DAE	363.84462547302246
TCGA	2	DAE	355.74664521217346
TCGA	4	DAE	353.6484615802765
GTEX	200	ICA	343.55220437049866
GTEX	10	ICA	340.55669951438904
GTEX	16	ICA	339.43501710891724
GTEX	80	ICA	328.2577950954437
GTEX	4	ICA	326.5911989212036
GTEX	50	ICA	324.97777557373047
GTEX	25	ICA	322.3888199329376
GTEX	2	ICA	319.7719588279724
TCGA	2	ICA	319.68404245376587
TCGA	200	ICA	312.9684941768646
TCGA	10	ICA	306.7742006778717
TCGA	16	ICA	305.43418049812317
TCGA	4	ICA	304.4194917678833
TCGA	80	ICA	303.5039529800415
TCGA	50	ICA	302.17288851737976
TCGA	25	ICA	301.50110149383545
TARGET	200	VAE	158.28973841667175
TARGET	80	VAE	92.71729373931885
TCGA	200	NMF	87.21613216400146
GTEX	200	NMF	83.9073736667633
TARGET	50	VAE	73.67653679847717
TARGET	25	VAE	63.93832063674927
TARGET	200	NMF	53.99774718284607
TARGET	16	VAE	52.25667643547058
TARGET	200	DAE	52.1814546585083
TARGET	10	VAE	48.79155683517456
TARGET	4	VAE	46.35012173652649
TARGET	2	VAE	46.14531922340393
TARGET	80	DAE	37.539212226867676
GTEX	80	NMF	33.027963399887085
TARGET	50	DAE	32.78469252586365
TCGA	80	NMF	29.941988468170166
TARGET	25	DAE	27.029261350631714
TARGET	16	DAE	26.418196439743042
TARGET	2	DAE	24.777961254119873
TARGET	10	DAE	24.52655863761902
TARGET	4	DAE	24.228328704833984
TCGA	50	NMF	23.742159605026245
GTEX	50	NMF	23.226621389389038
GTEX	25	NMF	16.748244524002075
TCGA	2	NMF	16.582514762878418
TCGA	25	NMF	15.392291784286499
GTEX	10	NMF	12.472907066345215
GTEX	16	NMF	11.579631567001343
TARGET	80	NMF	11.506987571716309
GTEX	4	NMF	11.440113067626953
TCGA	10	NMF	10.453303098678589
TCGA	16	NMF	10.0591459274292
TCGA	4	NMF	8.347870826721191
GTEX	200	PCA	8.336899995803833
TCGA	200	PCA	7.7322351932525635
GTEX	2	NMF	6.7197723388671875
TARGET	50	NMF	5.52012825012207
GTEX	80	PCA	4.208244800567627
TCGA	80	PCA	4.020456314086914
GTEX	50	PCA	3.2398407459259033
TARGET	200	ICA	3.1700334548950195
TCGA	50	PCA	3.099261999130249
GTEX	16	PCA	2.5645956993103027
GTEX	25	PCA	2.5487749576568604
TCGA	25	PCA	2.4581985473632812
TARGET	25	NMF	2.31208872795105
GTEX	10	PCA	2.3115952014923096
TCGA	16	PCA	2.2068138122558594
GTEX	4	PCA	2.0192456245422363
TCGA	10	PCA	1.9740102291107178
TCGA	4	PCA	1.923177719116211
GTEX	2	PCA	1.8780803680419922
TCGA	2	PCA	1.775728702545166
TARGET	16	NMF	1.6622614860534668
TARGET	16	ICA	1.3591370582580566
TARGET	80	ICA	1.2975318431854248
TARGET	50	ICA	1.1640057563781738
TARGET	10	NMF	1.0921900272369385
TARGET	25	ICA	0.9227118492126465
TARGET	10	ICA	0.8769783973693848
TARGET	4	NMF	0.861950159072876
TARGET	4	ICA	0.8382997512817383
TARGET	2	ICA	0.7882261276245117
TARGET	200	PCA	0.5549800395965576
TARGET	2	NMF	0.40421414375305176
TARGET	80	PCA	0.2832355499267578
TARGET	16	PCA	0.2822997570037842
TARGET	50	PCA	0.2528383731842041
TARGET	25	PCA	0.19153738021850586
TARGET	2	PCA	0.1320338249206543
TARGET	10	PCA	0.12880158424377441
TARGET	4	PCA	0.1248178482055664
