dataset_id	num_comp	data_type	shuffled	seed	algorithm	reconstruction_cost
GTEX	10	training	False	486191	PCA	2361.04838855501
GTEX	10	training	False	451283	PCA	2361.0487747807
GTEX	10	training	False	165158	PCA	2361.05008434249
GTEX	10	training	False	908341	PCA	2361.05015846416
GTEX	10	training	False	978124	PCA	2361.04932149822
GTEX	10	testing	False	486191	PCA	2718.89724126976
GTEX	10	testing	False	451283	PCA	2718.8975663603
GTEX	10	testing	False	165158	PCA	2718.89986316936
GTEX	10	testing	False	908341	PCA	2718.90753229039
GTEX	10	testing	False	978124	PCA	2718.89874299492
GTEX	10	training	False	486191	ICA	2361.04904767988
GTEX	10	training	False	451283	ICA	2361.04904767988
GTEX	10	training	False	165158	ICA	2361.04904767988
GTEX	10	training	False	908341	ICA	2361.04904767988
GTEX	10	training	False	978124	ICA	2361.04904767988
GTEX	10	testing	False	486191	ICA	2718.89789015708
GTEX	10	testing	False	451283	ICA	2718.89789015708
GTEX	10	testing	False	165158	ICA	2718.89789015709
GTEX	10	testing	False	908341	ICA	2718.89789015708
GTEX	10	testing	False	978124	ICA	2718.89789015709
GTEX	10	training	False	486191	NMF	2334.40996200016
GTEX	10	training	False	451283	NMF	2334.41001242109
GTEX	10	training	False	165158	NMF	2334.41012705879
GTEX	10	training	False	908341	NMF	2334.41012631218
GTEX	10	training	False	978124	NMF	2334.40990889247
GTEX	10	testing	False	486191	NMF	2668.55496571862
GTEX	10	testing	False	451283	NMF	2668.55501822998
GTEX	10	testing	False	165158	NMF	2668.55504078987
GTEX	10	testing	False	908341	NMF	2668.55504200791
GTEX	10	testing	False	978124	NMF	2668.55503849629
GTEX	10	training	False	486191	VAE	2311.28396041496
GTEX	10	training	False	451283	VAE	2310.55820817195
GTEX	10	training	False	165158	VAE	2310.0734723744
GTEX	10	training	False	908341	VAE	2308.46084040373
GTEX	10	training	False	978124	VAE	2312.27704149828
GTEX	10	testing	False	486191	VAE	2646.09857227798
GTEX	10	testing	False	451283	VAE	2642.55881146691
GTEX	10	testing	False	165158	VAE	2645.99416454531
GTEX	10	testing	False	908341	VAE	2643.48257535862
GTEX	10	testing	False	978124	VAE	2648.47720882264
GTEX	10	training	False	486191	DAE	2402.48390777647
GTEX	10	training	False	451283	DAE	2382.96650830201
GTEX	10	training	False	165158	DAE	2369.25607155636
GTEX	10	training	False	908341	DAE	2382.15651254304
GTEX	10	training	False	978124	DAE	2356.39694963676
GTEX	10	testing	False	486191	DAE	2756.73781374574
GTEX	10	testing	False	451283	DAE	2730.04405655479
GTEX	10	testing	False	165158	DAE	2712.91029606544
GTEX	10	testing	False	908341	DAE	2732.56949335952
GTEX	10	testing	False	978124	DAE	2695.39163839021
GTEX	100	training	False	486191	PCA	2269.01166101237
GTEX	100	training	False	451283	PCA	2268.91956825691
GTEX	100	training	False	165158	PCA	2268.99511952845
GTEX	100	training	False	908341	PCA	2268.96065326058
GTEX	100	training	False	978124	PCA	2268.94816237226
GTEX	100	testing	False	486191	PCA	2586.83649223948
GTEX	100	testing	False	451283	PCA	2587.43823505145
GTEX	100	testing	False	165158	PCA	2587.29813800835
GTEX	100	testing	False	908341	PCA	2587.90296415387
GTEX	100	testing	False	978124	PCA	2587.22546653234
GTEX	100	training	False	486191	ICA	2268.86754131645
GTEX	100	training	False	451283	ICA	2268.86754131645
GTEX	100	training	False	165158	ICA	2268.86754131645
GTEX	100	training	False	908341	ICA	2268.86754131645
GTEX	100	training	False	978124	ICA	2268.86754131645
GTEX	100	testing	False	486191	ICA	2587.22909153111
GTEX	100	testing	False	451283	ICA	2587.22909153111
GTEX	100	testing	False	165158	ICA	2587.22909153111
GTEX	100	testing	False	908341	ICA	2587.22909153111
GTEX	100	testing	False	978124	ICA	2587.2290915311
GTEX	100	training	False	486191	NMF	2252.3032372294
GTEX	100	training	False	451283	NMF	2252.13974517732
GTEX	100	training	False	165158	NMF	2252.25952825742
GTEX	100	training	False	908341	NMF	2252.16704418908
GTEX	100	training	False	978124	NMF	2252.20783839052
GTEX	100	testing	False	486191	NMF	2552.76371265749
GTEX	100	testing	False	451283	NMF	2552.49650150627
GTEX	100	testing	False	165158	NMF	2552.65234810584
GTEX	100	testing	False	908341	NMF	2552.48395860164
GTEX	100	testing	False	978124	NMF	2552.74439426501
GTEX	100	training	False	486191	VAE	2252.82353665997
GTEX	100	training	False	451283	VAE	2254.55576821273
GTEX	100	training	False	165158	VAE	2257.05114167171
GTEX	100	training	False	908341	VAE	2252.35723284267
GTEX	100	training	False	978124	VAE	2258.5175168883
GTEX	100	testing	False	486191	VAE	2561.9203967846
GTEX	100	testing	False	451283	VAE	2568.36892603431
GTEX	100	testing	False	165158	VAE	2571.76327619908
GTEX	100	testing	False	908341	VAE	2564.81063960623
GTEX	100	testing	False	978124	VAE	2571.8813590401
GTEX	100	training	False	486191	DAE	2250.5250989808
GTEX	100	training	False	451283	DAE	2254.68855808461
GTEX	100	training	False	165158	DAE	2253.82941660873
GTEX	100	training	False	908341	DAE	2253.59305000906
GTEX	100	training	False	978124	DAE	2254.66188392502
GTEX	100	testing	False	486191	DAE	2558.09809154424
GTEX	100	testing	False	451283	DAE	2563.27210249884
GTEX	100	testing	False	165158	DAE	2562.61871081158
GTEX	100	testing	False	908341	DAE	2561.92694285203
GTEX	100	testing	False	978124	DAE	2562.59602100778
GTEX	12	training	False	486191	PCA	2351.23019273589
GTEX	12	training	False	451283	PCA	2351.22656107328
GTEX	12	training	False	165158	PCA	2351.2174933444
GTEX	12	training	False	908341	PCA	2351.22356402283
GTEX	12	training	False	978124	PCA	2351.22700950229
