dataset_id	num_comp	data_type	shuffled	seed	algorithm	reconstruction_cost
TARGET	10	training	False	8407	dae	4325.33434034453
TARGET	10	training	False	732201	dae	4353.84362632173
TARGET	10	training	False	737970	dae	4324.6012014727
TARGET	10	training	False	628265	dae	4331.06563392478
TARGET	10	training	False	395640	dae	4319.99447950868
TARGET	10	testing	False	8407	dae	4395.69688522334
TARGET	10	testing	False	732201	dae	4428.86709266985
TARGET	10	testing	False	737970	dae	4392.43577501477
TARGET	10	testing	False	628265	dae	4403.56373189685
TARGET	10	testing	False	395640	dae	4395.72218657191
TARGET	10	training	False	8407	ica	4222.15967613119
TARGET	10	training	False	732201	ica	4222.15967613119
TARGET	10	training	False	737970	ica	4222.15967613119
TARGET	10	training	False	628265	ica	4222.15967613119
TARGET	10	training	False	395640	ica	4222.15967613119
TARGET	10	testing	False	8407	ica	4293.25297614503
TARGET	10	testing	False	732201	ica	4293.25297614503
TARGET	10	testing	False	737970	ica	4293.25297614503
TARGET	10	testing	False	628265	ica	4293.25297614503
TARGET	10	testing	False	395640	ica	4293.25297614503
TARGET	10	training	False	8407	nmf	4209.96078569954
TARGET	10	training	False	732201	nmf	4209.9618084132
TARGET	10	training	False	737970	nmf	4209.96144317299
TARGET	10	training	False	628265	nmf	4209.96108822023
TARGET	10	training	False	395640	nmf	4209.96154199416
TARGET	10	testing	False	8407	nmf	4260.73915988111
TARGET	10	testing	False	732201	nmf	4260.73319375836
TARGET	10	testing	False	737970	nmf	4260.73198289768
TARGET	10	testing	False	628265	nmf	4260.73633717968
TARGET	10	testing	False	395640	nmf	4260.73256850505
TARGET	10	training	False	8407	pca	4222.1591677032
TARGET	10	training	False	732201	pca	4222.16859502196
TARGET	10	training	False	737970	pca	4222.16654003878
TARGET	10	training	False	628265	pca	4222.16052934401
TARGET	10	training	False	395640	pca	4222.17770709615
TARGET	10	testing	False	8407	pca	4293.23946779436
TARGET	10	testing	False	732201	pca	4293.25966428241
TARGET	10	testing	False	737970	pca	4293.23239104897
TARGET	10	testing	False	628265	pca	4293.25517187237
TARGET	10	testing	False	395640	pca	4293.27383795653
TARGET	10	training	False	8407	vae	4215.87561618505
TARGET	10	training	False	732201	vae	4217.79717586294
TARGET	10	training	False	737970	vae	4226.01324146867
TARGET	10	training	False	628265	vae	4221.50570763576
TARGET	10	training	False	395640	vae	4220.2732663206
TARGET	10	testing	False	8407	vae	4280.64757626903
TARGET	10	testing	False	732201	vae	4284.67048222287
TARGET	10	testing	False	737970	vae	4280.65230707868
TARGET	10	testing	False	628265	vae	4290.58787597154
TARGET	10	testing	False	395640	vae	4281.58327024206
TARGET	100	training	False	266146	dae	4071.91583507689
TARGET	100	training	False	783548	dae	4076.92493567109
TARGET	100	training	False	309078	dae	4074.64852433266
TARGET	100	training	False	845656	dae	4073.48335031851
TARGET	100	training	False	220062	dae	4078.18168612715
TARGET	100	testing	False	266146	dae	4180.97348558776
TARGET	100	testing	False	783548	dae	4183.33835936946
TARGET	100	testing	False	309078	dae	4187.22190481834
TARGET	100	testing	False	845656	dae	4186.67131350715
TARGET	100	testing	False	220062	dae	4187.25462522455
TARGET	100	training	False	266146	ica	3981.81452572332
TARGET	100	training	False	783548	ica	3981.81452572332
TARGET	100	training	False	309078	ica	3981.81452572332
TARGET	100	training	False	845656	ica	3981.81452572332
TARGET	100	training	False	220062	ica	3981.81452572332
TARGET	100	testing	False	266146	ica	4173.84834675585
TARGET	100	testing	False	783548	ica	4173.84834675585
TARGET	100	testing	False	309078	ica	4173.84834675585
TARGET	100	testing	False	845656	ica	4173.84834675585
TARGET	100	testing	False	220062	ica	4173.84834675585
TARGET	100	training	False	266146	nmf	4006.56680012675
TARGET	100	training	False	783548	nmf	4006.593265793
TARGET	100	training	False	309078	nmf	4005.96358195376
TARGET	100	training	False	845656	nmf	4004.37125420234
TARGET	100	training	False	220062	nmf	4004.86110432225
TARGET	100	testing	False	266146	nmf	4131.46254875787
TARGET	100	testing	False	783548	nmf	4132.04929001078
TARGET	100	testing	False	309078	nmf	4131.26650898002
TARGET	100	testing	False	845656	nmf	4129.85141915417
TARGET	100	testing	False	220062	nmf	4131.83800832236
TARGET	100	training	False	266146	pca	3985.38841560635
TARGET	100	training	False	783548	pca	3985.87850062265
TARGET	100	training	False	309078	pca	3985.57128141449
TARGET	100	training	False	845656	pca	3985.20346077164
TARGET	100	training	False	220062	pca	3985.04259946005
TARGET	100	testing	False	266146	pca	4175.11601838815
TARGET	100	testing	False	783548	pca	4176.64339115157
TARGET	100	testing	False	309078	pca	4174.90869114604
TARGET	100	testing	False	845656	pca	4176.65289216335
TARGET	100	testing	False	220062	pca	4176.61629662327
TARGET	100	training	False	266146	vae	4051.80567929563
TARGET	100	training	False	783548	vae	4063.44607026503
TARGET	100	training	False	309078	vae	4059.19393364919
TARGET	100	training	False	845656	vae	4051.67326156666
TARGET	100	training	False	220062	vae	4052.99629514626
TARGET	100	testing	False	266146	vae	4173.94638012742
TARGET	100	testing	False	783548	vae	4189.82132079435
TARGET	100	testing	False	309078	vae	4172.73517114949
TARGET	100	testing	False	845656	vae	4179.95611969087
TARGET	100	testing	False	220062	vae	4165.81757942137
TARGET	12	training	False	95834	dae	4319.52652604185
TARGET	12	training	False	996247	dae	4304.44787273958
TARGET	12	training	False	331371	dae	4318.57982517448
TARGET	12	training	False	662748	dae	4314.41259853468
TARGET	12	training	False	360855	dae	4297.97411133215
TARGET	12	testing	False	95834	dae	4387.59737633446
TARGET	12	testing	False	996247	dae	4377.14808875623
TARGET	12	testing	False	331371	dae	4391.38815905098
TARGET	12	testing	False	662748	dae	4383.97511887678
TARGET	12	testing	False	360855	dae	4374.55835744901
TARGET	12	training	False	95834	ica	4204.82424205345
TARGET	12	training	False	996247	ica	4204.82424205345
TARGET	12	training	False	331371	ica	4204.82424205345
TARGET	12	training	False	662748	ica	4204.82424205345
TARGET	12	training	False	360855	ica	4204.82424205345
TARGET	12	testing	False	95834	ica	4279.322434313
TARGET	12	testing	False	996247	ica	4279.322434313
TARGET	12	testing	False	331371	ica	4279.322434313
TARGET	12	testing	False	662748	ica	4279.322434313
TARGET	12	testing	False	360855	ica	4279.322434313
TARGET	12	training	False	95834	nmf	4193.58285067671
TARGET	12	training	False	996247	nmf	4193.59313487964
TARGET	12	training	False	331371	nmf	4193.58324972002
TARGET	12	training	False	662748	nmf	4193.6009669965
TARGET	12	training	False	360855	nmf	4193.60525161747
TARGET	12	testing	False	95834	nmf	4242.2378398867
TARGET	12	testing	False	996247	nmf	4242.22706453495
TARGET	12	testing	False	331371	nmf	4242.25117672012
TARGET	12	testing	False	662748	nmf	4242.21990617663
TARGET	12	testing	False	360855	nmf	4242.22964810624
TARGET	12	training	False	95834	pca	4204.83012978877
TARGET	12	training	False	996247	pca	4204.80184528201
TARGET	12	training	False	331371	pca	4204.84515326164
TARGET	12	training	False	662748	pca	4204.83332189348
TARGET	12	training	False	360855	pca	4204.80471732579
TARGET	12	testing	False	95834	pca	4279.41797675475
TARGET	12	testing	False	996247	pca	4279.30452190859
TARGET	12	testing	False	331371	pca	4279.3209727424
TARGET	12	testing	False	662748	pca	4279.28297001652
TARGET	12	testing	False	360855	pca	4279.31026058847
TARGET	12	training	False	95834	vae	4202.64509624093
TARGET	12	training	False	996247	vae	4204.02163010108
TARGET	12	training	False	331371	vae	4202.188617569
TARGET	12	training	False	662748	vae	4199.95202224737
TARGET	12	training	False	360855	vae	4198.20013603078
TARGET	12	testing	False	95834	vae	4267.18534672199
TARGET	12	testing	False	996247	vae	4269.20733835104
TARGET	12	testing	False	331371	vae	4262.73291221938
TARGET	12	testing	False	662748	vae	4254.96830394618
TARGET	12	testing	False	360855	vae	4260.44468537397
TARGET	125	training	False	170601	dae	4062.23700847112
TARGET	125	training	False	971027	dae	4052.6406866163
TARGET	125	training	False	635897	dae	4057.56869333179
TARGET	125	training	False	884733	dae	4063.25312359825
TARGET	125	training	False	323240	dae	4058.61619920166
TARGET	125	testing	False	170601	dae	4177.07124298042
TARGET	125	testing	False	971027	dae	4170.55247334965
TARGET	125	testing	False	635897	dae	4176.29103558602
TARGET	125	testing	False	884733	dae	4181.40899735943
TARGET	125	testing	False	323240	dae	4180.51540935504
TARGET	125	training	False	170601	ica	3947.17367127373
TARGET	125	training	False	971027	ica	3947.17367127373
TARGET	125	training	False	635897	ica	3947.17367127373
TARGET	125	training	False	884733	ica	3947.17367127373
TARGET	125	training	False	323240	ica	3947.17367127373
TARGET	125	testing	False	170601	ica	4167.95757783634
TARGET	125	testing	False	971027	ica	4167.95757783634
TARGET	125	testing	False	635897	ica	4167.95757783634
TARGET	125	testing	False	884733	ica	4167.95757783634
TARGET	125	testing	False	323240	ica	4167.95757783634
TARGET	125	training	False	170601	nmf	3977.38833184854
TARGET	125	training	False	971027	nmf	3976.70761829331
TARGET	125	training	False	635897	nmf	3977.4054281492
TARGET	125	training	False	884733	nmf	3977.24201299816
TARGET	125	training	False	323240	nmf	3977.82426634199
TARGET	125	testing	False	170601	nmf	4129.73757784342
TARGET	125	testing	False	971027	nmf	4128.43823465421
TARGET	125	testing	False	635897	nmf	4129.71527345147
TARGET	125	testing	False	884733	nmf	4127.6601530474
TARGET	125	testing	False	323240	nmf	4130.04979234904
TARGET	125	training	False	170601	pca	3951.49992691855
TARGET	125	training	False	971027	pca	3951.67888035188
TARGET	125	training	False	635897	pca	3951.69266794151
TARGET	125	training	False	884733	pca	3951.25997181829
TARGET	125	training	False	323240	pca	3951.05332178495
TARGET	125	testing	False	170601	pca	4171.34499509364
TARGET	125	testing	False	971027	pca	4170.40411585702
TARGET	125	testing	False	635897	pca	4170.5145365882
TARGET	125	testing	False	884733	pca	4169.3235244349
TARGET	125	testing	False	323240	pca	4170.93666521454
TARGET	125	training	False	170601	vae	4098.20522551456
TARGET	125	training	False	971027	vae	4083.21201753662
TARGET	125	training	False	635897	vae	4090.67297374288
TARGET	125	training	False	884733	vae	4083.24298476082
TARGET	125	training	False	323240	vae	4085.23318066091
TARGET	125	testing	False	170601	vae	4202.51194093069
TARGET	125	testing	False	971027	vae	4176.25420597492
TARGET	125	testing	False	635897	vae	4196.83496629239
